participant,date,expName,psychopyVersion,OS,frameRate,correctKey,prac_resp.keys,prac_resp.corr,prac_resp.rt,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,condition,display,test_resp.keys,test_resp.corr,test_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp.keys,display_loop.thisRepN,display_loop.thisTrialN,display_loop.thisN,display_loop.thisIndex,display_loop.ran,key_resp.rt
KT,2023-05-25_15h37.24.980,supdoc_online,2022.2.5,Win32,59.01794145,,,,,,,,,,,,,,,,,,,,,,,,,,
KT,2023-05-25_15h37.24.980,supdoc_online,2022.2.5,Win32,59.01794145,,,,,,,,,,,,,,,,,,,,,,,,,,
KT,2023-05-25_15h37.24.980,supdoc_online,2022.2.5,Win32,59.01794145,left,left,0,7.5921,0,0,0,0,1,feature,,,,,,,,,,,,,,,,
KT,2023-05-25_15h37.24.980,supdoc_online,2022.2.5,Win32,59.01794145,right,up,0,1.7146,0,1,1,1,1,spatial,,,,,,,,,,,,,,,,
KT,2023-05-25_15h37.24.980,supdoc_online,2022.2.5,Win32,59.01794145,up,right,0,4.5701,0,2,2,2,1,neither,,,,,,,,,,,,,,,,
KT,2023-05-25_15h37.24.980,supdoc_online,2022.2.5,Win32,59.01794145,right,left,0,5.8882,1,0,3,1,1,spatial,,,,,,,,,,,,,,,,
KT,2023-05-25_15h37.24.980,supdoc_online,2022.2.5,Win32,59.01794145,left,up,0,1.9876,1,1,4,0,1,feature,,,,,,,,,,,,,,,,
KT,2023-05-25_15h37.24.980,supdoc_online,2022.2.5,Win32,59.01794145,up,up,0,1.8919,1,2,5,2,1,neither,,,,,,,,,,,,,,,,
KT,2023-05-25_15h37.24.980,supdoc_online,2022.2.5,Win32,59.01794145,right,right,0,3.0945,2,0,6,1,1,spatial,,,,,,,,,,,,,,,,
KT,2023-05-25_15h37.24.980,supdoc_online,2022.2.5,Win32,59.01794145,up,up,0,2.9819,2,1,7,2,1,neither,,,,,,,,,,,,,,,,
KT,2023-05-25_15h37.24.980,supdoc_online,2022.2.5,Win32,59.01794145,left,left,0,3.909,2,2,8,0,1,feature,,,,,,,,,,,,,,,,
KT,2023-05-25_15h37.24.980,supdoc_online,2022.2.5,Win32,59.01794145,,,,,,,,,,,,,,,,,,,,,,,,,,
