participant,date,expName,psychopyVersion,OS,frameRate,correctKey,prac_resp.keys,prac_resp.corr,prac_resp.rt,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,condition,check_practice.thisRepN,check_practice.thisTrialN,check_practice.thisN,check_practice.thisIndex,check_practice.ran,display,test_resp.keys,test_resp.corr,test_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp.keys,display_loop.thisRepN,display_loop.thisTrialN,display_loop.thisN,display_loop.thisIndex,display_loop.ran,key_resp.rt
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,right,left,0,3.4767,0,0,0,1,1,spatial,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,left,right,0,6.4948,0,1,1,0,1,feature,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,up,right,0,6.7516,0,2,2,2,1,neither,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,right,left,0,4.39,1,0,3,1,1,spatial,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,left,left,0,5.8786,1,1,4,0,1,feature,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,up,right,0,7.2859,1,2,5,2,1,neither,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,left,left,0,1.5037,2,0,6,0,1,feature,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,up,up,0,9.4709,2,1,7,2,1,neither,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,right,up,0,1.2716,2,2,8,1,1,spatial,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,up,up,0,2.4254,0,0,0,2,1,neither,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,left,left,0,1.5803,0,1,1,0,1,feature,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,right,left,0,1.9534,0,2,2,1,1,spatial,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,up,right,0,1.7965,1,0,3,2,1,neither,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,left,left,0,5.8994,1,1,4,0,1,feature,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,right,left,0,4.1274,1,2,5,1,1,spatial,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,right,right,0,2.6242,2,0,6,1,1,spatial,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,left,left,0,3.486,2,1,7,0,1,feature,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,up,right,0,4.2866,2,2,8,2,1,neither,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,,,,,,,,,,,1,0,1,0,1,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,right,left,0,3.2184,0,0,0,1,1,spatial,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,up,right,0,2.6087,0,1,1,2,1,neither,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,left,up,0,3.4735,0,2,2,0,1,feature,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,left,right,0,2.4295,1,0,3,0,1,feature,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,right,right,0,3.7593,1,1,4,1,1,spatial,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,up,left,0,2.3711,1,2,5,2,1,neither,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,left,up,0,4.8166,2,0,6,0,1,feature,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,up,up,0,7.906,2,1,7,2,1,neither,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,right,left,0,4.2242,2,2,8,1,1,spatial,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,right,,,,,,,,,spatial,,,,,,m,left,0,2.6577,0,0,0,1,1,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,up,,,,,,,,,neither,,,,,,m,right,0,3.4817,0,1,1,2,1,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,left,,,,,,,,,feature,,,,,,m,left,1,3.3455,0,2,2,0,1,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,right,,,,,,,,,spatial,,,,,,m,right,1,1.6144,1,0,3,1,1,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,up,,,,,,,,,neither,,,,,,m,left,0,1.5761,1,1,4,2,1,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,left,,,,,,,,,feature,,,,,,m,right,0,1.8358,1,2,5,0,1,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,left,,,,,,,,,feature,,,,,,m,up,0,1.0138,2,0,6,0,1,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,up,,,,,,,,,neither,,,,,,m,up,1,1.4803,2,1,7,2,1,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,right,,,,,,,,,spatial,,,,,,m,up,0,1.5979,2,2,8,1,1,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,up,,,,,,,,,neither,,,,,,m,up,1,1.1752,3,0,9,2,1,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,right,,,,,,,,,spatial,,,,,,m,left,0,2.3532,3,1,10,1,1,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,left,,,,,,,,,feature,,,,,,m,up,0,2.5798,3,2,11,0,1,,,,,,,
EB,2023-06-19_14h02.25.134,supdoc_online,2022.2.5,Win32,59.47778505,,,,,,,,,,,,,,,,m,,,,,,,,,,0,0,0,0,1,
