participant,date,expName,psychopyVersion,OS,frameRate,correctKey,prac_resp.keys,prac_resp.corr,prac_resp.rt,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,condition,check_practice.thisRepN,check_practice.thisTrialN,check_practice.thisN,check_practice.thisIndex,check_practice.ran,display,test_resp.keys,test_resp.corr,test_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,display_loop.thisRepN,display_loop.thisTrialN,display_loop.thisN,display_loop.thisIndex,display_loop.ran
5f4c175e219f12824882c23d,2023-04-05_21h41.08.586,supdoc_online,2022.2.5,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f4c175e219f12824882c23d,2023-04-05_21h41.08.586,supdoc_online,2022.2.5,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f4c175e219f12824882c23d,2023-04-05_21h41.08.586,supdoc_online,2022.2.5,Win32,60.01680471,right,left,0,0.3154,0,0,0,1,1,spatial,,,,,,,,,,,,,,,,,,,
5f4c175e219f12824882c23d,2023-04-05_21h41.08.586,supdoc_online,2022.2.5,Win32,60.01680471,left,left,0,15.6099,0,1,1,0,1,feature,,,,,,,,,,,,,,,,,,,
5f4c175e219f12824882c23d,2023-04-05_21h41.08.586,supdoc_online,2022.2.5,Win32,60.01680471,up,left,0,0.4178,0,2,2,2,1,neither,,,,,,,,,,,,,,,,,,,
5f4c175e219f12824882c23d,2023-04-05_21h41.08.586,supdoc_online,2022.2.5,Win32,60.01680471,right,left,0,0.9378,1,0,3,1,1,spatial,,,,,,,,,,,,,,,,,,,
5f4c175e219f12824882c23d,2023-04-05_21h41.08.586,supdoc_online,2022.2.5,Win32,60.01680471,up,left,0,1.9113,1,1,4,2,1,neither,,,,,,,,,,,,,,,,,,,
5f4c175e219f12824882c23d,2023-04-05_21h41.08.586,supdoc_online,2022.2.5,Win32,60.01680471,left,right,0,0.9641,1,2,5,0,1,feature,,,,,,,,,,,,,,,,,,,
5f4c175e219f12824882c23d,2023-04-05_21h41.08.586,supdoc_online,2022.2.5,Win32,60.01680471,left,left,0,0.9308,2,0,6,0,1,feature,,,,,,,,,,,,,,,,,,,
5f4c175e219f12824882c23d,2023-04-05_21h41.08.586,supdoc_online,2022.2.5,Win32,60.01680471,right,left,0,1.0654,2,1,7,1,1,spatial,,,,,,,,,,,,,,,,,,,
5f4c175e219f12824882c23d,2023-04-05_21h41.08.586,supdoc_online,2022.2.5,Win32,60.01680471,up,up,0,2.6179,2,2,8,2,1,neither,,,,,,,,,,,,,,,,,,,
