participant,date,expName,psychopyVersion,OS,frameRate,correctKey,prac_resp.keys,prac_resp.corr,prac_resp.rt,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,condition,check_practice.thisRepN,check_practice.thisTrialN,check_practice.thisN,check_practice.thisIndex,check_practice.ran,display,test_resp.keys,test_resp.corr,test_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,display_loop.thisRepN,display_loop.thisTrialN,display_loop.thisN,display_loop.thisIndex,display_loop.ran
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,left,right,0,3.5144,0,0,0,0,1,feature,,,,,,,,,,,,,,,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,up,left,0,3.4693,0,1,1,2,1,neither,,,,,,,,,,,,,,,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,right,right,0,2.0721,0,2,2,1,1,spatial,,,,,,,,,,,,,,,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,left,up,0,1.8792,1,0,3,0,1,feature,,,,,,,,,,,,,,,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,right,right,0,1.3969,1,1,4,1,1,spatial,,,,,,,,,,,,,,,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,up,up,0,1.6163,1,2,5,2,1,neither,,,,,,,,,,,,,,,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,left,right,0,1.6959,2,0,6,0,1,feature,,,,,,,,,,,,,,,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,up,up,0,1.6117,2,1,7,2,1,neither,,,,,,,,,,,,,,,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,right,left,0,2.3206,2,2,8,1,1,spatial,,,,,,,,,,,,,,,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,right,up,0,30.4527,0,0,0,1,1,spatial,,,,,,,,,,,,,,,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,left,right,0,2.2026,0,1,1,0,1,feature,,,,,,,,,,,,,,,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,up,up,0,1.2344,0,2,2,2,1,neither,,,,,,,,,,,,,,,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,left,up,0,1.3981,1,0,3,0,1,feature,,,,,,,,,,,,,,,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,up,up,0,1.1069,1,1,4,2,1,neither,,,,,,,,,,,,,,,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,right,right,0,4.1368,1,2,5,1,1,spatial,,,,,,,,,,,,,,,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,left,up,0,1.6309,2,0,6,0,1,feature,,,,,,,,,,,,,,,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,up,right,0,2.4663,2,1,7,2,1,neither,,,,,,,,,,,,,,,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,right,left,0,2.3116,2,2,8,1,1,spatial,,,,,,,,,,,,,,,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,up,,,,,,,,,neither,,,,,,m,up,1,1.8972,0,0,0,2,1,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,right,,,,,,,,,spatial,,,,,,m,right,1,2.3762,0,1,1,1,1,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,left,,,,,,,,,feature,,,,,,m,left,1,2.9049,0,2,2,0,1,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,left,,,,,,,,,feature,,,,,,m,up,0,2.0038,1,0,3,0,1,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,up,,,,,,,,,neither,,,,,,m,right,0,3.0157,1,1,4,2,1,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,right,,,,,,,,,spatial,,,,,,m,right,1,2.641,1,2,5,1,1,,,,,
SI,2023-05-02_11h39.53.100,supdoc_online,2022.2.5,Win32,60.08532116,left,,,,,,,,,feature,,,,,,m,up,0,1.7334,2,0,6,0,1,,,,,
