participant,date,expName,psychopyVersion,OS,frameRate,correctKey,prac_resp.keys,prac_resp.corr,prac_resp.rt,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,condition,display,test_resp.keys,test_resp.corr,test_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,display_loop.thisRepN,display_loop.thisTrialN,display_loop.thisN,display_loop.thisIndex,display_loop.ran
5f85a51cadc3ff03ac5e395f,04-05-2023_20h39.05.896,supdoc_online,2022.2.5,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,,,,,
5f85a51cadc3ff03ac5e395f,04-05-2023_20h39.05.896,supdoc_online,2022.2.5,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,,,,,
5f85a51cadc3ff03ac5e395f,04-05-2023_20h39.05.896,supdoc_online,2022.2.5,Win32,163.9344262,right,up,0,1.637,0,0,0,1,1,spatial,,,,,,,,,,,,,,
5f85a51cadc3ff03ac5e395f,04-05-2023_20h39.05.896,supdoc_online,2022.2.5,Win32,163.9344262,up,up,0,2.49,0,1,1,2,1,neither,,,,,,,,,,,,,,
5f85a51cadc3ff03ac5e395f,04-05-2023_20h39.05.896,supdoc_online,2022.2.5,Win32,163.9344262,left,right,0,1.867,0,2,2,0,1,feature,,,,,,,,,,,,,,
5f85a51cadc3ff03ac5e395f,04-05-2023_20h39.05.896,supdoc_online,2022.2.5,Win32,163.9344262,left,up,0,2.188,1,0,3,0,1,feature,,,,,,,,,,,,,,
5f85a51cadc3ff03ac5e395f,04-05-2023_20h39.05.896,supdoc_online,2022.2.5,Win32,163.9344262,up,left,0,2.788,1,1,4,2,1,neither,,,,,,,,,,,,,,
5f85a51cadc3ff03ac5e395f,04-05-2023_20h39.05.896,supdoc_online,2022.2.5,Win32,163.9344262,right,left,0,1.43,1,2,5,1,1,spatial,,,,,,,,,,,,,,
5f85a51cadc3ff03ac5e395f,04-05-2023_20h39.05.896,supdoc_online,2022.2.5,Win32,163.9344262,up,up,0,5.327,2,0,6,2,1,neither,,,,,,,,,,,,,,
5f85a51cadc3ff03ac5e395f,04-05-2023_20h39.05.896,supdoc_online,2022.2.5,Win32,163.9344262,left,left,0,2.11,2,1,7,0,1,feature,,,,,,,,,,,,,,
5f85a51cadc3ff03ac5e395f,04-05-2023_20h39.05.896,supdoc_online,2022.2.5,Win32,163.9344262,right,right,0,1.671,2,2,8,1,1,spatial,,,,,,,,,,,,,,
5f85a51cadc3ff03ac5e395f,04-05-2023_20h39.05.896,supdoc_online,2022.2.5,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,,,,,
5f85a51cadc3ff03ac5e395f,04-05-2023_20h39.05.896,supdoc_online,2022.2.5,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,,,,,
5f85a51cadc3ff03ac5e395f,04-05-2023_20h39.05.896,supdoc_online,2022.2.5,Win32,163.9344262,left,,,,,,,,,feature,p,right,0,2.203,0,0,0,0,1,,,,,
5f85a51cadc3ff03ac5e395f,04-05-2023_20h39.05.896,supdoc_online,2022.2.5,Win32,163.9344262,right,,,,,,,,,spatial,p,right,1,2.818,0,1,1,1,1,,,,,
