participant,date,expName,psychopyVersion,OS,frameRate,correctKey,prac_resp.keys,prac_resp.corr,prac_resp.rt,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,condition,display,test_resp.keys,test_resp.corr,test_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,display_loop.thisRepN,display_loop.thisTrialN,display_loop.thisN,display_loop.thisIndex,display_loop.ran
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,up,left,0,3.638,0,0,0,2,1,neither,,,,,,,,,,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,right,left,0,1.6,0,1,1,1,1,spatial,,,,,,,,,,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,left,up,0,2.468,0,2,2,0,1,feature,,,,,,,,,,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,right,right,0,4.966,1,0,3,1,1,spatial,,,,,,,,,,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,left,up,0,2.154,1,1,4,0,1,feature,,,,,,,,,,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,up,up,0,5.934,1,2,5,2,1,neither,,,,,,,,,,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,right,right,0,3.333,2,0,6,1,1,spatial,,,,,,,,,,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,up,up,0,1.552,2,1,7,2,1,neither,,,,,,,,,,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,left,left,0,5.366,2,2,8,0,1,feature,,,,,,,,,,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,right,,,,,,,,,spatial,m,left,0,6.648,0,0,0,1,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,up,,,,,,,,,neither,m,left,0,2.131,0,1,1,2,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,left,,,,,,,,,feature,m,right,0,3.209,0,2,2,0,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,left,,,,,,,,,feature,m,up,0,2.091,1,0,3,0,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,up,,,,,,,,,neither,m,left,0,3.099,1,1,4,2,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,right,,,,,,,,,spatial,m,left,0,1.902,1,2,5,1,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,right,,,,,,,,,spatial,m,left,0,0.685,2,0,6,1,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,up,,,,,,,,,neither,m,left,0,1.149,2,1,7,2,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,left,,,,,,,,,feature,m,up,0,3.367,2,2,8,0,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,up,,,,,,,,,neither,m,right,0,3.532,3,0,9,2,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,left,,,,,,,,,feature,m,right,0,1.891,3,1,10,0,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,right,,,,,,,,,spatial,m,left,0,2.705,3,2,11,1,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,,,,,,,,,,,m,,,,,,,,,0,0,0,0,1
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,right,,,,,,,,,spatial,p,left,0,2.083,0,0,0,1,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,up,,,,,,,,,neither,p,right,0,2.091,0,1,1,2,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,left,,,,,,,,,feature,p,left,1,2.102,0,2,2,0,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,left,,,,,,,,,feature,p,up,0,1.9,1,0,3,0,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,up,,,,,,,,,neither,p,up,1,2.651,1,1,4,2,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,right,,,,,,,,,spatial,p,left,0,1.249,1,2,5,1,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,right,,,,,,,,,spatial,p,left,0,0.933,2,0,6,1,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,left,,,,,,,,,feature,p,up,0,1.716,2,1,7,0,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,up,,,,,,,,,neither,p,left,0,1.933,2,2,8,2,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,right,,,,,,,,,spatial,p,left,0,1.076,3,0,9,1,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,left,,,,,,,,,feature,p,right,0,1.507,3,1,10,0,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,up,,,,,,,,,neither,p,up,1,2.732,3,2,11,2,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,,,,,,,,,,,p,,,,,,,,,0,1,1,1,1
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,left,,,,,,,,,feature,m,up,0,1.36,0,0,0,0,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,right,,,,,,,,,spatial,m,left,0,1.289,0,1,1,1,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,up,,,,,,,,,neither,m,up,1,1.006,0,2,2,2,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,left,,,,,,,,,feature,m,up,0,2.441,1,0,3,0,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,right,,,,,,,,,spatial,m,right,1,1.117,1,1,4,1,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,up,,,,,,,,,neither,m,left,0,1.035,1,2,5,2,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,right,,,,,,,,,spatial,m,left,0,0.907,2,0,6,1,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,left,,,,,,,,,feature,m,right,0,2.667,2,1,7,0,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,up,,,,,,,,,neither,m,up,1,1.302,2,2,8,2,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,right,,,,,,,,,spatial,m,left,0,1.116,3,0,9,1,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,left,,,,,,,,,feature,m,up,0,1.226,3,1,10,0,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,up,,,,,,,,,neither,m,left,0,2.204,3,2,11,2,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,,,,,,,,,,,m,,,,,,,,,1,0,2,0,1
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,left,,,,,,,,,feature,p,left,1,2.181,0,0,0,0,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,up,,,,,,,,,neither,p,up,1,1.575,0,1,1,2,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,right,,,,,,,,,spatial,p,left,0,1.168,0,2,2,1,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,left,,,,,,,,,feature,p,up,0,1.244,1,0,3,0,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,up,,,,,,,,,neither,p,right,0,1.791,1,1,4,2,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,right,,,,,,,,,spatial,p,left,0,1.267,1,2,5,1,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,up,,,,,,,,,neither,p,left,0,1.199,2,0,6,2,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,right,,,,,,,,,spatial,p,left,0,0.844,2,1,7,1,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,left,,,,,,,,,feature,p,right,0,1.457,2,2,8,0,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,right,,,,,,,,,spatial,p,left,0,0.867,3,0,9,1,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,left,,,,,,,,,feature,p,up,0,0.935,3,1,10,0,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,up,,,,,,,,,neither,p,right,0,1.959,3,2,11,2,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,,,,,,,,,,,p,,,,,,,,,1,1,3,1,1
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,right,,,,,,,,,spatial,p,left,0,0.849,0,0,0,1,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,left,,,,,,,,,feature,p,up,0,1.572,0,1,1,0,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,up,,,,,,,,,neither,p,up,1,0.993,0,2,2,2,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,right,,,,,,,,,spatial,p,left,0,1.689,1,0,3,1,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,left,,,,,,,,,feature,p,up,0,1.548,1,1,4,0,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,up,,,,,,,,,neither,p,right,0,1.385,1,2,5,2,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,left,,,,,,,,,feature,p,up,0,1.388,2,0,6,0,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,right,,,,,,,,,spatial,p,left,0,1.317,2,1,7,1,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,up,,,,,,,,,neither,p,right,0,2.827,2,2,8,2,1,,,,,
57a4e76dbaec1b000169924a,2023-04-05_13h44.40.405,supdoc_online,2022.2.5,Win32,58.82352941,left,,,,,,,,,feature,p,right,0,1.755,3,0,9,0,1,,,,,
