participant,date,expName,psychopyVersion,OS,frameRate,correctKey,prac_resp.keys,prac_resp.corr,prac_resp.rt,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,condition,display,test_resp.keys,test_resp.corr,test_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp.keys,display_loop.thisRepN,display_loop.thisTrialN,display_loop.thisN,display_loop.thisIndex,display_loop.ran,key_resp.rt
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,m,right,0,1.78,0,2,2,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,m,right,1,1.716,1,0,3,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,m,left,1,1.168,1,1,4,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,m,up,1,1.133,1,2,5,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,m,up,0,2.069,2,0,6,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,m,left,0,1.88,2,1,7,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,m,right,0,1.581,2,2,8,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,m,right,1,1.452,3,0,9,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,m,right,0,1.165,3,1,10,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,m,up,0,1.328,3,2,11,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,,,,,,,,,,,m,,,,,,,,,space,0,1,1,0,1,15.357
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,p,up,1,1.463,0,0,0,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,p,right,1,1.219,0,1,1,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,p,left,1,1.364,0,2,2,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,p,right,1,1.529,1,0,3,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,p,left,1,1.681,1,1,4,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,p,right,0,2.082,1,2,5,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,p,left,1,1.895,2,0,6,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,p,right,1,2.429,2,1,7,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,p,up,1,1.45,2,2,8,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,p,left,1,1.781,3,0,9,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,p,up,1,2.021,3,1,10,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,p,right,1,1.146,3,2,11,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,,,,,,,,,,,p,,,,,,,,,,1,0,2,1,1,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,m,right,1,1.923,0,0,0,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,m,right,0,0.765,0,1,1,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,m,left,1,1.58,0,2,2,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,m,right,1,1.714,1,0,3,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,m,up,0,1.399,1,1,4,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,m,left,0,1.7,1,2,5,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,m,right,0,1.106,2,0,6,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,m,left,1,1.062,2,1,7,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,m,left,0,1.185,2,2,8,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,m,up,1,1.365,3,0,9,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,m,right,1,1.883,3,1,10,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,m,up,0,1.202,3,2,11,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,,,,,,,,,,,m,,,,,,,,,space,1,1,3,0,1,16.177
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,m,left,0,2.098,0,0,0,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,m,up,1,1.497,0,1,1,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,m,left,1,1.584,0,2,2,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,m,up,1,1.813,1,0,3,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,m,up,0,1.362,1,1,4,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,m,right,1,1.245,1,2,5,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,m,up,0,1.369,2,0,6,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,m,up,0,1.285,2,1,7,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,m,right,0,1.963,2,2,8,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,m,up,1,1.748,3,0,9,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,m,up,0,1.152,3,1,10,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,m,right,1,1.73,3,2,11,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,,,,,,,,,,,m,,,,,,,,,,2,0,4,0,1,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,p,right,0,2.798,0,0,0,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,p,right,1,1.199,0,1,1,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,p,right,0,1.547,0,2,2,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,p,right,1,0.898,1,0,3,1,1,,,,,,,
