participant,date,expName,psychopyVersion,OS,frameRate,correctKey,prac_resp.keys,prac_resp.corr,prac_resp.rt,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,condition,display,test_resp.keys,test_resp.corr,test_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,display_loop.thisRepN,display_loop.thisTrialN,display_loop.thisN,display_loop.thisIndex,display_loop.ran
608c349d8e7f57e8f84d3a27,2023-04-05_22h03.57.888,supdoc_online,2022.2.5,Win32,60.14314067,,,,,,,,,,,,,,,,,,,,,,,,
608c349d8e7f57e8f84d3a27,2023-04-05_22h03.57.888,supdoc_online,2022.2.5,Win32,60.14314067,,,,,,,,,,,,,,,,,,,,,,,,
608c349d8e7f57e8f84d3a27,2023-04-05_22h03.57.888,supdoc_online,2022.2.5,Win32,60.14314067,right,right,0,1.7054,0,0,0,1,1,spatial,,,,,,,,,,,,,,
608c349d8e7f57e8f84d3a27,2023-04-05_22h03.57.888,supdoc_online,2022.2.5,Win32,60.14314067,left,left,0,1.4829,0,1,1,0,1,feature,,,,,,,,,,,,,,
608c349d8e7f57e8f84d3a27,2023-04-05_22h03.57.888,supdoc_online,2022.2.5,Win32,60.14314067,up,up,0,2.122,0,2,2,2,1,neither,,,,,,,,,,,,,,
608c349d8e7f57e8f84d3a27,2023-04-05_22h03.57.888,supdoc_online,2022.2.5,Win32,60.14314067,left,left,0,1.0416,1,0,3,0,1,feature,,,,,,,,,,,,,,
608c349d8e7f57e8f84d3a27,2023-04-05_22h03.57.888,supdoc_online,2022.2.5,Win32,60.14314067,up,up,0,1.8494,1,1,4,2,1,neither,,,,,,,,,,,,,,
608c349d8e7f57e8f84d3a27,2023-04-05_22h03.57.888,supdoc_online,2022.2.5,Win32,60.14314067,right,right,0,0.9868,1,2,5,1,1,spatial,,,,,,,,,,,,,,
608c349d8e7f57e8f84d3a27,2023-04-05_22h03.57.888,supdoc_online,2022.2.5,Win32,60.14314067,right,right,0,0.9267,2,0,6,1,1,spatial,,,,,,,,,,,,,,
608c349d8e7f57e8f84d3a27,2023-04-05_22h03.57.888,supdoc_online,2022.2.5,Win32,60.14314067,left,left,0,1.3829,2,1,7,0,1,feature,,,,,,,,,,,,,,
608c349d8e7f57e8f84d3a27,2023-04-05_22h03.57.888,supdoc_online,2022.2.5,Win32,60.14314067,up,up,0,0.9332,2,2,8,2,1,neither,,,,,,,,,,,,,,
608c349d8e7f57e8f84d3a27,2023-04-05_22h03.57.888,supdoc_online,2022.2.5,Win32,60.14314067,,,,,,,,,,,,,,,,,,,,,,,,
608c349d8e7f57e8f84d3a27,2023-04-05_22h03.57.888,supdoc_online,2022.2.5,Win32,60.14314067,,,,,,,,,,,,,,,,,,,,,,,,
608c349d8e7f57e8f84d3a27,2023-04-05_22h03.57.888,supdoc_online,2022.2.5,Win32,60.14314067,up,,,,,,,,,neither,m,up,1,1.5024,0,0,0,2,1,,,,,
608c349d8e7f57e8f84d3a27,2023-04-05_22h03.57.888,supdoc_online,2022.2.5,Win32,60.14314067,right,,,,,,,,,spatial,m,right,1,0.8989,0,1,1,1,1,,,,,
608c349d8e7f57e8f84d3a27,2023-04-05_22h03.57.888,supdoc_online,2022.2.5,Win32,60.14314067,left,,,,,,,,,feature,m,left,1,0.7524,0,2,2,0,1,,,,,
608c349d8e7f57e8f84d3a27,2023-04-05_22h03.57.888,supdoc_online,2022.2.5,Win32,60.14314067,up,,,,,,,,,neither,m,up,1,0.8093,1,0,3,2,1,,,,,
608c349d8e7f57e8f84d3a27,2023-04-05_22h03.57.888,supdoc_online,2022.2.5,Win32,60.14314067,right,,,,,,,,,spatial,m,right,1,0.6133,1,1,4,1,1,,,,,
608c349d8e7f57e8f84d3a27,2023-04-05_22h03.57.888,supdoc_online,2022.2.5,Win32,60.14314067,left,,,,,,,,,feature,m,up,0,1.0425,1,2,5,0,1,,,,,
608c349d8e7f57e8f84d3a27,2023-04-05_22h03.57.888,supdoc_online,2022.2.5,Win32,60.14314067,left,,,,,,,,,feature,m,left,1,1.0006,2,0,6,0,1,,,,,
608c349d8e7f57e8f84d3a27,2023-04-05_22h03.57.888,supdoc_online,2022.2.5,Win32,60.14314067,right,,,,,,,,,spatial,m,right,1,0.9961,2,1,7,1,1,,,,,
608c349d8e7f57e8f84d3a27,2023-04-05_22h03.57.888,supdoc_online,2022.2.5,Win32,60.14314067,up,,,,,,,,,neither,m,up,1,0.979,2,2,8,2,1,,,,,
