participant,date,expName,psychopyVersion,OS,frameRate,correctKey,prac_resp.keys,prac_resp.corr,prac_resp.rt,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,condition,display,test_resp.keys,test_resp.corr,test_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,display_loop.thisRepN,display_loop.thisTrialN,display_loop.thisN,display_loop.thisIndex,display_loop.ran
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,right,0,2.3256,2,2,8,0,1,feature,,,,,,,,,,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,,,,,,,,,,,,,,,,,,,,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,,,,,,,,,,,,,,,,,,,,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,m,up,1,1.2045,0,0,0,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,m,left,1,0.6181,0,1,1,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,m,right,1,1.3964,0,2,2,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,m,left,1,0.6019,1,0,3,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,m,right,1,1.8873,1,1,4,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,m,left,0,1.192,1,2,5,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,m,right,1,1.4138,2,0,6,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,m,up,1,1.2452,2,1,7,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,m,left,1,0.637,2,2,8,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,m,up,1,1.9514,3,0,9,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,m,right,1,2.9938,3,1,10,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,m,left,1,1.9757,3,2,11,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,,,,,,,,,,,m,,,,,,,,,0,0,0,0,1
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,p,right,1,2.4702,0,0,0,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,p,up,1,1.0998,0,1,1,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,p,left,1,2.3717,0,2,2,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,p,right,0,0.9947,1,0,3,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,p,right,1,1.1567,1,1,4,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,p,left,1,0.6734,1,2,5,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,p,left,1,1.2446,2,0,6,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,p,right,0,1.6491,2,1,7,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,p,right,1,0.8649,2,2,8,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,p,left,1,0.807,3,0,9,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,p,right,1,2.1566,3,1,10,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,p,up,1,0.9522,3,2,11,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,,,,,,,,,,,p,,,,,,,,,0,1,1,1,1
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,p,right,1,0.8677,0,0,0,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,p,left,1,1.212,0,1,1,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,p,up,1,1.1912,0,2,2,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,p,right,1,0.8419,1,0,3,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,p,up,1,0.983,1,1,4,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,p,left,1,0.8676,1,2,5,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,p,left,1,2.1043,2,0,6,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,p,right,1,1.3894,2,1,7,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,p,up,1,2.1761,2,2,8,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,p,right,1,0.8185,3,0,9,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,p,up,1,1.0253,3,1,10,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,p,left,1,0.7398,3,2,11,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,,,,,,,,,,,p,,,,,,,,,1,0,2,1,1
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,m,up,1,1.8124,0,0,0,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,m,left,1,0.5234,0,1,1,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,m,right,1,0.6332,0,2,2,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,m,right,1,0.7807,1,0,3,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,m,up,1,0.7016,1,1,4,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,m,left,1,0.5202,1,2,5,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,m,right,0,0.7653,2,0,6,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,m,right,1,1.2187,2,1,7,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,m,left,0,0.6021,2,2,8,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,m,up,1,1.0742,3,0,9,2,1,,,,,
