X Scale,Y Scale,catch_pTarget,catch_pProbe,xPosition,FW_resp.keys,FW_resp.corr,FW_resp.rt,prac_Ftrials.thisRepN,prac_Ftrials.thisTrialN,prac_Ftrials.thisN,prac_Ftrials.thisIndex,prac_Ftrials.ran,targetID,imFile,imFile2,corr,trial_type,participant,position,screen,x_scale,y_scale,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,diff_pTarget,diff_pProbe,eval_prac_resp.keys,eval_prac_resp.rt,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,repeat_prac.ran,diff_target,diff_probe,face_loop_set1.thisRepN,face_loop_set1.thisTrialN,face_loop_set1.thisN,face_loop_set1.thisIndex,face_loop_set1.ran,same_target,same_probe,catch_target,catch_probe,face_loop_set2.thisRepN,face_loop_set2.thisTrialN,face_loop_set2.thisN,face_loop_set2.thisIndex,face_loop_set2.ran,face_loop_set3.thisRepN,face_loop_set3.thisTrialN,face_loop_set3.thisN,face_loop_set3.thisIndex,face_loop_set3.ran
,,,,0,s,1,1.5895,,,,,,24,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,0,1,1,24,1,Stimuli/Faces/CM0009_1100.jpg,Stimuli/Faces/CM0009_1100.jpg,,,,,,,,,,,,
,,,,0,d,1,1.3989,,,,,,7,rand_face,rand_face,d,d,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Faces/CF0050_1100.jpg,Stimuli/Faces/CF0046_1100.jpg,0,2,2,7,1,,,,,,,,,,,,,,
,,,,0,d,1,0.8809,,,,,,9,rand_face,rand_face,d,d,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Faces/CM0047_1100.jpg,Stimuli/Faces/CM0030_1100.jpg,0,3,3,9,1,,,,,,,,,,,,,,
,,,,0,d,1,0.6622,,,,,,6,rand_face,rand_face,d,d,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Faces/CM0045_1100.jpg,Stimuli/Faces/CF0013_1110.jpg,0,4,4,6,1,,,,,,,,,,,,,,
,,,,0,s,1,1.0653,,,,,,18,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,0,5,5,18,1,Stimuli/Faces/CF0046_1100.jpg,Stimuli/Faces/CF0046_1100.jpg,,,,,,,,,,,,
,,,,0,d,1,0.6901,,,,,,5,rand_face,rand_face,d,d,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Faces/CF0031_1100.jpg,Stimuli/Faces/CF0009_1100.jpg,0,6,6,5,1,,,,,,,,,,,,,,
,,,,0,s,1,0.7021,,,,,,16,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,0,7,7,16,1,Stimuli/Faces/CM0030_1100.jpg,Stimuli/Faces/CM0030_1100.jpg,,,,,,,,,,,,
,,,,0,s,1,0.8357,,,,,,29,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,0,8,8,29,1,Stimuli/Faces/CF0013_1110.jpg,Stimuli/Faces/CF0013_1110.jpg,,,,,,,,,,,,
,,,,0,d,1,1.3136,,,,,,15,rand_face,rand_face,d,d,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Faces/CF0022_1100.jpg,Stimuli/Faces/CF0020_1100.jpg,0,9,9,15,1,,,,,,,,,,,,,,
,,,,0,d,0,1.2751,,,,,,32,catch_target,catch_probe,s,c,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,0,10,10,32,1,,,Stimuli/Faces/CF0020_1100.jpg,Stimuli/Faces/CF0020_1100.jpg,,,,,,,,,,
,,,,0,s,1,0.5514,,,,,,21,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,0,11,11,21,1,Stimuli/Faces/CF0009_1100.jpg,Stimuli/Faces/CF0009_1100.jpg,,,,,,,,,,,,
,,,,0,s,1,0.6331,,,,,,17,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,0,12,12,17,1,Stimuli/Faces/CF0020_1100.jpg,Stimuli/Faces/CF0020_1100.jpg,,,,,,,,,,,,
,,,,0,d,1,0.5755,,,,,,11,rand_face,rand_face,d,d,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Faces/CM0015_1100.jpg,Stimuli/Faces/CF0055_1100.jpg,0,13,13,11,1,,,,,,,,,,,,,,
,,,,0,d,1,1.1656,,,,,,35,catch_target,catch_probe,d,c,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,0,14,14,35,1,,,Stimuli/Faces/CM0050_1100.jpg,Stimuli/Faces/CM0040_1100.jpg,,,,,,,,,,
,,,,0,s,1,0.5987,,,,,,19,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,0,15,15,19,1,Stimuli/Faces/CF0055_1100.jpg,Stimuli/Faces/CF0055_1100.jpg,,,,,,,,,,,,
,,,,0,s,1,0.5677,,,,,,22,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,0,16,16,22,1,Stimuli/Faces/CF0035_1100.jpg,Stimuli/Faces/CF0035_1100.jpg,,,,,,,,,,,,
,,,,0,s,1,0.5505,,,,,,30,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,0,17,17,30,1,Stimuli/Faces/CM0050_1100.jpg,Stimuli/Faces/CM0050_1100.jpg,,,,,,,,,,,,
,,,,0,s,1,0.5273,,,,,,23,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,0,18,18,23,1,Stimuli/Faces/CM0025_1100.jpg,Stimuli/Faces/CM0025_1100.jpg,,,,,,,,,,,,
,,,,0,d,1,0.5682,,,,,,13,rand_face,rand_face,d,d,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Faces/CM0010_1100.jpg,Stimuli/Faces/CF0035_1100.jpg,0,19,19,13,1,,,,,,,,,,,,,,
,,,,0,s,1,1.011,,,,,,28,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,0,20,20,28,1,Stimuli/Faces/CF0026_1110.jpg,Stimuli/Faces/CF0026_1110.jpg,,,,,,,,,,,,
,,,,0,d,1,1.5096,,,,,,12,rand_face,rand_face,d,d,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Faces/CM0046_1100.jpg,Stimuli/Faces/CM0050_1100.jpg,0,21,21,12,1,,,,,,,,,,,,,,
,,,,0,s,1,0.6705,,,,,,31,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,0,22,22,31,1,Stimuli/Faces/CM0005_1100.jpg,Stimuli/Faces/CM0005_1100.jpg,,,,,,,,,,,,
,,,,0,d,1,1.0989,,,,,,1,rand_face,rand_face,d,d,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Faces/CF0046_1100.jpg,Stimuli/Faces/CM0025_1100.jpg,0,23,23,1,1,,,,,,,,,,,,,,
,,,,0,d,1,0.9206,,,,,,34,catch_target,catch_probe,d,c,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,0,24,24,34,1,,,Stimuli/Faces/CF0052_1100.jpg,Stimuli/Faces/CF0058_1100.jpg,,,,,,,,,,
,,,,0,d,1,0.8523,,,,,,2,rand_face,rand_face,d,d,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Faces/CM0028_1100.jpg,Stimuli/Faces/CF0026_1110.jpg,0,25,25,2,1,,,,,,,,,,,,,,
,,,,0,s,1,1.2493,,,,,,25,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,0,26,26,25,1,Stimuli/Faces/CF0021_1100.jpg,Stimuli/Faces/CF0021_1100.jpg,,,,,,,,,,,,
,,,,0,d,1,1.7144,,,,,,3,rand_face,rand_face,d,d,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Faces/CM0050_1100.jpg,Stimuli/Faces/CM0005_1100.jpg,0,27,27,3,1,,,,,,,,,,,,,,
,,,,0,d,1,0.6532,,,,,,10,rand_face,rand_face,d,d,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Faces/CM0009_1100.jpg,Stimuli/Faces/CF0021_1100.jpg,0,28,28,10,1,,,,,,,,,,,,,,
,,,,0,s,1,0.8694,,,,,,33,catch_target,catch_probe,s,c,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,0,29,29,33,1,,,Stimuli/Faces/CF0023_1100.jpg,Stimuli/Faces/CF0023_1100.jpg,,,,,,,,,,
,,,,0,s,1,0.4958,,,,,,20,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,0,30,30,20,1,Stimuli/Faces/CM0039_3300.jpg,Stimuli/Faces/CM0039_3300.jpg,,,,,,,,,,,,
,,,,0,d,1,1.3276,,,,,,0,rand_face,rand_face,d,d,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Faces/CF0026_1110.jpg,Stimuli/Faces/CM0039_3300.jpg,0,31,31,0,1,,,,,,,,,,,,,,
,,,,0,d,1,0.7355,,,,,,8,rand_face,rand_face,d,d,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Faces/CF0023_1100.jpg,Stimuli/Faces/CM0029_2200.jpg,0,32,32,8,1,,,,,,,,,,,,,,
,,,,0,s,1,0.7238,,,,,,26,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,0,33,33,26,1,Stimuli/Faces/CM0029_2200.jpg,Stimuli/Faces/CM0029_2200.jpg,,,,,,,,,,,,
,,,,0,s,0,0.5685,,,,,,14,rand_face,rand_face,d,d,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Faces/CM0039_3300.jpg,Stimuli/Faces/CM0008_1100.jpg,0,34,34,14,1,,,,,,,,,,,,,,
,,,,0,s,1,0.6005,,,,,,27,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,0,35,35,27,1,Stimuli/Faces/CM0008_1100.jpg,Stimuli/Faces/CM0008_1100.jpg,,,,,,,,,,,,
,,,,0,s,1,0.6077,,,,,,65,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,,,,,,Stimuli/Faces/CF0058_1100.jpg,Stimuli/Faces/CF0058_1100.jpg,,,0,0,0,29,1,,,,,
,,,,0,d,1,0.7307,,,,,,36,rand_face,rand_face,d,d,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Faces/CM0039_1100.jpg,Stimuli/Faces/CF0058_1100.jpg,,,,,,,,,,0,1,1,0,1,,,,,
,,,,0,d,1,1.4834,,,,,,38,rand_face,rand_face,d,d,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Faces/CF0057_1100.jpg,Stimuli/Faces/CM0029_1100.jpg,,,,,,,,,,0,2,2,2,1,,,,,
,,,,0,d,1,0.652,,,,,,42,rand_face,rand_face,d,d,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Faces/CM0008_1100.jpg,Stimuli/Faces/CF0040_1110.jpg,,,,,,,,,,0,3,3,6,1,,,,,
,,,,0,s,1,0.396,,,,,,64,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,,,,,,Stimuli/Faces/CM0029_1100.jpg,Stimuli/Faces/CM0029_1100.jpg,,,0,4,4,28,1,,,,,
,,,,0,d,1,1.0579,,,,,,44,rand_face,rand_face,d,d,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Faces/CF0007_1100.jpg,Stimuli/Faces/CM0028_1100.jpg,,,,,,,,,,0,5,5,8,1,,,,,
,,,,0,d,1,1.0171,,,,,,37,rand_face,rand_face,d,d,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Faces/CF0052_1100.jpg,Stimuli/Faces/CM0024_3100.jpg,,,,,,,,,,0,6,6,1,1,,,,,
,,,,0,s,0,0.65,,,,,,70,catch_target,catch_probe,d,c,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,,,,,,,,Stimuli/Faces/CM0046_1100.jpg,Stimuli/Faces/CF0035_1100.jpg,0,7,7,34,1,,,,,
,,,,0,d,1,0.6493,,,,,,39,rand_face,rand_face,d,d,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Faces/CF0010_1100.jpg,Stimuli/Faces/CF0012_3320.jpg,,,,,,,,,,0,8,8,3,1,,,,,
,,,,0,s,1,0.6819,,,,,,56,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,,,,,,Stimuli/Faces/CF0040_1110.jpg,Stimuli/Faces/CF0040_1110.jpg,,,0,9,9,20,1,,,,,
,,,,0,s,1,0.7695,,,,,,57,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,,,,,,Stimuli/Faces/CM0028_1100.jpg,Stimuli/Faces/CM0028_1100.jpg,,,0,10,10,21,1,,,,,
,,,,0,d,1,0.6708,,,,,,48,rand_face,rand_face,d,d,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Faces/CF0040_1110.jpg,Stimuli/Faces/CM0039_1100.jpg,,,,,,,,,,0,11,11,12,1,,,,,
,,,,0,s,0,1.1311,,,,,,43,rand_face,rand_face,d,d,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Faces/CM0029_1100.jpg,Stimuli/Faces/CF0050_1100.jpg,,,,,,,,,,0,12,12,7,1,,,,,
,,,,0,s,1,0.6529,,,,,,59,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,,,,,,Stimuli/Faces/CM0024_3100.jpg,Stimuli/Faces/CM0024_3100.jpg,,,0,13,13,23,1,,,,,
,,,,0,d,1,0.554,,,,,,46,rand_face,rand_face,d,d,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Faces/CF0033_1100.jpg,Stimuli/Faces/CF0022_1100.jpg,,,,,,,,,,0,14,14,10,1,,,,,
,,,,0,d,1,0.7294,,,,,,50,rand_face,rand_face,d,d,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Faces/CM0007_1100.jpg,Stimuli/Faces/CM0044_1100.jpg,,,,,,,,,,0,15,15,14,1,,,,,
,,,,0,d,1,0.8611,,,,,,40,rand_face,rand_face,d,d,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Faces/CM0005_1100.jpg,Stimuli/Faces/CF0010_1100.jpg,,,,,,,,,,0,16,16,4,1,,,,,
,,,,0,s,1,0.4687,,,,,,55,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,,,,,,Stimuli/Faces/CF0012_3320.jpg,Stimuli/Faces/CF0012_3320.jpg,,,0,17,17,19,1,,,,,
,,,,0,d,1,1.0015,,,,,,45,rand_face,rand_face,d,d,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Faces/CF0008_1100.jpg,Stimuli/Faces/CM0048_1100.jpg,,,,,,,,,,0,18,18,9,1,,,,,
,,,,0,s,1,0.6828,,,,,,58,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,,,,,,Stimuli/Faces/CM0039_1100.jpg,Stimuli/Faces/CM0039_1100.jpg,,,0,19,19,22,1,,,,,
,,,,0,s,1,0.9292,,,,,,54,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,,,,,,Stimuli/Faces/CF0050_1100.jpg,Stimuli/Faces/CF0050_1100.jpg,,,0,20,20,18,1,,,,,
,,,,0,s,1,0.4642,,,,,,63,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,,,,,,Stimuli/Faces/CF0022_1100.jpg,Stimuli/Faces/CF0022_1100.jpg,,,0,21,21,27,1,,,,,
,,,,0,s,1,0.4718,,,,,,66,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,,,,,,Stimuli/Faces/CM0044_1100.jpg,Stimuli/Faces/CM0044_1100.jpg,,,0,22,22,30,1,,,,,
,,,,0,s,1,0.7821,,,,,,62,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,,,,,,Stimuli/Faces/CF0010_1100.jpg,Stimuli/Faces/CF0010_1100.jpg,,,0,23,23,26,1,,,,,
,,,,0,s,1,0.784,,,,,,52,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,,,,,,Stimuli/Faces/CM0048_1100.jpg,Stimuli/Faces/CM0048_1100.jpg,,,0,24,24,16,1,,,,,
,,,,0,d,1,0.8192,,,,,,41,rand_face,rand_face,d,d,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Faces/CF0032_1100.jpg,Stimuli/Faces/CM0045_1100.jpg,,,,,,,,,,0,25,25,5,1,,,,,
,,,,0,s,1,0.6173,,,,,,60,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,,,,,,Stimuli/Faces/CM0045_1100.jpg,Stimuli/Faces/CM0045_1100.jpg,,,0,26,26,24,1,,,,,
,,,,0,s,1,0.4683,,,,,,67,same_face,same_face,s,s,XC,,1,0.05,0.05,2023-06-09_14h06.35.114,02_face_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,,,,,,Stimuli/Faces/CF0052_1100.jpg,Stimuli/Faces/CF0052_1100.jpg,,,0,27,27,31,1,,,,,
