X Scale,Y Scale,diff_pTarget,diff_pProbe,xPosition,FW_resp.keys,FW_resp.corr,FW_resp.rt,prac_Ftrials.thisRepN,prac_Ftrials.thisTrialN,prac_Ftrials.thisN,prac_Ftrials.thisIndex,prac_Ftrials.ran,targetID,imFile,imFile2,corr,trial_type,participant,position,screen,x_scale,y_scale,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,catch_pTarget,catch_pProbe,eval_prac_resp.keys,eval_prac_resp.rt,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,repeat_prac.ran,diff_target,diff_probe,face_loop_set1.thisRepN,face_loop_set1.thisTrialN,face_loop_set1.thisN,face_loop_set1.thisIndex,face_loop_set1.ran,catch_target,catch_probe,same_target,same_probe,face_loop_set2.thisRepN,face_loop_set2.thisTrialN,face_loop_set2.thisN,face_loop_set2.thisIndex,face_loop_set2.ran,face_loop_set3.thisRepN,face_loop_set3.thisTrialN,face_loop_set3.thisN,face_loop_set3.thisIndex,face_loop_set3.ran
0.0525,0.0482,Stimuli/Faces/CM0008_1100.jpg,Stimuli/Faces/CF0026_1110.jpg,0,d,1,1.4422,0,0,0,0,1,0,rand_face,rand_face,d,d,KN,,1,0.05,0.05,2023-06-12_13h00.13.079,02_face_task,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,d,1,1.1517,0,1,1,1,1,102,catch_target,catch_probe,d,c,KN,,1,0.05,0.05,2023-06-12_13h00.13.079,02_face_task,2020.2.4,Win32,60,1536,864,Stimuli/Faces/CF0020_1100.jpg,Stimuli/Faces/CM0009_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,s,1,1.4672,0,2,2,2,1,96,catch_target,catch_probe,s,c,KN,,1,0.05,0.05,2023-06-12_13h00.13.079,02_face_task,2020.2.4,Win32,60,1536,864,Stimuli/Faces/CM0010_1100.jpg,Stimuli/Faces/CM0010_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CM0008_1100.jpg,Stimuli/Faces/CM0008_1100.jpg,0,s,1,0.9065,0,3,3,3,1,83,Stimuli/Faces/CM0029_1100.jpg,Stimuli/Faces/CM0029_1100.jpg,s,s,KN,,1,0.05,0.05,2023-06-12_13h00.13.079,02_face_task,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CF0022_1100.jpg,Stimuli/Faces/CF0022_1100.jpg,0,s,1,0.7469,0,4,4,4,1,78,Stimuli/Faces/CM0011_1100.jpg,Stimuli/Faces/CM0011_1100.jpg,s,s,KN,,1,0.05,0.05,2023-06-12_13h00.13.079,02_face_task,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,d,1,1.1268,0,5,5,5,1,104,catch_target,catch_probe,d,c,KN,,1,0.05,0.05,2023-06-12_13h00.13.079,02_face_task,2020.2.4,Win32,60,1536,864,Stimuli/Faces/CM0040_1100.jpg,Stimuli/Faces/CF0033_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CM0031_1100.jpg,Stimuli/Faces/CM0031_1100.jpg,0,s,1,0.7089,0,6,6,6,1,69,Stimuli/Faces/CF0052_1100.jpg,Stimuli/Faces/CF0052_1100.jpg,s,s,KN,,1,0.05,0.05,2023-06-12_13h00.13.079,02_face_task,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,d,1,1.1671,0,7,7,7,1,103,catch_target,catch_probe,d,c,KN,,1,0.05,0.05,2023-06-12_13h00.13.079,02_face_task,2020.2.4,Win32,60,1536,864,Stimuli/Faces/CF0052_1100.jpg,Stimuli/Faces/CM0039_3300.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CF0022_1100.jpg,Stimuli/Faces/CF0012_3320.jpg,0,d,1,1.9534,0,8,8,8,1,2,rand_face,rand_face,d,d,KN,,1,0.05,0.05,2023-06-12_13h00.13.079,02_face_task,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,s,1,0.6555,0,9,9,9,1,98,catch_target,catch_probe,s,c,KN,,1,0.05,0.05,2023-06-12_13h00.13.079,02_face_task,2020.2.4,Win32,60,1536,864,Stimuli/Faces/CM0041_1100.jpg,Stimuli/Faces/CM0041_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
