"X.Scale","Y.Scale","diff_target","diff_probe","xPosition","FW_resp.keys","FW_resp.corr","FW_resp.rt","face_loop_set1.thisRepN","face_loop_set1.thisTrialN","face_loop_set1.thisN","face_loop_set1.thisIndex","face_loop_set1.ran","targetID","imFile","imFile2","corr","trial_type","position","screen","x_scale","y_scale","date","expName","psychopyVersion","OS","frameRate","xResolution","yResolution","same_target","same_probe","face_loop_set2.thisRepN","face_loop_set2.thisTrialN","face_loop_set2.thisN","face_loop_set2.thisIndex","face_loop_set2.ran","face_loop_set3.thisRepN","face_loop_set3.thisTrialN","face_loop_set3.thisN","face_loop_set3.thisIndex","face_loop_set3.ran"
0.05,0.05,"Stimuli/Faces/CF0008_1100.jpg","Stimuli/Faces/CM0044_1100.jpg",0,"d",1,0.5102,0,0,0,3,1,3,"rand_face","rand_face","d","d",2,0,0.05,0.05,"2021-12-10_13h33.45.874","02_face_task_central","2020.2.4","Win32",60,1536,864,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CF0035_1100.jpg","Stimuli/Faces/CM0029_2200.jpg",0,"d",1,0.4475,0,1,1,6,1,6,"rand_face","rand_face","d","d",2,0,0.05,0.05,"2021-12-10_13h33.45.874","02_face_task_central","2020.2.4","Win32",60,1536,864,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CF0033_1100.jpg","Stimuli/Faces/CF0026_1110.jpg",0,"d",1,0.4172,0,2,2,14,1,14,"rand_face","rand_face","d","d",2,0,0.05,0.05,"2021-12-10_13h33.45.874","02_face_task_central","2020.2.4","Win32",60,1536,864,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"s",1,0.595,0,3,3,23,1,23,"same_face","same_face","s","s",2,0,0.05,0.05,"2021-12-10_13h33.45.874","02_face_task_central","2020.2.4","Win32",60,1536,864,"Stimuli/Faces/CM0044_1100.jpg","Stimuli/Faces/CM0044_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"s",1,0.3803,0,4,4,21,1,21,"same_face","same_face","s","s",2,0,0.05,0.05,"2021-12-10_13h33.45.874","02_face_task_central","2020.2.4","Win32",60,1536,864,"Stimuli/Faces/CM0029_2200.jpg","Stimuli/Faces/CM0029_2200.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"s",1,0.3518,0,5,5,26,1,26,"same_face","same_face","s","s",2,0,0.05,0.05,"2021-12-10_13h33.45.874","02_face_task_central","2020.2.4","Win32",60,1536,864,"Stimuli/Faces/CF0026_1110.jpg","Stimuli/Faces/CF0026_1110.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"s",1,0.3346,0,6,6,19,1,19,"same_face","same_face","s","s",2,0,0.05,0.05,"2021-12-10_13h33.45.874","02_face_task_central","2020.2.4","Win32",60,1536,864,"Stimuli/Faces/CM0010_1100.jpg","Stimuli/Faces/CM0010_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"s",1,0.3894,0,7,7,25,1,25,"same_face","same_face","s","s",2,0,0.05,0.05,"2021-12-10_13h33.45.874","02_face_task_central","2020.2.4","Win32",60,1536,864,"Stimuli/Faces/CF0057_1100.jpg","Stimuli/Faces/CF0057_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CF0013_1110.jpg","Stimuli/Faces/CM0010_1100.jpg",0,"d",1,0.4759,0,8,8,5,1,5,"rand_face","rand_face","d","d",2,0,0.05,0.05,"2021-12-10_13h33.45.874","02_face_task_central","2020.2.4","Win32",60,1536,864,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CM0025_1100.jpg","Stimuli/Faces/CF0057_1100.jpg",0,"d",1,0.4363,0,9,9,2,1,2,"rand_face","rand_face","d","d",2,0,0.05,0.05,"2021-12-10_13h33.45.874","02_face_task_central","2020.2.4","Win32",60,1536,864,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CF0040_1110.jpg","Stimuli/Faces/CM0040_1100.jpg",0,"d",1,0.4683,0,10,10,8,1,8,"rand_face","rand_face","d","d",2,0,0.05,0.05,"2021-12-10_13h33.45.874","02_face_task_central","2020.2.4","Win32",60,1536,864,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
