X Scale,Y Scale,catch_pTarget,catch_pProbe,xPosition,FW_resp.keys,FW_resp.corr,FW_resp.rt,prac_Ftrials.thisRepN,prac_Ftrials.thisTrialN,prac_Ftrials.thisN,prac_Ftrials.thisIndex,prac_Ftrials.ran,targetID,imFile,imFile2,corr,trial_type,participant,position,screen,x_scale,y_scale,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,diff_pTarget,diff_pProbe,eval_prac_resp.keys,eval_prac_resp.rt,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,repeat_prac.ran,same_target,same_probe,face_loop_set1.thisRepN,face_loop_set1.thisTrialN,face_loop_set1.thisN,face_loop_set1.thisIndex,face_loop_set1.ran,diff_target,diff_probe,catch_target,catch_probe,face_loop_set2.thisRepN,face_loop_set2.thisTrialN,face_loop_set2.thisN,face_loop_set2.thisIndex,face_loop_set2.ran,face_loop_set3.thisRepN,face_loop_set3.thisTrialN,face_loop_set3.thisN,face_loop_set3.thisIndex,face_loop_set3.ran
0.0378,0.038,Stimuli/Faces/CF0022_1100.jpg,Stimuli/Faces/CF0022_1100.jpg,0,s,1,1.3739,0,0,0,0,1,96,catch_target,catch_probe,s,c,FO,,1,0.05,0.05,2023-04-25_15h42.25.531,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CF0033_1100.jpg,Stimuli/Faces/CM0045_1100.jpg,0,d,1,3.4533,0,1,1,1,1,103,catch_target,catch_probe,d,c,FO,,1,0.05,0.05,2023-04-25_15h42.25.531,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,d,1,1.7033,0,2,2,2,1,1,rand_face,rand_face,d,d,FO,,1,0.05,0.05,2023-04-25_15h42.25.531,02_face_task,2020.2.4,Win32,60,1920,1080,Stimuli/Faces/CM0046_1100.jpg,Stimuli/Faces/CM0048_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,d,1,0.8881,0,3,3,3,1,0,rand_face,rand_face,d,d,FO,,1,0.05,0.05,2023-04-25_15h42.25.531,02_face_task,2020.2.4,Win32,60,1920,1080,Stimuli/Faces/CM0040_1100.jpg,Stimuli/Faces/CM0039_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CF0007_1100.jpg,Stimuli/Faces/CF0007_1100.jpg,0,s,1,0.5021,0,4,4,4,1,98,catch_target,catch_probe,s,c,FO,,1,0.05,0.05,2023-04-25_15h42.25.531,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,d,0,0.4782,0,5,5,5,1,57,Stimuli/Faces/CF0021_1100.jpg,Stimuli/Faces/CF0021_1100.jpg,s,s,FO,,1,0.05,0.05,2023-04-25_15h42.25.531,02_face_task,2020.2.4,Win32,60,1920,1080,Stimuli/Faces/CM0046_1100.jpg,Stimuli/Faces/CM0046_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,s,1,0.4581,0,6,6,6,1,67,Stimuli/Faces/CF0046_1100.jpg,Stimuli/Faces/CF0046_1100.jpg,s,s,FO,,1,0.05,0.05,2023-04-25_15h42.25.531,02_face_task,2020.2.4,Win32,60,1920,1080,Stimuli/Faces/CM0040_1100.jpg,Stimuli/Faces/CM0040_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CM0029_2200.jpg,Stimuli/Faces/CM0015_1100.jpg,0,d,1,0.7893,0,7,7,7,1,104,catch_target,catch_probe,d,c,FO,,1,0.05,0.05,2023-04-25_15h42.25.531,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,d,1,0.7367,0,8,8,8,1,2,rand_face,rand_face,d,d,FO,,1,0.05,0.05,2023-04-25_15h42.25.531,02_face_task,2020.2.4,Win32,60,1920,1080,Stimuli/Faces/CF0058_1100.jpg,Stimuli/Faces/CF0055_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CM0050_1100.jpg,Stimuli/Faces/CM0047_1100.jpg,0,d,1,0.5568,0,9,9,9,1,102,catch_target,catch_probe,d,c,FO,,1,0.05,0.05,2023-04-25_15h42.25.531,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,s,1,0.78,0,10,10,10,1,89,Stimuli/Faces/CM0040_1100.jpg,Stimuli/Faces/CM0040_1100.jpg,s,s,FO,,1,0.05,0.05,2023-04-25_15h42.25.531,02_face_task,2020.2.4,Win32,60,1920,1080,Stimuli/Faces/CF0058_1100.jpg,Stimuli/Faces/CF0058_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CF0057_1100.jpg,Stimuli/Faces/CF0057_1100.jpg,0,s,1,0.5304,0,11,11,11,1,97,catch_target,catch_probe,s,c,FO,,1,0.05,0.05,2023-04-25_15h42.25.531,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,FO,,1,0.05,0.05,2023-04-25_15h42.25.531,02_face_task,2020.2.4,Win32,60,1920,1080,,,c,12.3722,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
