X Scale,Y Scale,Pimage1,Pimage2,xPosition,FW_resp.keys,FW_resp.corr,FW_resp.rt,prac_Wtrials.thisRepN,prac_Wtrials.thisTrialN,prac_Wtrials.thisN,prac_Wtrials.thisIndex,prac_Wtrials.ran,trialID,imFile,imFile2,corr,diff,participant,position,screen,x_scale,y_scale,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,catch_pTarget,catch_pProbe,eval_prac_resp.keys,eval_prac_resp.rt,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,repeat_prac.ran,image1,image2,corr_acc,word_loop_set1.thisRepN,word_loop_set1.thisTrialN,word_loop_set1.thisN,word_loop_set1.thisIndex,word_loop_set1.ran,catch_target,catch_probe,key_resp_3.keys,key_resp_3.rt,word_loop_set2.thisRepN,word_loop_set2.thisTrialN,word_loop_set2.thisN,word_loop_set2.thisIndex,word_loop_set2.ran,word_loop_set3.thisRepN,word_loop_set3.thisTrialN,word_loop_set3.thisN,word_loop_set3.thisIndex,word_loop_set3.ran
0.0353,0.0348,Stimuli/Words/word11.jpg,Stimuli/Words/word12.jpg,0,d,1,3.877,0,0,0,0,1,92,Stimuli/Words/word11.jpg,Stimuli/Words/word12.jpg,d,third,JD,,1,0.05,0.05,2023-05-08_11h03.26.580,01_word_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word35.jpg,Stimuli/Words/word36.jpg,0,d,1,5.7174,0,1,1,1,1,117,CatchTrial,CatchTrial,c,CatchTrials,JD,,1,0.05,0.05,2023-05-08_11h03.26.580,01_word_task,2020.2.4,Win32,60,1920,1080,Stimuli/Words/word35.jpg,Stimuli/Words/word36.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word33.jpg,Stimuli/Words/word33.jpg,0,s,1,2.1355,0,2,2,2,1,116,CatchTrial,CatchTrial,c,CatchTrials,JD,,1,0.05,0.05,2023-05-08_11h03.26.580,01_word_task,2020.2.4,Win32,60,1920,1080,Stimuli/Words/word33.jpg,Stimuli/Words/word33.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word10.jpg,Stimuli/Words/word10.jpg,0,s,1,1.4932,0,3,3,3,1,118,CatchTrial,CatchTrial,c,CatchTrials,JD,,1,0.05,0.05,2023-05-08_11h03.26.580,01_word_task,2020.2.4,Win32,60,1920,1080,Stimuli/Words/word10.jpg,Stimuli/Words/word10.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word56.jpg,Stimuli/Words/word56.jpg,0,s,1,0.5897,0,4,4,4,1,27,Stimuli/Words/word56.jpg,Stimuli/Words/word56.jpg,s,second,JD,,1,0.05,0.05,2023-05-08_11h03.26.580,01_word_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word36.jpg,Stimuli/Words/word35.jpg,0,d,1,1.1737,0,5,5,5,1,77,Stimuli/Words/word36.jpg,Stimuli/Words/word35.jpg,d,second,JD,,1,0.05,0.05,2023-05-08_11h03.26.580,01_word_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word03.jpg,Stimuli/Words/word04.jpg,0,d,1,0.7336,0,6,6,6,1,120,CatchTrial,CatchTrial,c,CatchTrials,JD,,1,0.05,0.05,2023-05-08_11h03.26.580,01_word_task,2020.2.4,Win32,60,1920,1080,Stimuli/Words/word03.jpg,Stimuli/Words/word04.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word29.jpg,Stimuli/Words/word29.jpg,0,s,1,0.7911,0,7,7,7,1,119,CatchTrial,CatchTrial,c,CatchTrials,JD,,1,0.05,0.05,2023-05-08_11h03.26.580,01_word_task,2020.2.4,Win32,60,1920,1080,Stimuli/Words/word29.jpg,Stimuli/Words/word29.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word08.jpg,Stimuli/Words/word07.jpg,0,s,0,1.0191,0,8,8,8,1,121,CatchTrial,CatchTrial,c,CatchTrials,JD,,1,0.05,0.05,2023-05-08_11h03.26.580,01_word_task,2020.2.4,Win32,60,1920,1080,Stimuli/Words/word08.jpg,Stimuli/Words/word07.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word43.jpg,Stimuli/Words/word43.jpg,0,s,1,4.1725,0,9,9,9,1,4,Stimuli/Words/word21.jpg,Stimuli/Words/word21.jpg,s,second,JD,,1,0.05,0.05,2023-05-08_11h03.26.580,01_word_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
