"X.Scale","Y.Scale","same_target","same_probe","xPosition","FW_resp.keys","FW_resp.corr","FW_resp.rt","face_loop_set1.thisRepN","face_loop_set1.thisTrialN","face_loop_set1.thisN","face_loop_set1.thisIndex","face_loop_set1.ran","targetID","imFile","imFile2","corr","trial_type","position","screen","x_scale","y_scale","date","expName","psychopyVersion","OS","frameRate","xResolution","yResolution","diff_target","diff_probe","face_loop_set2.thisRepN","face_loop_set2.thisTrialN","face_loop_set2.thisN","face_loop_set2.thisIndex","face_loop_set2.ran","face_loop_set3.thisRepN","face_loop_set3.thisTrialN","face_loop_set3.thisN","face_loop_set3.thisIndex","face_loop_set3.ran"
NA,NA,"Stimuli/Faces/CM0025_1100.jpg","Stimuli/Faces/CM0025_1100.jpg",0,"s",1,0.2919,0,15,15,26,1,26,"same_face","same_face","s","s",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,0.3248,0,16,16,12,1,12,"rand_face","rand_face","d","d",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"Stimuli/Faces/CM0009_1100.jpg","Stimuli/Faces/CF0012_3320.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,0.2994,0,17,17,0,1,0,"rand_face","rand_face","d","d",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"Stimuli/Faces/CM0030_1100.jpg","Stimuli/Faces/CM0025_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,0.3311,0,18,18,8,1,8,"rand_face","rand_face","d","d",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"Stimuli/Faces/CF0012_3320.jpg","Stimuli/Faces/CM0024_3100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CM0024_3100.jpg","Stimuli/Faces/CM0024_3100.jpg",0,"s",1,0.2683,0,19,19,27,1,27,"same_face","same_face","s","s",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CM0010_1100.jpg","Stimuli/Faces/CM0010_1100.jpg",0,"s",1,0.3239,0,20,20,17,1,17,"same_face","same_face","s","s",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"s",0,0.5244,0,21,21,9,1,9,"rand_face","rand_face","d","d",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"Stimuli/Faces/CF0022_1100.jpg","Stimuli/Faces/CM0010_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CF0020_1100.jpg","Stimuli/Faces/CF0020_1100.jpg",0,"s",1,0.4509,0,22,22,25,1,25,"same_face","same_face","s","s",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,0.3077,0,23,23,7,1,7,"rand_face","rand_face","d","d",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"Stimuli/Faces/CF0050_1100.jpg","Stimuli/Faces/CF0020_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CF0058_1100.jpg","Stimuli/Faces/CF0058_1100.jpg",0,"s",1,0.3685,0,24,24,16,1,16,"same_face","same_face","s","s",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,0.2912,0,25,25,6,1,6,"rand_face","rand_face","d","d",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"Stimuli/Faces/CM0007_1100.jpg","Stimuli/Faces/CF0058_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,0.3191,0,26,26,13,1,13,"rand_face","rand_face","d","d",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"Stimuli/Faces/CF0057_1100.jpg","Stimuli/Faces/CM0031_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,0.4874,0,27,27,1,1,1,"rand_face","rand_face","d","d",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"Stimuli/Faces/CM0050_1100.jpg","Stimuli/Faces/CM0046_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
