X Scale,Y Scale,diff_pTarget,diff_pProbe,xPosition,FW_resp.keys,FW_resp.corr,FW_resp.rt,prac_Ftrials.thisRepN,prac_Ftrials.thisTrialN,prac_Ftrials.thisN,prac_Ftrials.thisIndex,prac_Ftrials.ran,targetID,imFile,imFile2,corr,trial_type,participant,position,screen,x_scale,y_scale,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,catch_pTarget,catch_pProbe,eval_prac_resp.keys,eval_prac_resp.rt,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,repeat_prac.ran,diff_target,diff_probe,face_loop_set1.thisRepN,face_loop_set1.thisTrialN,face_loop_set1.thisN,face_loop_set1.thisIndex,face_loop_set1.ran,catch_target,catch_probe,same_target,same_probe,face_loop_set2.thisRepN,face_loop_set2.thisTrialN,face_loop_set2.thisN,face_loop_set2.thisIndex,face_loop_set2.ran,face_loop_set3.thisRepN,face_loop_set3.thisTrialN,face_loop_set3.thisN,face_loop_set3.thisIndex,face_loop_set3.ran
0.0463,0.0476,Stimuli/Faces/CF0007_1100.jpg,Stimuli/Faces/CF0007_1100.jpg,0,s,1,1.6959,0,0,0,0,1,61,Stimuli/Faces/CF0031_1100.jpg,Stimuli/Faces/CF0031_1100.jpg,s,s,KT,,1,0.05,0.05,2023-04-26_11h03.45.004,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,d,1,0.901,0,1,1,1,1,102,catch_target,catch_probe,d,c,KT,,1,0.05,0.05,2023-04-26_11h03.45.004,02_face_task,2020.2.4,Win32,60,1920,1080,Stimuli/Faces/CF0026_1110.jpg,Stimuli/Faces/CM0008_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,s,1,0.6072,0,2,2,2,1,98,catch_target,catch_probe,s,c,KT,,1,0.05,0.05,2023-04-26_11h03.45.004,02_face_task,2020.2.4,Win32,60,1920,1080,Stimuli/Faces/CM0007_1100.jpg,Stimuli/Faces/CM0007_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CM0029_1100.jpg,Stimuli/Faces/CM0029_1100.jpg,0,s,1,0.6409,0,3,3,3,1,71,Stimuli/Faces/CF0057_1100.jpg,Stimuli/Faces/CF0057_1100.jpg,s,s,KT,,1,0.05,0.05,2023-04-26_11h03.45.004,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CF0007_1100.jpg,Stimuli/Faces/CM0045_1100.jpg,0,d,1,0.5448,0,4,4,4,1,0,rand_face,rand_face,d,d,KT,,1,0.05,0.05,2023-04-26_11h03.45.004,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,s,1,0.5447,0,5,5,5,1,96,catch_target,catch_probe,s,c,KT,,1,0.05,0.05,2023-04-26_11h03.45.004,02_face_task,2020.2.4,Win32,60,1920,1080,Stimuli/Faces/CF0010_1100.jpg,Stimuli/Faces/CF0010_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,s,1,0.5567,0,6,6,6,1,97,catch_target,catch_probe,s,c,KT,,1,0.05,0.05,2023-04-26_11h03.45.004,02_face_task,2020.2.4,Win32,60,1920,1080,Stimuli/Faces/CM0009_1100.jpg,Stimuli/Faces/CM0009_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CM0029_1100.jpg,Stimuli/Faces/CM0048_1100.jpg,0,d,1,0.4867,0,7,7,7,1,1,rand_face,rand_face,d,d,KT,,1,0.05,0.05,2023-04-26_11h03.45.004,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CM0047_1100.jpg,Stimuli/Faces/CM0040_1100.jpg,0,d,1,0.5145,0,8,8,8,1,2,rand_face,rand_face,d,d,KT,,1,0.05,0.05,2023-04-26_11h03.45.004,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CM0047_1100.jpg,Stimuli/Faces/CM0047_1100.jpg,0,s,1,0.4247,0,9,9,9,1,85,Stimuli/Faces/CM0030_1100.jpg,Stimuli/Faces/CM0030_1100.jpg,s,s,KT,,1,0.05,0.05,2023-04-26_11h03.45.004,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
