X Scale,Y Scale,Pimage1,Pimage2,xPosition,FW_resp.keys,FW_resp.corr,FW_resp.rt,prac_Wtrials.thisRepN,prac_Wtrials.thisTrialN,prac_Wtrials.thisN,prac_Wtrials.thisIndex,prac_Wtrials.ran,trialID,imFile,imFile2,corr,diff,participant,position,screen,x_scale,y_scale,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,catch_pTarget,catch_pProbe,eval_prac_resp.keys,eval_prac_resp.rt,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,repeat_prac.ran,image1,image2,corr_acc,word_loop_set1.thisRepN,word_loop_set1.thisTrialN,word_loop_set1.thisN,word_loop_set1.thisIndex,word_loop_set1.ran,catch_target,catch_probe,key_resp_3.keys,key_resp_3.rt,word_loop_set2.thisRepN,word_loop_set2.thisTrialN,word_loop_set2.thisN,word_loop_set2.thisIndex,word_loop_set2.ran,word_loop_set3.thisRepN,word_loop_set3.thisTrialN,word_loop_set3.thisN,word_loop_set3.thisIndex,word_loop_set3.ran
0.0473,0.0478,Stimuli/Words/word29.jpg,Stimuli/Words/word30.jpg,0,d,1,0.7994,0,0,0,0,1,70,Stimuli/Words/word29.jpg,Stimuli/Words/word30.jpg,d,second,KT,,1,0.05,0.05,2023-05-15_15h35.51.838,01_word_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word25.jpg,Stimuli/Words/word25.jpg,0,s,1,0.5676,0,1,1,1,1,116,CatchTrial,CatchTrial,c,CatchTrials,KT,,1,0.05,0.05,2023-05-15_15h35.51.838,01_word_task,2020.2.4,Win32,60,1920,1080,Stimuli/Words/word25.jpg,Stimuli/Words/word25.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word03.jpg,Stimuli/Words/word04.jpg,0,d,1,0.4885,0,2,2,2,1,61,Stimuli/Words/word08.jpg,Stimuli/Words/word07.jpg,d,second,KT,,1,0.05,0.05,2023-05-15_15h35.51.838,01_word_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word33.jpg,Stimuli/Words/word34.jpg,0,d,1,0.5221,0,3,3,3,1,117,CatchTrial,CatchTrial,c,CatchTrials,KT,,1,0.05,0.05,2023-05-15_15h35.51.838,01_word_task,2020.2.4,Win32,60,1920,1080,Stimuli/Words/word33.jpg,Stimuli/Words/word34.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word15.jpg,Stimuli/Words/word15.jpg,0,s,1,0.6482,0,4,4,4,1,118,CatchTrial,CatchTrial,c,CatchTrials,KT,,1,0.05,0.05,2023-05-15_15h35.51.838,01_word_task,2020.2.4,Win32,60,1920,1080,Stimuli/Words/word15.jpg,Stimuli/Words/word15.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word08.jpg,Stimuli/Words/word07.jpg,0,d,1,0.6321,0,5,5,5,1,88,Stimuli/Words/word03.jpg,Stimuli/Words/word04.jpg,d,third,KT,,1,0.05,0.05,2023-05-15_15h35.51.838,01_word_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word27.jpg,Stimuli/Words/word28.jpg,0,d,1,0.9903,0,6,6,6,1,120,CatchTrial,CatchTrial,c,CatchTrials,KT,,1,0.05,0.05,2023-05-15_15h35.51.838,01_word_task,2020.2.4,Win32,60,1920,1080,Stimuli/Words/word27.jpg,Stimuli/Words/word28.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word21.jpg,Stimuli/Words/word22.jpg,0,d,1,0.6554,0,7,7,7,1,121,CatchTrial,CatchTrial,c,CatchTrials,KT,,1,0.05,0.05,2023-05-15_15h35.51.838,01_word_task,2020.2.4,Win32,60,1920,1080,Stimuli/Words/word21.jpg,Stimuli/Words/word22.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word20.jpg,Stimuli/Words/word20.jpg,0,s,1,0.8875,0,8,8,8,1,13,Stimuli/Words/word30.jpg,Stimuli/Words/word30.jpg,s,second,KT,,1,0.05,0.05,2023-05-15_15h35.51.838,01_word_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word39.jpg,Stimuli/Words/word39.jpg,0,s,1,0.5938,0,9,9,9,1,119,CatchTrial,CatchTrial,c,CatchTrials,KT,,1,0.05,0.05,2023-05-15_15h35.51.838,01_word_task,2020.2.4,Win32,60,1920,1080,Stimuli/Words/word39.jpg,Stimuli/Words/word39.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
