X Scale,Y Scale,catch_pTarget,catch_pProbe,xPosition,FW_resp.keys,FW_resp.corr,FW_resp.rt,prac_Ftrials.thisRepN,prac_Ftrials.thisTrialN,prac_Ftrials.thisN,prac_Ftrials.thisIndex,prac_Ftrials.ran,targetID,imFile,imFile2,corr,trial_type,participant,position,screen,x_scale,y_scale,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,diff_pTarget,diff_pProbe,eval_prac_resp.keys,eval_prac_resp.rt,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,repeat_prac.ran,same_target,same_probe,face_loop_set1.thisRepN,face_loop_set1.thisTrialN,face_loop_set1.thisN,face_loop_set1.thisIndex,face_loop_set1.ran,catch_target,catch_probe,diff_target,diff_probe,face_loop_set2.thisRepN,face_loop_set2.thisTrialN,face_loop_set2.thisN,face_loop_set2.thisIndex,face_loop_set2.ran,face_loop_set3.thisRepN,face_loop_set3.thisTrialN,face_loop_set3.thisN,face_loop_set3.thisIndex,face_loop_set3.ran
0.0494,0.0482,Stimuli/Faces/CM0045_1100.jpg,Stimuli/Faces/CM0050_1100.jpg,0,d,1,1.1964,0,0,0,0,1,102,catch_target,catch_probe,d,c,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,d,1,0.7641,0,1,1,1,1,1,rand_face,rand_face,d,d,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,Stimuli/Faces/CF0020_1100.jpg,Stimuli/Faces/CM0015_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CM0031_1100.jpg,Stimuli/Faces/CM0031_1100.jpg,0,s,1,0.6107,0,2,2,2,1,96,catch_target,catch_probe,s,c,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,s,1,0.6603,0,3,3,3,1,84,Stimuli/Faces/CM0029_2200.jpg,Stimuli/Faces/CM0029_2200.jpg,s,s,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,Stimuli/Faces/CF0020_1100.jpg,Stimuli/Faces/CF0020_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CM0039_3300.jpg,Stimuli/Faces/CM0039_3300.jpg,0,s,1,0.6659,0,4,4,4,1,97,catch_target,catch_probe,s,c,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CF0046_1100.jpg,Stimuli/Faces/CF0009_1100.jpg,0,d,1,0.5698,0,5,5,5,1,103,catch_target,catch_probe,d,c,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,s,1,0.6707,0,6,6,6,1,73,Stimuli/Faces/CM0005_1100.jpg,Stimuli/Faces/CM0005_1100.jpg,s,s,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,Stimuli/Faces/CM0045_1100.jpg,Stimuli/Faces/CM0045_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CF0040_1110.jpg,Stimuli/Faces/CF0040_1110.jpg,0,s,1,0.5215,0,7,7,7,1,98,catch_target,catch_probe,s,c,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,d,1,0.7019,0,8,8,8,1,0,rand_face,rand_face,d,d,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,Stimuli/Faces/CM0045_1100.jpg,Stimuli/Faces/CF0016_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CF0023_1100.jpg,Stimuli/Faces/CF0057_1100.jpg,0,s,0,0.8481,0,9,9,9,1,104,catch_target,catch_probe,d,c,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
