"X.Scale","Y.Scale","same_target","same_probe","xPosition","FW_resp.keys","FW_resp.corr","FW_resp.rt","face_loop_set1.thisRepN","face_loop_set1.thisTrialN","face_loop_set1.thisN","face_loop_set1.thisIndex","face_loop_set1.ran","targetID","imFile","imFile2","corr","trial_type","position","screen","x_scale","y_scale","date","expName","psychopyVersion","OS","frameRate","xResolution","yResolution","diff_target","diff_probe","face_loop_set2.thisRepN","face_loop_set2.thisTrialN","face_loop_set2.thisN","face_loop_set2.thisIndex","face_loop_set2.ran","face_loop_set3.thisRepN","face_loop_set3.thisTrialN","face_loop_set3.thisN","face_loop_set3.thisIndex","face_loop_set3.ran"
0.0465,0.0467,"Stimuli/Faces/CF0031_1100.jpg","Stimuli/Faces/CF0031_1100.jpg",0,"s",1,1.358,0,0,0,30,1,30,"same_face","same_face","s","s",2,0,0.0465,0.0467,"2021-10-31_11h28.45.501","02_face_task_central","2020.2.4","MacIntel",60,1344,840,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,1.371,0,1,1,3,1,3,"rand_face","rand_face","d","d",2,0,0.0465,0.0467,"2021-10-31_11h28.45.501","02_face_task_central","2020.2.4","MacIntel",60,1344,840,"Stimuli/Faces/CM0011_1100.jpg","Stimuli/Faces/CF0031_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"s",0,5.154,0,2,2,12,1,12,"rand_face","rand_face","d","d",2,0,0.0465,0.0467,"2021-10-31_11h28.45.501","02_face_task_central","2020.2.4","MacIntel",60,1344,840,"Stimuli/Faces/CF0010_1100.jpg","Stimuli/Faces/CF0052_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CF0052_1100.jpg","Stimuli/Faces/CF0052_1100.jpg",0,"s",1,1.211,0,3,3,26,1,26,"same_face","same_face","s","s",2,0,0.0465,0.0467,"2021-10-31_11h28.45.501","02_face_task_central","2020.2.4","MacIntel",60,1344,840,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CM0039_1100.jpg","Stimuli/Faces/CM0039_1100.jpg",0,"s",1,1.255,0,4,4,22,1,22,"same_face","same_face","s","s",2,0,0.0465,0.0467,"2021-10-31_11h28.45.501","02_face_task_central","2020.2.4","MacIntel",60,1344,840,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,1.623,0,5,5,0,1,0,"rand_face","rand_face","d","d",2,0,0.0465,0.0467,"2021-10-31_11h28.45.501","02_face_task_central","2020.2.4","MacIntel",60,1344,840,"Stimuli/Faces/CF0007_1100.jpg","Stimuli/Faces/CM0039_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,1.503,0,6,6,14,1,14,"rand_face","rand_face","d","d",2,0,0.0465,0.0467,"2021-10-31_11h28.45.501","02_face_task_central","2020.2.4","MacIntel",60,1344,840,"Stimuli/Faces/CF0031_1100.jpg","Stimuli/Faces/CF0013_1110.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,1.827,0,7,7,5,1,5,"rand_face","rand_face","d","d",2,0,0.0465,0.0467,"2021-10-31_11h28.45.501","02_face_task_central","2020.2.4","MacIntel",60,1344,840,"Stimuli/Faces/CM0028_1100.jpg","Stimuli/Faces/CM0024_3100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CF0013_1110.jpg","Stimuli/Faces/CF0013_1110.jpg",0,"s",1,1.882,0,8,8,21,1,21,"same_face","same_face","s","s",2,0,0.0465,0.0467,"2021-10-31_11h28.45.501","02_face_task_central","2020.2.4","MacIntel",60,1344,840,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CM0024_3100.jpg","Stimuli/Faces/CM0024_3100.jpg",0,"s",1,1.689,0,9,9,24,1,24,"same_face","same_face","s","s",2,0,0.0465,0.0467,"2021-10-31_11h28.45.501","02_face_task_central","2020.2.4","MacIntel",60,1344,840,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CM0031_1100.jpg","Stimuli/Faces/CM0031_1100.jpg",0,"s",1,6.573,0,10,10,23,1,23,"same_face","same_face","s","s",2,0,0.0465,0.0467,"2021-10-31_11h28.45.501","02_face_task_central","2020.2.4","MacIntel",60,1344,840,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,1.6,0,11,11,15,1,15,"rand_face","rand_face","d","d",2,0,0.0465,0.0467,"2021-10-31_11h28.45.501","02_face_task_central","2020.2.4","MacIntel",60,1344,840,"Stimuli/Faces/CF0012_3320.jpg","Stimuli/Faces/CM0031_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,1.076,0,12,12,1,1,1,"rand_face","rand_face","d","d",2,0,0.0465,0.0467,"2021-10-31_11h28.45.501","02_face_task_central","2020.2.4","MacIntel",60,1344,840,"Stimuli/Faces/CF0020_1100.jpg","Stimuli/Faces/CF0035_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CF0035_1100.jpg","Stimuli/Faces/CF0035_1100.jpg",0,"s",1,0.765,0,13,13,19,1,19,"same_face","same_face","s","s",2,0,0.0465,0.0467,"2021-10-31_11h28.45.501","02_face_task_central","2020.2.4","MacIntel",60,1344,840,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,1.788,0,14,14,7,1,7,"rand_face","rand_face","d","d",2,0,0.0465,0.0467,"2021-10-31_11h28.45.501","02_face_task_central","2020.2.4","MacIntel",60,1344,840,"Stimuli/Faces/CM0044_1100.jpg","Stimuli/Faces/CM0050_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,2.34,0,15,15,11,1,11,"rand_face","rand_face","d","d",2,0,0.0465,0.0467,"2021-10-31_11h28.45.501","02_face_task_central","2020.2.4","MacIntel",60,1344,840,"Stimuli/Faces/CM0009_1100.jpg","Stimuli/Faces/CF0016_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CM0050_1100.jpg","Stimuli/Faces/CM0050_1100.jpg",0,"s",1,1.507,0,16,16,29,1,29,"same_face","same_face","s","s",2,0,0.0465,0.0467,"2021-10-31_11h28.45.501","02_face_task_central","2020.2.4","MacIntel",60,1344,840,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,2.543,0,17,17,4,1,4,"rand_face","rand_face","d","d",2,0,0.0465,0.0467,"2021-10-31_11h28.45.501","02_face_task_central","2020.2.4","MacIntel",60,1344,840,"Stimuli/Faces/CM0040_1100.jpg","Stimuli/Faces/CF0010_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
