"X.Scale","Y.Scale","diff_target","diff_probe","xPosition","FW_resp.keys","FW_resp.corr","FW_resp.rt","face_loop_set1.thisRepN","face_loop_set1.thisTrialN","face_loop_set1.thisN","face_loop_set1.thisIndex","face_loop_set1.ran","targetID","imFile","imFile2","corr","trial_type","position","screen","x_scale","y_scale","date","expName","psychopyVersion","OS","frameRate","xResolution","yResolution","same_target","same_probe","face_loop_set2.thisRepN","face_loop_set2.thisTrialN","face_loop_set2.thisN","face_loop_set2.thisIndex","face_loop_set2.ran","face_loop_set3.thisRepN","face_loop_set3.thisTrialN","face_loop_set3.thisN","face_loop_set3.thisIndex","face_loop_set3.ran"
0.0588,0.0598,"Stimuli/Faces/CF0058_1100.jpg","Stimuli/Faces/CF0031_1100.jpg",0,"d",1,0.3526,0,0,0,15,1,15,"rand_face","rand_face","d","d",2,0,0.0588,0.0598,"2021-10-06_20h14.52.158","02_face_task_central","2020.2.4","Win32",60,1536,864,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",0,0.3255,0,1,1,22,1,22,"same_face","same_face","s","s",2,0,0.0588,0.0598,"2021-10-06_20h14.52.158","02_face_task_central","2020.2.4","Win32",60,1536,864,"Stimuli/Faces/CF0031_1100.jpg","Stimuli/Faces/CF0031_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CF0008_1100.jpg","Stimuli/Faces/CM0039_3300.jpg",0,"d",1,0.4421,0,2,2,0,1,0,"rand_face","rand_face","d","d",2,0,0.0588,0.0598,"2021-10-06_20h14.52.158","02_face_task_central","2020.2.4","Win32",60,1536,864,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CF0023_1100.jpg","Stimuli/Faces/CF0013_1110.jpg",0,"d",1,0.6136,0,3,3,8,1,8,"rand_face","rand_face","d","d",2,0,0.0588,0.0598,"2021-10-06_20h14.52.158","02_face_task_central","2020.2.4","Win32",60,1536,864,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CM0029_2200.jpg","Stimuli/Faces/CF0046_1100.jpg",0,"d",1,0.5466,0,4,4,10,1,10,"rand_face","rand_face","d","d",2,0,0.0588,0.0598,"2021-10-06_20h14.52.158","02_face_task_central","2020.2.4","Win32",60,1536,864,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"s",1,0.551,0,5,5,16,1,16,"same_face","same_face","s","s",2,0,0.0588,0.0598,"2021-10-06_20h14.52.158","02_face_task_central","2020.2.4","Win32",60,1536,864,"Stimuli/Faces/CM0039_3300.jpg","Stimuli/Faces/CM0039_3300.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CF0035_1100.jpg","Stimuli/Faces/CF0032_1100.jpg",0,"d",1,0.3838,0,6,6,5,1,5,"rand_face","rand_face","d","d",2,0,0.0588,0.0598,"2021-10-06_20h14.52.158","02_face_task_central","2020.2.4","Win32",60,1536,864,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CF0013_1110.jpg","Stimuli/Faces/CM0050_1100.jpg",0,"d",1,0.5391,0,7,7,4,1,4,"rand_face","rand_face","d","d",2,0,0.0588,0.0598,"2021-10-06_20h14.52.158","02_face_task_central","2020.2.4","Win32",60,1536,864,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"s",1,0.4267,0,8,8,19,1,19,"same_face","same_face","s","s",2,0,0.0588,0.0598,"2021-10-06_20h14.52.158","02_face_task_central","2020.2.4","Win32",60,1536,864,"Stimuli/Faces/CF0013_1110.jpg","Stimuli/Faces/CF0013_1110.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"s",1,0.3626,0,9,9,21,1,21,"same_face","same_face","s","s",2,0,0.0588,0.0598,"2021-10-06_20h14.52.158","02_face_task_central","2020.2.4","Win32",60,1536,864,"Stimuli/Faces/CF0046_1100.jpg","Stimuli/Faces/CF0046_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"s",1,0.5719,0,10,10,17,1,17,"same_face","same_face","s","s",2,0,0.0588,0.0598,"2021-10-06_20h14.52.158","02_face_task_central","2020.2.4","Win32",60,1536,864,"Stimuli/Faces/CF0032_1100.jpg","Stimuli/Faces/CF0032_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"s",1,0.2698,0,11,11,31,1,31,"same_face","same_face","s","s",2,0,0.0588,0.0598,"2021-10-06_20h14.52.158","02_face_task_central","2020.2.4","Win32",60,1536,864,"Stimuli/Faces/CM0050_1100.jpg","Stimuli/Faces/CM0050_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"s",1,0.2862,0,12,12,30,1,30,"same_face","same_face","s","s",2,0,0.0588,0.0598,"2021-10-06_20h14.52.158","02_face_task_central","2020.2.4","Win32",60,1536,864,"Stimuli/Faces/CF0055_1100.jpg","Stimuli/Faces/CF0055_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
