X Scale,Y Scale,diff_pTarget,diff_pProbe,xPosition,FW_resp.keys,FW_resp.corr,FW_resp.rt,prac_Ftrials.thisRepN,prac_Ftrials.thisTrialN,prac_Ftrials.thisN,prac_Ftrials.thisIndex,prac_Ftrials.ran,targetID,imFile,imFile2,corr,trial_type,participant,position,screen,x_scale,y_scale,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,catch_pTarget,catch_pProbe,eval_prac_resp.keys,eval_prac_resp.rt,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,repeat_prac.ran,same_target,same_probe,face_loop_set1.thisRepN,face_loop_set1.thisTrialN,face_loop_set1.thisN,face_loop_set1.thisIndex,face_loop_set1.ran,diff_target,diff_probe,catch_target,catch_probe,face_loop_set2.thisRepN,face_loop_set2.thisTrialN,face_loop_set2.thisN,face_loop_set2.thisIndex,face_loop_set2.ran,face_loop_set3.thisRepN,face_loop_set3.thisTrialN,face_loop_set3.thisN,face_loop_set3.thisIndex,face_loop_set3.ran
,,Stimuli/Faces/CM0007_1100.jpg,Stimuli/Faces/CM0007_1100.jpg,0,s,1,1.1459,0,10,10,10,1,65,Stimuli/Faces/CF0035_1100.jpg,Stimuli/Faces/CF0035_1100.jpg,s,s,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,d,1,0.5123,0,11,11,11,1,103,catch_target,catch_probe,d,c,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,Stimuli/Faces/CF0046_1100.jpg,Stimuli/Faces/CM0010_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,c,9.2659,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
,,,,0,d,0,0.7612,,,,,,16,same_face,same_face,s,s,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,Stimuli/Faces/CM0029_2200.jpg,Stimuli/Faces/CM0029_2200.jpg,0,0,0,16,1,,,,,,,,,,,,,,
,,,,0,d,1,0.4575,,,,,,6,rand_face,rand_face,d,d,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,0,1,1,6,1,Stimuli/Faces/CM0040_1100.jpg,Stimuli/Faces/CM0029_2200.jpg,,,,,,,,,,,,
,,,,0,d,0,0.7299,,,,,,19,same_face,same_face,s,s,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,Stimuli/Faces/CF0052_1100.jpg,Stimuli/Faces/CF0052_1100.jpg,0,2,2,19,1,,,,,,,,,,,,,,
,,,,0,d,0,0.5927,,,,,,28,same_face,same_face,s,s,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,Stimuli/Faces/CF0009_1100.jpg,Stimuli/Faces/CF0009_1100.jpg,0,3,3,28,1,,,,,,,,,,,,,,
,,,,0,d,1,0.5422,,,,,,0,rand_face,rand_face,d,d,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,0,4,4,0,1,Stimuli/Faces/CM0039_3300.jpg,Stimuli/Faces/CF0052_1100.jpg,,,,,,,,,,,,
,,,,0,s,1,0.8664,,,,,,32,catch_target,catch_probe,s,c,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,0,5,5,32,1,,,Stimuli/Faces/CM0029_1100.jpg,Stimuli/Faces/CM0029_1100.jpg,,,,,,,,,,
,,,,0,d,1,0.5553,,,,,,10,rand_face,rand_face,d,d,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,0,6,6,10,1,Stimuli/Faces/CF0021_1100.jpg,Stimuli/Faces/CF0009_1100.jpg,,,,,,,,,,,,
,,,,0,d,1,0.489,,,,,,11,rand_face,rand_face,d,d,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,0,7,7,11,1,Stimuli/Faces/CF0052_1100.jpg,Stimuli/Faces/CM0024_3100.jpg,,,,,,,,,,,,
,,,,0,s,1,0.7576,,,,,,29,same_face,same_face,s,s,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,Stimuli/Faces/CM0024_3100.jpg,Stimuli/Faces/CM0024_3100.jpg,0,8,8,29,1,,,,,,,,,,,,,,
,,,,0,d,0,0.8616,,,,,,22,same_face,same_face,s,s,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,Stimuli/Faces/CM0025_1100.jpg,Stimuli/Faces/CM0025_1100.jpg,0,9,9,22,1,,,,,,,,,,,,,,
,,,,0,d,1,0.4593,,,,,,9,rand_face,rand_face,d,d,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,0,10,10,9,1,Stimuli/Faces/CF0012_3320.jpg,Stimuli/Faces/CM0025_1100.jpg,,,,,,,,,,,,
,,,,0,d,1,0.5143,,,,,,7,rand_face,rand_face,d,d,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,0,11,11,7,1,Stimuli/Faces/CM0046_1100.jpg,Stimuli/Faces/CM0007_1100.jpg,,,,,,,,,,,,
,,,,0,s,1,1.2597,,,,,,27,same_face,same_face,s,s,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,Stimuli/Faces/CM0007_1100.jpg,Stimuli/Faces/CM0007_1100.jpg,0,12,12,27,1,,,,,,,,,,,,,,
,,,,0,d,0,0.8883,,,,,,33,catch_target,catch_probe,s,c,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,0,13,13,33,1,,,Stimuli/Faces/CM0008_1100.jpg,Stimuli/Faces/CM0008_1100.jpg,,,,,,,,,,
,,,,0,d,1,0.643,,,,,,5,rand_face,rand_face,d,d,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,0,14,14,5,1,Stimuli/Faces/CM0039_1100.jpg,Stimuli/Faces/CM0046_1100.jpg,,,,,,,,,,,,
,,,,0,d,1,0.4854,,,,,,12,rand_face,rand_face,d,d,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,0,15,15,12,1,Stimuli/Faces/CF0010_1100.jpg,Stimuli/Faces/CM0028_1100.jpg,,,,,,,,,,,,
,,,,0,d,1,0.4832,,,,,,35,catch_target,catch_probe,d,c,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,0,16,16,35,1,,,Stimuli/Faces/CF0020_1100.jpg,Stimuli/Faces/CM0028_1100.jpg,,,,,,,,,,
,,,,0,s,1,0.9229,,,,,,25,same_face,same_face,s,s,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,Stimuli/Faces/CM0046_1100.jpg,Stimuli/Faces/CM0046_1100.jpg,0,17,17,25,1,,,,,,,,,,,,,,
,,,,0,d,1,0.6257,,,,,,8,rand_face,rand_face,d,d,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,0,18,18,8,1,Stimuli/Faces/CF0023_1100.jpg,Stimuli/Faces/CF0055_1100.jpg,,,,,,,,,,,,
,,,,0,d,1,0.4796,,,,,,4,rand_face,rand_face,d,d,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,0,19,19,4,1,Stimuli/Faces/CF0013_1110.jpg,Stimuli/Faces/CF0057_1100.jpg,,,,,,,,,,,,
,,,,0,d,0,1.3063,,,,,,31,same_face,same_face,s,s,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,Stimuli/Faces/CM0028_1100.jpg,Stimuli/Faces/CM0028_1100.jpg,0,20,20,31,1,,,,,,,,,,,,,,
,,,,0,d,1,0.6377,,,,,,15,rand_face,rand_face,d,d,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,0,21,21,15,1,Stimuli/Faces/CF0046_1100.jpg,Stimuli/Faces/CF0026_1110.jpg,,,,,,,,,,,,
,,,,0,s,1,0.8359,,,,,,20,same_face,same_face,s,s,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,Stimuli/Faces/CF0055_1100.jpg,Stimuli/Faces/CF0055_1100.jpg,0,22,22,20,1,,,,,,,,,,,,,,
