X Scale,Y Scale,Pimage1,Pimage2,xPosition,FW_resp.keys,FW_resp.corr,FW_resp.rt,prac_Wtrials.thisRepN,prac_Wtrials.thisTrialN,prac_Wtrials.thisN,prac_Wtrials.thisIndex,prac_Wtrials.ran,trialID,imFile,imFile2,corr,diff,participant,position,screen,x_scale,y_scale,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,catch_pTarget,catch_pProbe,eval_prac_resp.keys,eval_prac_resp.rt,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,repeat_prac.ran,catch_target,catch_probe,image1,image2,corr_acc,word_loop_set1.thisRepN,word_loop_set1.thisTrialN,word_loop_set1.thisN,word_loop_set1.thisIndex,word_loop_set1.ran,key_resp_3.keys,key_resp_3.rt,word_loop_set2.thisRepN,word_loop_set2.thisTrialN,word_loop_set2.thisN,word_loop_set2.thisIndex,word_loop_set2.ran,word_loop_set3.thisRepN,word_loop_set3.thisTrialN,word_loop_set3.thisN,word_loop_set3.thisIndex,word_loop_set3.ran
0.0537,0.049,Stimuli/Words/word42.jpg,Stimuli/Words/word41.jpg,0,s,0,0.8656,0,0,0,0,1,1,Stimuli/Words/word06.jpg,Stimuli/Words/word06.jpg,s,second,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word39.jpg,Stimuli/Words/word39.jpg,0,d,0,0.4196,0,1,1,1,1,116,CatchTrial,CatchTrial,c,CatchTrials,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,Stimuli/Words/word39.jpg,Stimuli/Words/word39.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word42.jpg,Stimuli/Words/word42.jpg,0,s,1,0.6007,0,2,2,2,1,118,CatchTrial,CatchTrial,c,CatchTrials,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,Stimuli/Words/word42.jpg,Stimuli/Words/word42.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word44.jpg,Stimuli/Words/word43.jpg,0,s,0,0.2842,0,3,3,3,1,105,Stimuli/Words/word44.jpg,Stimuli/Words/word43.jpg,d,third,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word06.jpg,Stimuli/Words/word06.jpg,0,d,0,0.6015,0,4,4,4,1,103,Stimuli/Words/word42.jpg,Stimuli/Words/word41.jpg,d,third,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word16.jpg,Stimuli/Words/word16.jpg,0,s,1,0.313,0,5,5,5,1,117,CatchTrial,CatchTrial,c,CatchTrials,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,Stimuli/Words/word16.jpg,Stimuli/Words/word16.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word43.jpg,Stimuli/Words/word43.jpg,0,s,1,0.552,0,6,6,6,1,17,Stimuli/Words/word34.jpg,Stimuli/Words/word34.jpg,s,second,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word01.jpg,Stimuli/Words/word02.jpg,0,d,1,1.1513,0,7,7,7,1,119,CatchTrial,CatchTrial,c,CatchTrials,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,Stimuli/Words/word01.jpg,Stimuli/Words/word02.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word29.jpg,Stimuli/Words/word30.jpg,0,d,1,0.8863,0,8,8,8,1,120,CatchTrial,CatchTrial,c,CatchTrials,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,Stimuli/Words/word29.jpg,Stimuli/Words/word30.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word34.jpg,Stimuli/Words/word34.jpg,0,s,1,0.5015,0,9,9,9,1,46,Stimuli/Words/word43.jpg,Stimuli/Words/word43.jpg,s,third,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word09.jpg,Stimuli/Words/word10.jpg,0,d,1,1.0484,0,10,10,10,1,90,Stimuli/Words/word09.jpg,Stimuli/Words/word10.jpg,d,third,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word32.jpg,Stimuli/Words/word31.jpg,0,d,1,1.0978,0,11,11,11,1,121,CatchTrial,CatchTrial,c,CatchTrials,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,Stimuli/Words/word32.jpg,Stimuli/Words/word31.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,,,p,9.0103,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word24.jpg,Stimuli/Words/word23.jpg,0,s,0,6.5982,0,0,0,0,1,7,Stimuli/Words/word24.jpg,Stimuli/Words/word24.jpg,s,second,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word08.jpg,Stimuli/Words/word08.jpg,0,d,0,6.1157,0,1,1,1,1,117,CatchTrial,CatchTrial,c,CatchTrials,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,Stimuli/Words/word08.jpg,Stimuli/Words/word08.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word01.jpg,Stimuli/Words/word02.jpg,0,d,1,0.8187,0,2,2,2,1,86,Stimuli/Words/word01.jpg,Stimuli/Words/word02.jpg,d,third,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word24.jpg,Stimuli/Words/word24.jpg,0,s,1,0.4643,0,3,3,3,1,65,Stimuli/Words/word24.jpg,Stimuli/Words/word23.jpg,d,second,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word19.jpg,Stimuli/Words/word20.jpg,0,d,1,0.9191,0,4,4,4,1,118,CatchTrial,CatchTrial,c,CatchTrials,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,Stimuli/Words/word19.jpg,Stimuli/Words/word20.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word41.jpg,Stimuli/Words/word41.jpg,0,s,1,0.482,0,5,5,5,1,116,CatchTrial,CatchTrial,c,CatchTrials,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,Stimuli/Words/word41.jpg,Stimuli/Words/word41.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word38.jpg,Stimuli/Words/word37.jpg,0,d,1,0.65,0,6,6,6,1,121,CatchTrial,CatchTrial,c,CatchTrials,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,Stimuli/Words/word38.jpg,Stimuli/Words/word37.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word50.jpg,Stimuli/Words/word49.jpg,0,d,1,1.1031,0,7,7,7,1,120,CatchTrial,CatchTrial,c,CatchTrials,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,Stimuli/Words/word50.jpg,Stimuli/Words/word49.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word04.jpg,Stimuli/Words/word03.jpg,0,s,0,0.3348,0,8,8,8,1,34,Stimuli/Words/word11.jpg,Stimuli/Words/word11.jpg,s,third,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word26.jpg,Stimuli/Words/word26.jpg,0,s,1,0.6338,0,9,9,9,1,119,CatchTrial,CatchTrial,c,CatchTrials,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,Stimuli/Words/word26.jpg,Stimuli/Words/word26.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word11.jpg,Stimuli/Words/word11.jpg,0,d,0,0.265,0,10,10,10,1,89,Stimuli/Words/word04.jpg,Stimuli/Words/word03.jpg,d,third,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word18.jpg,Stimuli/Words/word18.jpg,0,s,1,0.4542,0,11,11,11,1,41,Stimuli/Words/word18.jpg,Stimuli/Words/word18.jpg,s,third,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,,,c,4.7789,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
,,,,0,d,1,0.8211,,,,,,118,CatchTrial,CatchTrial,c,CatchTrials,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Words/word09.jpg,Stimuli/Words/word10.jpg,Stimuli/Words/word09.jpg,Stimuli/Words/word10.jpg,d,0,0,0,0,1,,,,,,,,,,,,
,,,,0,s,1,0.3673,,,,,,99,Stimuli/Words/word18.jpg,Stimuli/Words/word17.jpg,d,third,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,Stimuli/Words/word33.jpg,Stimuli/Words/word33.jpg,s,0,1,1,1,1,,,,,,,,,,,,
,,,,0,s,1,0.5064,,,,,,110,Stimuli/Words/word49.jpg,Stimuli/Words/word50.jpg,d,third,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,Stimuli/Words/word43.jpg,Stimuli/Words/word43.jpg,s,0,2,2,2,1,,,,,,,,,,,,
,,,,0,s,0,0.547,,,,,,116,CatchTrial,CatchTrial,c,CatchTrials,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,Stimuli/Words/word23.jpg,Stimuli/Words/word24.jpg,Stimuli/Words/word23.jpg,Stimuli/Words/word24.jpg,d,0,3,3,3,1,,,,,,,,,,,,
,,,,0,s,1,0.7813,,,,,,69,Stimuli/Words/word28.jpg,Stimuli/Words/word27.jpg,d,second,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,Stimuli/Words/word25.jpg,Stimuli/Words/word25.jpg,s,0,4,4,4,1,,,,,,,,,,,,
,,,,0,s,1,0.5719,,,,,,46,Stimuli/Words/word43.jpg,Stimuli/Words/word43.jpg,s,third,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,Stimuli/Words/word42.jpg,Stimuli/Words/word42.jpg,s,0,5,5,5,1,,,,,,,,,,,,
,,,,0,d,1,0.7511,,,,,,35,Stimuli/Words/word12.jpg,Stimuli/Words/word12.jpg,s,third,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,Stimuli/Words/word51.jpg,Stimuli/Words/word52.jpg,d,0,6,6,6,1,,,,,,,,,,,,
,,,,0,s,0,0.9145,,,,,,101,Stimuli/Words/word20.jpg,Stimuli/Words/word19.jpg,d,third,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,Stimuli/Words/word12.jpg,Stimuli/Words/word11.jpg,d,0,7,7,7,1,,,,,,,,,,,,
,,,,0,d,0,0.5788,,,,,,81,Stimuli/Words/word40.jpg,Stimuli/Words/word39.jpg,d,second,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,Stimuli/Words/word54.jpg,Stimuli/Words/word54.jpg,s,0,8,8,8,1,,,,,,,,,,,,
,,,,0,d,1,0.8032,,,,,,16,Stimuli/Words/word33.jpg,Stimuli/Words/word33.jpg,s,second,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,Stimuli/Words/word29.jpg,Stimuli/Words/word30.jpg,d,0,9,9,9,1,,,,,,,,,,,,
,,,,0,s,1,0.6035,,,,,,88,Stimuli/Words/word03.jpg,Stimuli/Words/word04.jpg,d,third,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,Stimuli/Words/word39.jpg,Stimuli/Words/word39.jpg,s,0,10,10,10,1,,,,,,,,,,,,
,,,,0,d,1,0.7161,,,,,,112,Stimuli/Words/word51.jpg,Stimuli/Words/word52.jpg,d,third,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,Stimuli/Words/word30.jpg,Stimuli/Words/word29.jpg,d,0,11,11,11,1,,,,,,,,,,,,
,,,,0,d,1,0.8117,,,,,,59,Stimuli/Words/word06.jpg,Stimuli/Words/word05.jpg,d,second,XC,,1,0.05,0.05,2023-05-26_14h12.19.662,01_word_task,2020.2.4,Win32,60,1280,720,,,,,,,,,,,,Stimuli/Words/word28.jpg,Stimuli/Words/word27.jpg,d,0,12,12,12,1,,,,,,,,,,,,
