X Scale,Y Scale,diff_pTarget,diff_pProbe,xPosition,FW_resp.keys,FW_resp.corr,FW_resp.rt,prac_Ftrials.thisRepN,prac_Ftrials.thisTrialN,prac_Ftrials.thisN,prac_Ftrials.thisIndex,prac_Ftrials.ran,targetID,imFile,imFile2,corr,trial_type,participant,position,screen,x_scale,y_scale,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,catch_pTarget,catch_pProbe,eval_prac_resp.keys,eval_prac_resp.rt,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,repeat_prac.ran,same_target,same_probe,face_loop_set1.thisRepN,face_loop_set1.thisTrialN,face_loop_set1.thisN,face_loop_set1.thisIndex,face_loop_set1.ran,diff_target,diff_probe,catch_target,catch_probe,face_loop_set2.thisRepN,face_loop_set2.thisTrialN,face_loop_set2.thisN,face_loop_set2.thisIndex,face_loop_set2.ran,face_loop_set3.thisRepN,face_loop_set3.thisTrialN,face_loop_set3.thisN,face_loop_set3.thisIndex,face_loop_set3.ran
0.0511,0.0501,Stimuli/Faces/CM0046_1100.jpg,Stimuli/Faces/CM0046_1100.jpg,0,s,1,1.537,0,0,0,0,1,48,Stimuli/Faces/CM0050_1100.jpg,Stimuli/Faces/CM0050_1100.jpg,s,s,BN,,1,0.05,0.05,2023-07-05_13h38.51.146,02_face_task,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,s,1,1.1165,0,1,1,1,1,96,catch_target,catch_probe,s,c,BN,,1,0.05,0.05,2023-07-05_13h38.51.146,02_face_task,2020.2.4,Win32,60,1536,864,Stimuli/Faces/CM0050_1100.jpg,Stimuli/Faces/CM0050_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,s,1,0.6012,0,2,2,2,1,97,catch_target,catch_probe,s,c,BN,,1,0.05,0.05,2023-07-05_13h38.51.146,02_face_task,2020.2.4,Win32,60,1536,864,Stimuli/Faces/CF0035_1100.jpg,Stimuli/Faces/CF0035_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,d,1,0.5872,0,3,3,3,1,103,catch_target,catch_probe,d,c,BN,,1,0.05,0.05,2023-07-05_13h38.51.146,02_face_task,2020.2.4,Win32,60,1536,864,Stimuli/Faces/CF0012_3320.jpg,Stimuli/Faces/CF0007_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CF0009_1100.jpg,Stimuli/Faces/CF0009_1100.jpg,0,s,1,0.7996,0,4,4,4,1,51,Stimuli/Faces/CF0009_1100.jpg,Stimuli/Faces/CF0009_1100.jpg,s,s,BN,,1,0.05,0.05,2023-07-05_13h38.51.146,02_face_task,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CM0046_1100.jpg,Stimuli/Faces/CF0033_1100.jpg,0,d,1,1.3799,0,5,5,5,1,0,rand_face,rand_face,d,d,BN,,1,0.05,0.05,2023-07-05_13h38.51.146,02_face_task,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,d,1,1.0496,0,6,6,6,1,104,catch_target,catch_probe,d,c,BN,,1,0.05,0.05,2023-07-05_13h38.51.146,02_face_task,2020.2.4,Win32,60,1536,864,Stimuli/Faces/CM0010_1100.jpg,Stimuli/Faces/CM0025_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CF0009_1100.jpg,Stimuli/Faces/CM0045_1100.jpg,0,d,1,0.8238,0,7,7,7,1,2,rand_face,rand_face,d,d,BN,,1,0.05,0.05,2023-07-05_13h38.51.146,02_face_task,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CF0026_1110.jpg,Stimuli/Faces/CM0046_1100.jpg,0,d,1,1.3132,0,8,8,8,1,1,rand_face,rand_face,d,d,BN,,1,0.05,0.05,2023-07-05_13h38.51.146,02_face_task,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CF0026_1110.jpg,Stimuli/Faces/CF0026_1110.jpg,0,s,1,0.9674,0,9,9,9,1,90,Stimuli/Faces/CM0041_1100.jpg,Stimuli/Faces/CM0041_1100.jpg,s,s,BN,,1,0.05,0.05,2023-07-05_13h38.51.146,02_face_task,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
