"X.Scale","Y.Scale","diff_target","diff_probe","xPosition","FW_resp.keys","FW_resp.corr","FW_resp.rt","face_loop_set1.thisRepN","face_loop_set1.thisTrialN","face_loop_set1.thisN","face_loop_set1.thisIndex","face_loop_set1.ran","targetID","imFile","imFile2","corr","trial_type","position","screen","x_scale","y_scale","date","expName","psychopyVersion","OS","frameRate","xResolution","yResolution","same_target","same_probe","face_loop_set2.thisRepN","face_loop_set2.thisTrialN","face_loop_set2.thisN","face_loop_set2.thisIndex","face_loop_set2.ran","face_loop_set3.thisRepN","face_loop_set3.thisTrialN","face_loop_set3.thisN","face_loop_set3.thisIndex","face_loop_set3.ran"
0.037,0.0382,"Stimuli/Faces/CF0034_1100.jpg","Stimuli/Faces/CF0009_1100.jpg",0,"d",1,0.5532,0,0,0,1,1,1,"rand_face","rand_face","d","d",2,0,0.037,0.0382,"2021-12-21_16h51.30.389","02_face_task_central","2020.2.4","MacIntel",60,1920,1080,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"s",1,0.548,0,1,1,23,1,23,"same_face","same_face","s","s",2,0,0.037,0.0382,"2021-12-21_16h51.30.389","02_face_task_central","2020.2.4","MacIntel",60,1920,1080,"Stimuli/Faces/CF0009_1100.jpg","Stimuli/Faces/CF0009_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CF0052_1100.jpg","Stimuli/Faces/CM0010_1100.jpg",0,"d",1,0.5707,0,2,2,7,1,7,"rand_face","rand_face","d","d",2,0,0.037,0.0382,"2021-12-21_16h51.30.389","02_face_task_central","2020.2.4","MacIntel",60,1920,1080,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"s",1,1.0391,0,3,3,19,1,19,"same_face","same_face","s","s",2,0,0.037,0.0382,"2021-12-21_16h51.30.389","02_face_task_central","2020.2.4","MacIntel",60,1920,1080,"Stimuli/Faces/CM0010_1100.jpg","Stimuli/Faces/CM0010_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"s",1,0.8158,0,4,4,18,1,18,"same_face","same_face","s","s",2,0,0.037,0.0382,"2021-12-21_16h51.30.389","02_face_task_central","2020.2.4","MacIntel",60,1920,1080,"Stimuli/Faces/CM0044_1100.jpg","Stimuli/Faces/CM0044_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",0,0.7576,0,5,5,24,1,24,"same_face","same_face","s","s",2,0,0.037,0.0382,"2021-12-21_16h51.30.389","02_face_task_central","2020.2.4","MacIntel",60,1920,1080,"Stimuli/Faces/CF0023_1100.jpg","Stimuli/Faces/CF0023_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CM0040_1100.jpg","Stimuli/Faces/CM0044_1100.jpg",0,"d",1,0.8403,0,6,6,9,1,9,"rand_face","rand_face","d","d",2,0,0.037,0.0382,"2021-12-21_16h51.30.389","02_face_task_central","2020.2.4","MacIntel",60,1920,1080,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"s",1,0.7178,0,7,7,22,1,22,"same_face","same_face","s","s",2,0,0.037,0.0382,"2021-12-21_16h51.30.389","02_face_task_central","2020.2.4","MacIntel",60,1920,1080,"Stimuli/Faces/CM0039_1100.jpg","Stimuli/Faces/CM0039_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CM0044_1100.jpg","Stimuli/Faces/CF0023_1100.jpg",0,"d",1,0.6576,0,8,8,10,1,10,"rand_face","rand_face","d","d",2,0,0.037,0.0382,"2021-12-21_16h51.30.389","02_face_task_central","2020.2.4","MacIntel",60,1920,1080,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CF0035_1100.jpg","Stimuli/Faces/CM0039_1100.jpg",0,"d",1,0.6394,0,9,9,15,1,15,"rand_face","rand_face","d","d",2,0,0.037,0.0382,"2021-12-21_16h51.30.389","02_face_task_central","2020.2.4","MacIntel",60,1920,1080,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
