"X.Scale","Y.Scale","diff_target","diff_probe","xPosition","FW_resp.keys","FW_resp.corr","FW_resp.rt","face_loop_set1.thisRepN","face_loop_set1.thisTrialN","face_loop_set1.thisN","face_loop_set1.thisIndex","face_loop_set1.ran","targetID","imFile","imFile2","corr","trial_type","position","screen","x_scale","y_scale","date","expName","psychopyVersion","OS","frameRate","xResolution","yResolution","same_target","same_probe","face_loop_set2.thisRepN","face_loop_set2.thisTrialN","face_loop_set2.thisN","face_loop_set2.thisIndex","face_loop_set2.ran","face_loop_set3.thisRepN","face_loop_set3.thisTrialN","face_loop_set3.thisN","face_loop_set3.thisIndex","face_loop_set3.ran"
0.0385,0.0383,"Stimuli/Faces/CF0020_1100.jpg","Stimuli/Faces/CF0032_1100.jpg",0,"d",1,0.4374,0,0,0,13,1,13,"rand_face","rand_face","d","d",2,0,0.0385,0.0383,"2021-10-24_16h30.33.358","02_face_task_central","2020.2.4","MacIntel",60,1920,1080,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"s",1,0.5408,0,1,1,27,1,27,"same_face","same_face","s","s",2,0,0.0385,0.0383,"2021-10-24_16h30.33.358","02_face_task_central","2020.2.4","MacIntel",60,1920,1080,"Stimuli/Faces/CF0032_1100.jpg","Stimuli/Faces/CF0032_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CM0029_2200.jpg","Stimuli/Faces/CF0023_1100.jpg",0,"d",1,0.4723,0,2,2,6,1,6,"rand_face","rand_face","d","d",2,0,0.0385,0.0383,"2021-10-24_16h30.33.358","02_face_task_central","2020.2.4","MacIntel",60,1920,1080,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"s",1,0.4847,0,3,3,29,1,29,"same_face","same_face","s","s",2,0,0.0385,0.0383,"2021-10-24_16h30.33.358","02_face_task_central","2020.2.4","MacIntel",60,1920,1080,"Stimuli/Faces/CF0023_1100.jpg","Stimuli/Faces/CF0023_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CF0023_1100.jpg","Stimuli/Faces/CF0055_1100.jpg",0,"d",1,0.655,0,4,4,15,1,15,"rand_face","rand_face","d","d",2,0,0.0385,0.0383,"2021-10-24_16h30.33.358","02_face_task_central","2020.2.4","MacIntel",60,1920,1080,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"s",1,0.4398,0,5,5,20,1,20,"same_face","same_face","s","s",2,0,0.0385,0.0383,"2021-10-24_16h30.33.358","02_face_task_central","2020.2.4","MacIntel",60,1920,1080,"Stimuli/Faces/CF0055_1100.jpg","Stimuli/Faces/CF0055_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CF0046_1100.jpg","Stimuli/Faces/CM0005_1100.jpg",0,"s",0,0.5502,0,6,6,3,1,3,"rand_face","rand_face","d","d",2,0,0.0385,0.0383,"2021-10-24_16h30.33.358","02_face_task_central","2020.2.4","MacIntel",60,1920,1080,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"s",1,0.6162,0,7,7,21,1,21,"same_face","same_face","s","s",2,0,0.0385,0.0383,"2021-10-24_16h30.33.358","02_face_task_central","2020.2.4","MacIntel",60,1920,1080,"Stimuli/Faces/CM0005_1100.jpg","Stimuli/Faces/CM0005_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CM0025_1100.jpg","Stimuli/Faces/CF0033_1100.jpg",0,"d",1,0.5728,0,8,8,11,1,11,"rand_face","rand_face","d","d",2,0,0.0385,0.0383,"2021-10-24_16h30.33.358","02_face_task_central","2020.2.4","MacIntel",60,1920,1080,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"s",1,0.6902,0,9,9,28,1,28,"same_face","same_face","s","s",2,0,0.0385,0.0383,"2021-10-24_16h30.33.358","02_face_task_central","2020.2.4","MacIntel",60,1920,1080,"Stimuli/Faces/CF0033_1100.jpg","Stimuli/Faces/CF0033_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
