X Scale,Y Scale,catch_pTarget,catch_pProbe,Pimage1,Pimage2,xPosition,FW_resp.keys,FW_resp.corr,FW_resp.rt,prac_Wtrials.thisRepN,prac_Wtrials.thisTrialN,prac_Wtrials.thisN,prac_Wtrials.thisIndex,prac_Wtrials.ran,trialID,imFile,imFile2,corr,diff,participant,position,screen,x_scale,y_scale,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,eval_prac_resp.keys,eval_prac_resp.rt,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,repeat_prac.ran,image1,image2,corr_acc,word_loop_set1.thisRepN,word_loop_set1.thisTrialN,word_loop_set1.thisN,word_loop_set1.thisIndex,word_loop_set1.ran,catch_target,catch_probe,key_resp_3.keys,key_resp_3.rt,word_loop_set2.thisRepN,word_loop_set2.thisTrialN,word_loop_set2.thisN,word_loop_set2.thisIndex,word_loop_set2.ran,word_loop_set3.thisRepN,word_loop_set3.thisTrialN,word_loop_set3.thisN,word_loop_set3.thisIndex,word_loop_set3.ran
0.0452,0.0479,Stimuli/Words/word02.jpg,Stimuli/Words/word01.jpg,Stimuli/Words/word02.jpg,Stimuli/Words/word01.jpg,0,d,1,1.1439,0,0,0,0,1,118,CatchTrial,CatchTrial,c,CatchTrials,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word33.jpg,Stimuli/Words/word33.jpg,Stimuli/Words/word33.jpg,Stimuli/Words/word33.jpg,0,s,1,0.8206,0,1,1,1,1,117,CatchTrial,CatchTrial,c,CatchTrials,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Stimuli/Words/word48.jpg,Stimuli/Words/word48.jpg,0,s,1,1.1398,0,2,2,2,1,51,Stimuli/Words/word48.jpg,Stimuli/Words/word48.jpg,s,third,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word18.jpg,Stimuli/Words/word17.jpg,Stimuli/Words/word18.jpg,Stimuli/Words/word17.jpg,0,d,1,0.9014,0,3,3,3,1,116,CatchTrial,CatchTrial,c,CatchTrials,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Stimuli/Words/word58.jpg,Stimuli/Words/word57.jpg,0,d,1,1.3514,0,4,4,4,1,115,Stimuli/Words/word58.jpg,Stimuli/Words/word57.jpg,d,third,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Stimuli/Words/word16.jpg,Stimuli/Words/word16.jpg,0,s,1,1.1988,0,5,5,5,1,39,Stimuli/Words/word16.jpg,Stimuli/Words/word16.jpg,s,third,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word03.jpg,Stimuli/Words/word03.jpg,Stimuli/Words/word03.jpg,Stimuli/Words/word03.jpg,0,s,1,1.0087,0,6,6,6,1,120,CatchTrial,CatchTrial,c,CatchTrials,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Stimuli/Words/word53.jpg,Stimuli/Words/word53.jpg,0,s,1,0.5194,0,7,7,7,1,24,Stimuli/Words/word53.jpg,Stimuli/Words/word53.jpg,s,second,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word51.jpg,Stimuli/Words/word52.jpg,Stimuli/Words/word51.jpg,Stimuli/Words/word52.jpg,0,d,1,1.2033,0,8,8,8,1,121,CatchTrial,CatchTrial,c,CatchTrials,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Stimuli/Words/word01.jpg,Stimuli/Words/word02.jpg,0,d,1,1.0397,0,9,9,9,1,105,Stimuli/Words/word44.jpg,Stimuli/Words/word43.jpg,d,third,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word01.jpg,Stimuli/Words/word01.jpg,Stimuli/Words/word01.jpg,Stimuli/Words/word01.jpg,0,s,1,0.7556,0,10,10,10,1,119,CatchTrial,CatchTrial,c,CatchTrials,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Stimuli/Words/word44.jpg,Stimuli/Words/word43.jpg,0,d,1,3.1104,0,11,11,11,1,86,Stimuli/Words/word01.jpg,Stimuli/Words/word02.jpg,d,third,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,c,3.2923,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,s,1,0.8545,,,,,,24,Stimuli/Words/word53.jpg,Stimuli/Words/word53.jpg,s,second,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word08.jpg,Stimuli/Words/word08.jpg,s,0,0,0,0,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.6311,,,,,,92,Stimuli/Words/word11.jpg,Stimuli/Words/word12.jpg,d,third,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word52.jpg,Stimuli/Words/word52.jpg,s,0,1,1,1,1,,,,,,,,,,,,,,
,,,,,,0,d,1,0.6609,,,,,,38,Stimuli/Words/word15.jpg,Stimuli/Words/word15.jpg,s,third,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word15.jpg,Stimuli/Words/word16.jpg,d,0,2,2,2,1,,,,,,,,,,,,,,
,,,,,,0,d,1,1.3398,,,,,,95,Stimuli/Words/word14.jpg,Stimuli/Words/word13.jpg,d,third,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word35.jpg,Stimuli/Words/word36.jpg,d,0,3,3,3,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.9869,,,,,,83,Stimuli/Words/word54.jpg,Stimuli/Words/word53.jpg,d,second,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word27.jpg,Stimuli/Words/word27.jpg,s,0,4,4,4,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.444,,,,,,117,CatchTrial,CatchTrial,c,CatchTrials,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word36.jpg,Stimuli/Words/word36.jpg,s,0,5,5,5,1,Stimuli/Words/word36.jpg,Stimuli/Words/word36.jpg,,,,,,,,,,,,
,,,,,,0,s,1,0.7026,,,,,,14,Stimuli/Words/word31.jpg,Stimuli/Words/word31.jpg,s,second,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word05.jpg,Stimuli/Words/word05.jpg,s,0,6,6,6,1,,,,,,,,,,,,,,
,,,,,,0,d,1,0.5551,,,,,,69,Stimuli/Words/word28.jpg,Stimuli/Words/word27.jpg,d,second,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word16.jpg,Stimuli/Words/word15.jpg,d,0,7,7,7,1,,,,,,,,,,,,,,
,,,,,,0,s,0,0.6535,,,,,,72,Stimuli/Words/word31.jpg,Stimuli/Words/word32.jpg,d,second,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word13.jpg,Stimuli/Words/word14.jpg,d,0,8,8,8,1,,,,,,,,,,,,,,
,,,,,,0,d,1,0.8683,,,,,,103,Stimuli/Words/word42.jpg,Stimuli/Words/word41.jpg,d,third,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word31.jpg,Stimuli/Words/word32.jpg,d,0,9,9,9,1,,,,,,,,,,,,,,
,,,,,,0,d,1,0.9315,,,,,,13,Stimuli/Words/word30.jpg,Stimuli/Words/word30.jpg,s,second,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word42.jpg,Stimuli/Words/word41.jpg,d,0,10,10,10,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.9857,,,,,,45,Stimuli/Words/word42.jpg,Stimuli/Words/word42.jpg,s,third,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word29.jpg,Stimuli/Words/word29.jpg,s,0,11,11,11,1,,,,,,,,,,,,,,
,,,,,,0,d,1,1.0802,,,,,,118,CatchTrial,CatchTrial,c,CatchTrials,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word56.jpg,Stimuli/Words/word55.jpg,d,0,12,12,12,1,Stimuli/Words/word56.jpg,Stimuli/Words/word55.jpg,,,,,,,,,,,,
,,,,,,0,s,1,0.8591,,,,,,22,Stimuli/Words/word39.jpg,Stimuli/Words/word39.jpg,s,second,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word38.jpg,Stimuli/Words/word38.jpg,s,0,13,13,13,1,,,,,,,,,,,,,,
,,,,,,0,s,0,1.4413,,,,,,46,Stimuli/Words/word43.jpg,Stimuli/Words/word43.jpg,s,third,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word24.jpg,Stimuli/Words/word23.jpg,d,0,14,14,14,1,,,,,,,,,,,,,,
,,,,,,0,d,1,1.1243,,,,,,116,CatchTrial,CatchTrial,c,CatchTrials,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word47.jpg,Stimuli/Words/word48.jpg,d,0,15,15,15,1,Stimuli/Words/word47.jpg,Stimuli/Words/word48.jpg,,,,,,,,,,,,
,,,,,,0,d,1,0.8732,,,,,,76,Stimuli/Words/word35.jpg,Stimuli/Words/word36.jpg,d,second,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word54.jpg,Stimuli/Words/word53.jpg,d,0,16,16,16,1,,,,,,,,,,,,,,
,,,,,,0,d,0,0.8335,,,,,,53,Stimuli/Words/word50.jpg,Stimuli/Words/word50.jpg,s,third,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word50.jpg,Stimuli/Words/word50.jpg,s,0,17,17,17,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.5027,,,,,,12,Stimuli/Words/word29.jpg,Stimuli/Words/word29.jpg,s,second,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word39.jpg,Stimuli/Words/word39.jpg,s,0,18,18,18,1,,,,,,,,,,,,,,
,,,,,,0,s,1,1.1888,,,,,,89,Stimuli/Words/word04.jpg,Stimuli/Words/word03.jpg,d,third,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word30.jpg,Stimuli/Words/word30.jpg,s,0,19,19,19,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.9506,,,,,,97,Stimuli/Words/word16.jpg,Stimuli/Words/word15.jpg,d,third,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word53.jpg,Stimuli/Words/word53.jpg,s,0,20,20,20,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.8172,,,,,,60,Stimuli/Words/word07.jpg,Stimuli/Words/word08.jpg,d,second,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word31.jpg,Stimuli/Words/word31.jpg,s,0,21,21,21,1,,,,,,,,,,,,,,
,,,,,,0,d,1,0.9798,,,,,,57,Stimuli/Words/word58.jpg,Stimuli/Words/word58.jpg,s,third,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word28.jpg,Stimuli/Words/word27.jpg,d,0,22,22,22,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.9116,,,,,,105,Stimuli/Words/word44.jpg,Stimuli/Words/word43.jpg,d,third,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word42.jpg,Stimuli/Words/word42.jpg,s,0,23,23,23,1,,,,,,,,,,,,,,
,,,,,,0,d,1,1.2687,,,,,,106,Stimuli/Words/word45.jpg,Stimuli/Words/word46.jpg,d,third,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word02.jpg,Stimuli/Words/word01.jpg,d,0,24,24,24,1,,,,,,,,,,,,,,
,,,,,,0,d,1,0.9677,,,,,,65,Stimuli/Words/word24.jpg,Stimuli/Words/word23.jpg,d,second,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word07.jpg,Stimuli/Words/word08.jpg,d,0,25,25,25,1,,,,,,,,,,,,,,
,,,,,,0,d,0,2.3884,,,,,,87,Stimuli/Words/word02.jpg,Stimuli/Words/word01.jpg,d,third,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word58.jpg,Stimuli/Words/word58.jpg,s,0,26,26,26,1,,,,,,,,,,,,,,
,,,,,,0,d,1,1.0194,,,,,,96,Stimuli/Words/word15.jpg,Stimuli/Words/word16.jpg,d,third,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word44.jpg,Stimuli/Words/word43.jpg,d,0,27,27,27,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.7352,,,,,,10,Stimuli/Words/word27.jpg,Stimuli/Words/word27.jpg,s,second,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word15.jpg,Stimuli/Words/word15.jpg,s,0,28,28,28,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.6948,,,,,,94,Stimuli/Words/word13.jpg,Stimuli/Words/word14.jpg,d,third,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word43.jpg,Stimuli/Words/word43.jpg,s,0,29,29,29,1,,,,,,,,,,,,,,
,,,,,,0,d,1,1.0701,,,,,,55,Stimuli/Words/word52.jpg,Stimuli/Words/word52.jpg,s,third,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word04.jpg,Stimuli/Words/word03.jpg,d,0,30,30,30,1,,,,,,,,,,,,,,
,,,,,,0,d,1,1.1753,,,,,,21,Stimuli/Words/word38.jpg,Stimuli/Words/word38.jpg,s,second,BI,,1,0.05,0.05,2023-06-21_14h28.57.106,01_word_task,2020.2.4,Win32,60,1664,1110,,,,,,,,Stimuli/Words/word33.jpg,Stimuli/Words/word34.jpg,d,0,31,31,31,1,,,,,,,,,,,,,,
