space_left_hemi,space_left_dorsal_visual_cortex,space_left_ventral_visual_cortex,space_right_hemi,space_right_dorsal_visual_cortex,space_right_ventral_visual_cortex,tool_left_hemi,tool_left_dorsal_visual_cortex,tool_left_ventral_visual_cortex,tool_right_hemi,tool_right_dorsal_visual_cortex,tool_right_ventral_visual_cortex,face_left_hemi,face_left_dorsal_visual_cortex,face_left_ventral_visual_cortex,face_right_hemi,face_right_dorsal_visual_cortex,face_right_ventral_visual_cortex,word_left_hemi,word_left_dorsal_visual_cortex,word_left_ventral_visual_cortex,word_right_hemi,word_right_dorsal_visual_cortex,word_right_ventral_visual_cortex
663204.75,61351.25,27445.25,715477.25,59677.5,29234.5,688991.25,59299.25,29194.25,629358.5,56898.0,30936.0,706842.25,56618.0,28772.0,690356.25,55511.5,29061.25,633093.25,54149.75,28251.25,709463.75,54158.5,27704.25
698071.25,55849.25,30091.25,731478.25,58239.0,29652.0,675922.0,58192.0,27942.0,703916.75,57897.5,30558.75,638558.75,55513.75,29932.5,736356.25,54271.5,29097.0,707913.5,56454.5,27424.0,717559.75,55116.5,28739.5
724097.0,62154.5,29339.0,673857.0,62841.5,29257.25,643164.25,65585.5,30094.75,677644.25,54276.0,26154.0,697648.25,55694.0,28413.75,700163.25,57337.5,28111.5,671064.5,55514.0,28932.5,679516.25,51732.0,28807.0
676796.5,59152.0,27950.25,759947.0,54447.25,29608.75,731732.25,64958.5,30867.0,694865.0,55744.75,29149.25,682402.25,59165.5,27726.5,617707.25,56743.25,29412.5,676079.0,58293.0,26448.75,627864.5,53441.5,28521.0
667797.5,55117.5,26802.5,720287.5,55065.5,29132.0,729975.0,56474.25,29932.25,693081.5,53295.0,27861.25,715434.75,55306.25,28673.75,637512.25,51542.25,28064.0,658371.0,55677.5,27056.0,675585.75,55666.5,27462.25
678695.75,58113.5,29029.75,703348.5,57175.25,31204.0,660218.5,54038.25,28616.5,739736.25,62935.75,29786.75,677456.25,55201.5,30135.5,676783.0,56514.5,28051.75,670146.75,59149.25,29826.75,639908.0,55064.25,29494.5
638207.75,60397.75,29179.75,626722.5,56381.0,29392.0,650891.25,63761.75,29319.25,659196.5,58868.0,28867.0,703704.75,58642.5,29497.0,678092.75,54782.5,26280.25,667799.25,56671.25,29265.0,673575.0,54732.75,30212.5
691318.5,54242.0,29547.0,646775.25,56481.75,30349.0,676058.75,55865.0,29507.5,692182.25,55729.75,28835.75,675202.75,55095.75,28391.25,700119.0,52654.25,28103.25,733434.75,59962.0,29375.0,683474.75,58190.75,28693.0
638117.5,58413.25,27787.75,705389.5,55007.5,31192.75,654814.5,52583.25,29523.25,690676.75,58410.5,29695.25,676948.25,58540.25,28770.75,670877.75,53096.5,29771.25,667582.75,56327.0,33414.25,671069.75,53151.5,28258.0
686953.75,59404.75,28312.75,690014.0,54929.0,30402.25,733271.5,58664.25,29255.5,657853.25,54781.5,27973.0,682644.75,58290.25,27411.75,639000.25,54852.0,28682.75,654249.0,57103.0,30128.75,684240.0,56451.25,27850.75
675223.75,60438.5,34106.25,691178.25,57766.75,27922.5,681177.5,57807.0,28715.5,651447.75,57606.75,29597.75,629720.5,60250.75,29499.5,650693.25,56930.0,28378.5,691720.25,57306.5,28054.5,677624.5,55160.75,28591.75
651028.25,61684.75,30231.5,642818.75,54409.25,29639.0,693356.25,57859.5,28013.0,742715.25,59389.5,29954.25,684185.0,58530.75,28489.75,696090.25,51467.0,28281.5,663262.5,52299.25,30881.25,648885.75,52592.25,28098.75
649916.0,61246.0,30783.0,705217.5,57244.0,28988.75,687762.5,63016.5,30875.75,720835.25,57124.0,29380.25,681061.25,56010.0,28934.5,646277.5,55117.25,27405.25,670406.25,54571.75,29766.0,686172.75,55852.5,27878.25
743651.0,63395.75,30124.25,723729.5,52099.75,27989.5,704908.5,58298.75,28126.25,667116.25,53862.0,28121.0,648981.75,61524.75,27825.25,634994.0,54354.75,26518.25,621376.5,56009.5,30813.75,678835.5,56224.75,28591.75
737443.75,64952.25,29786.75,719584.25,56289.5,28773.0,655343.0,53709.0,29978.0,706839.75,54423.25,30597.75,653078.25,56437.25,29644.75,637471.0,57501.25,30204.75,684459.0,54160.25,27947.5,705707.25,56255.75,27473.5
674906.5,60460.0,30508.0,743233.75,60135.25,27499.25,649754.0,60326.75,31601.25,713133.25,52627.25,30198.0,698418.25,51945.0,27955.5,727156.5,55972.75,26509.75,683157.0,52092.25,29783.0,621151.25,58005.75,29704.25
718839.0,54905.75,29674.0,710471.25,57926.25,30438.0,763209.25,57301.5,30162.0,634119.25,52531.75,27406.75,662565.5,56196.25,28261.75,645584.5,57456.0,28305.75,658232.25,57701.75,30009.75,665293.75,53783.0,29542.75
669025.75,58962.0,32648.0,668169.25,63947.75,30056.5,673849.5,63605.75,30210.25,714423.5,56797.0,27709.75,675889.0,58054.75,27820.75,675870.25,51072.5,28464.5,645345.0,52388.25,28511.25,669047.5,56135.25,27316.75
768974.5,54860.0,29568.0,665376.75,60115.75,30896.5,668545.75,56474.25,28599.75,672218.0,65441.5,29017.5,657500.0,57324.0,27103.25,621655.25,51907.5,28336.0,656667.0,58435.5,28810.75,689592.5,50649.25,29523.0
