space_left_dorsal_visual_cortex,space_left_ventral_visual_cortex,space_right_dorsal_visual_cortex,space_right_ventral_visual_cortex,tool_left_dorsal_visual_cortex,tool_left_ventral_visual_cortex,tool_right_dorsal_visual_cortex,tool_right_ventral_visual_cortex,face_left_dorsal_visual_cortex,face_left_ventral_visual_cortex,face_right_dorsal_visual_cortex,face_right_ventral_visual_cortex,word_left_dorsal_visual_cortex,word_left_ventral_visual_cortex,word_right_dorsal_visual_cortex,word_right_ventral_visual_cortex
3750.25,1976.5,10632.5,1254.212529182434,3386.25,755.0,2696.0,496.5,784.5,1582.0,800.75,958.0,1277.75,1179.5,1798.25,1112.0
5663.25,1010.75,8147.0,1341.5,4903.25,1441.0,2933.0,696.25,899.75,996.75,930.75,1668.5,1990.25,798.75,1245.5,236.25
7519.0,319.0,6089.5,1516.75,1916.75,477.25,2512.5,417.0,449.5,1067.25,572.75,1463.0,3013.5,758.5,1108.75,387.25
6813.5,582.0,8712.25,1273.5,4444.0,728.25,1677.0,863.25,635.25,572.25,534.856264591217,1406.25,1750.5,711.75,2954.8813557624817,405.0
3881.0,1161.0,5263.25,596.75,2738.25,608.25,4469.0,747.5,782.25,1122.25,1473.0,1968.5,1597.5,978.5,629.5,575.0
4807.0,469.0,8526.25,989.25,2221.0,723.25,2120.5,355.25,1008.0,968.75,914.75,720.75,710.0,1608.25,862.5,516.0
5701.75,618.75,8618.25,1854.5,4347.25,791.75,2874.25,754.75,903.25,1856.25,1127.25,2484.75,943.0,1533.0,1022.75,548.75
2903.5,622.5,7212.819095134735,1143.0,5117.0,958.5,2331.25,1057.25,588.0,851.0,988.0,1504.0,1402.5,1260.75,1715.75,743.5
3708.25,770.25,6882.75,1075.712529182434,1224.75,1040.0,1222.0,417.25,476.0,1242.75,797.5,2152.5,1317.25,2016.75,1058.5,763.5
4531.5,1070.25,12475.25,1079.0,2683.25,1408.5,4851.75,640.0,824.75,1016.25,1393.0,1563.9812626838684,1832.0,1118.75,740.5,255.0
4887.0,1421.75,8318.0,1192.5,4078.25,1038.0,2365.75,423.0,664.5,294.75,686.5,1244.75,431.5,773.25,703.25,407.75
4671.75,853.25,11570.75,1487.5,2989.25,1200.5,1221.5,594.25,582.25,336.0,1532.25,777.75,870.5,1334.75,1620.75,672.25
13103.5,1992.0,8188.25,1083.0,3726.25,401.75,1208.0,431.75,1619.5,569.0,1094.5,1717.25,1922.5,1351.5,1023.25,634.5
3651.75,619.0,5558.819095134735,1088.75,2254.5,916.75,1941.5,521.75,1062.0,520.25,920.356264591217,1222.5,1740.75,903.0,1332.75,351.318763256073
6006.25,877.75,7240.25,1747.75,2140.5,1433.25,1641.5,778.5,788.5,1127.75,344.25,1732.0,1682.5,1101.0,1267.5,403.0
7092.75,495.25,7602.0,481.75,2862.5,866.75,2728.5,538.75,469.25,555.25,771.0,670.0,1372.0,859.25,1634.3813557624817,906.75
2457.25,951.75,10603.069095134735,1106.25,2540.25,787.25,4199.25,163.25,793.5,899.25,1510.75,1471.0,2256.25,855.5,1514.0,556.5
1782.0,441.5,8305.319095134735,711.75,5389.0,472.75,2078.25,658.5,635.5,750.0,371.10626459121704,908.75,485.25,804.5,1024.0,1149.25
8989.25,479.25,7671.75,3106.5,4317.5,933.25,1872.0,470.0,902.75,747.5,824.75,1801.25,1187.0,859.25,1362.5,807.5
4776.5,643.0,4049.25,892.5,2236.25,320.75,2093.5,737.75,221.75,850.75,1212.106264591217,1080.5,2110.25,1221.25,2583.0,1209.75
8230.5,868.25,9886.75,3151.5,4001.25,1358.25,3760.5,666.5,671.75,1021.25,1071.75,1669.0,1661.0,1292.0,864.25,680.0
5287.0,1493.25,5154.5,1351.962529182434,3060.5,711.0,3901.75,315.0,885.0,1033.25,623.0,1812.75,1318.5,864.5,1556.25,462.75
8335.5,1995.75,12865.0,543.0,2867.25,658.0,1126.5,857.25,390.75,475.75,391.0,1180.25,1143.75,1232.25,2868.6313557624817,378.5
8685.0,1390.5,7285.75,2031.5,2492.75,796.0,4296.75,459.75,1022.5,431.25,649.75,1956.5,1262.75,557.0,649.0,774.0
4318.0,2016.75,8124.0,1433.0,3135.0,694.0,2126.5,890.5,1129.75,1922.75,653.856264591217,1898.75,1795.25,1229.5,1962.75,336.318763256073
4684.25,2527.25,5416.25,1779.5,2473.5,932.5,1495.0,587.0,878.0,532.25,1123.25,2613.0,1437.5,1104.5,1363.75,1066.568763256073
3853.75,1109.75,9628.25,899.0,2309.75,249.0,1794.5,289.0,861.25,882.25,908.0,1256.25,2253.0,1232.0,1624.0,617.25
6312.5,571.75,7826.5,1951.0,3219.5,245.75,1057.75,493.0,483.75,1729.75,1036.462529182434,937.7312626838684,1768.75,1077.75,2054.1313557624817,731.0
7623.25,1068.25,7421.069095134735,1338.75,3357.75,14.25,2623.25,457.0,388.5,837.0,861.0,889.2312626838684,1889.25,1649.75,576.25,776.0
5687.5,533.0,2766.5,1326.75,4873.0,807.25,2473.0,569.5,738.5,1120.25,255.75,1358.0,1577.0,1394.75,926.75,156.25
3451.0,2138.0,5118.0,1044.462529182434,6031.75,540.5,2406.25,705.5,829.0,1084.25,1020.106264591217,1600.75,617.25,2244.75,2033.75,871.818763256073
6534.75,1366.25,12060.069095134735,362.0,2250.5,876.5,5836.0,1022.0,673.75,810.75,1366.5,1432.25,1871.5,1738.0,1452.0,649.25
3186.0,813.5,5573.75,1731.212529182434,2783.5,560.75,2365.75,578.0,812.75,919.5,1292.5,1090.75,2120.5,1105.25,2184.8813557624817,490.75
