space_left_dorsal_visual_cortex,space_left_ventral_visual_cortex,space_left_hemi,space_right_dorsal_visual_cortex,space_right_ventral_visual_cortex,space_right_hemi,tool_left_dorsal_visual_cortex,tool_left_ventral_visual_cortex,tool_left_hemi,tool_right_dorsal_visual_cortex,tool_right_ventral_visual_cortex,tool_right_hemi,face_left_dorsal_visual_cortex,face_left_ventral_visual_cortex,face_left_hemi,face_right_dorsal_visual_cortex,face_right_ventral_visual_cortex,face_right_hemi,word_left_dorsal_visual_cortex,word_left_ventral_visual_cortex,word_left_hemi,word_right_dorsal_visual_cortex,word_right_ventral_visual_cortex,word_right_hemi
2235.3333333333335,10605.333333333334,9963.666666666666,7252.666666666667,6311.333333333333,22597.666666666668,1754.3333333333333,6986.0,17280.0,4632.0,3764.6666666666665,10154.0,460.6666666666667,3673.6666666666665,6800.333333333333,1127.6666666666667,4461.0,7263.333333333333,1698.6666666666667,4097.0,14698.0,1670.0,8364.666666666666,8035.333333333333
5231.666666666667,16181.666666666666,12939.666666666666,7486.666666666667,11962.0,42059.0,1647.0,7394.0,10357.666666666666,2131.6666666666665,6465.0,7526.0,657.0,3390.0,6009.0,1863.0,4307.333333333333,6351.0,637.6666666666666,9900.0,6415.333333333333,1151.0,7865.666666666667,7148.666666666667
8882.666666666666,9412.666666666666,10866.333333333334,11099.666666666666,24100.0,50458.666666666664,3766.6666666666665,9181.333333333334,7778.0,4128.666666666667,4720.666666666667,10088.333333333334,1120.3333333333333,3293.3333333333335,4113.666666666667,659.0,4507.666666666667,4999.666666666667,1308.6666666666667,5350.0,4017.0,1788.6666666666667,3054.0,6621.333333333333
3083.3333333333335,16618.666666666668,22803.333333333332,7516.333333333333,5123.0,14741.333333333334,1419.3333333333333,3558.0,13487.333333333334,2932.3333333333335,3118.0,18530.0,167.0,2277.3333333333335,7012.666666666667,496.6666666666667,6344.0,6217.0,1932.0,5211.666666666667,8703.333333333334,1017.6666666666666,5471.666666666667,4781.333333333333
5295.333333333333,11270.333333333334,8461.333333333334,7000.666666666667,10585.217316945394,23979.333333333332,164.33333333333334,2888.0,15450.0,4163.666666666667,5576.333333333333,9495.666666666666,966.3333333333334,3584.0,5297.333333333333,431.0,5527.0,14875.666666666666,2409.0,8188.666666666667,8293.333333333334,793.0,4178.666666666667,7938.0
3834.3333333333335,20749.333333333332,9679.0,5460.333333333333,11030.0,24973.0,3172.3333333333335,3282.3333333333335,9152.333333333334,2868.0,2846.3333333333335,12991.0,604.0,2619.6666666666665,5742.666666666667,631.0,3544.3333333333335,5840.333333333333,1257.3333333333333,5096.333333333333,9545.0,1499.3333333333333,4309.666666666667,8640.666666666666
8139.0,20437.0,6052.0,5011.666666666667,15858.333333333334,26794.0,5765.333333333333,7916.333333333333,15649.0,2647.6666666666665,1687.6666666666667,10268.666666666666,565.6666666666666,5104.666666666667,4986.333333333333,245.33333333333334,7764.666666666667,8306.333333333334,3180.6666666666665,3318.3333333333335,10678.0,1745.6666666666667,3020.6666666666665,8650.0
5504.0,24046.0,12529.666666666666,6791.0,12302.333333333334,15084.0,4933.0,9596.666666666666,4626.0,1533.3333333333333,13863.333333333334,5510.666666666667,1196.3333333333333,3459.0,5160.666666666667,1032.3333333333333,6230.0,8375.333333333334,1809.0,1541.6666666666667,5841.333333333333,679.6666666666666,3867.0,16182.333333333334
6970.666666666667,16749.666666666668,14678.0,7127.333333333333,31280.666666666668,30992.676054000854,4010.0,6583.333333333333,14527.333333333334,2291.6666666666665,3253.3333333333335,8901.0,217.66666666666666,4049.6666666666665,2630.3333333333335,1076.3333333333333,9568.333333333334,11803.0,1498.6666666666667,5398.0,8533.333333333334,856.6666666666666,7800.333333333333,4835.333333333333
4960.333333333333,11078.0,25764.666666666668,14227.666666666666,12187.666666666666,15289.333333333334,4369.0,9155.0,6821.333333333333,1552.6666666666667,7969.333333333333,21071.666666666668,463.0,2728.0,2584.3333333333335,1311.0,7497.0,5809.666666666667,1697.0,3540.6666666666665,13782.666666666666,1798.6666666666667,6476.075391769409,7710.0
5706.333333333333,9259.0,23561.333333333332,4875.666666666667,17337.333333333332,19754.333333333332,3835.0,3816.6666666666665,12823.0,2411.6666666666665,5859.666666666667,4435.333333333333,918.6666666666666,2669.6666666666665,9102.0,1162.3333333333333,4322.491749445598,6704.333333333333,183.0,6922.0,11622.666666666666,1582.3333333333333,1789.6666666666667,5081.0
2167.0,13021.0,41142.666666666664,6650.0,13189.0,37269.0,3301.6666666666665,5274.0,19529.0,1393.0,8251.333333333334,5674.666666666667,991.0,4909.0,4932.0,518.4000193277994,4743.0,9035.333333333334,1150.3333333333333,8122.666666666667,9289.666666666666,2708.3333333333335,5816.0,12348.675687789917
4553.0,27269.0,14293.0,6923.666666666667,16821.333333333332,29780.009387334187,5402.666666666667,7441.666666666667,8793.0,4274.333333333333,3519.3333333333335,12441.0,289.6666666666667,3254.3333333333335,9707.333333333334,1176.0,3702.0,6721.333333333333,1292.3333333333333,5003.0,7569.333333333333,1836.6666666666667,2873.0,7144.0
6441.666666666667,10270.666666666666,45417.333333333336,4896.333333333333,13047.0,7070.0,1957.0,5480.666666666667,8638.666666666666,4487.666666666667,6441.0,3956.0,670.0,3679.3333333333335,2823.6666666666665,1118.4000193277996,4793.666666666667,11217.0,1936.6666666666667,7370.333333333333,3010.0,818.3333333333334,3677.6666666666665,14010.009021123251
12063.333333333334,8632.0,15153.666666666666,4628.0,13510.333333333334,36416.333333333336,1196.0,14652.333333333334,5802.666666666667,1134.6666666666667,3107.6666666666665,4450.333333333333,1198.3333333333333,6995.666666666667,7046.0,563.0,10487.0,9227.0,2488.0,4671.666666666667,11526.0,1507.6666666666667,6105.0,5196.0
8624.666666666666,8697.333333333334,11093.0,10242.383792877197,12602.0,15375.333333333334,3397.3333333333335,8755.0,4480.0,4422.333333333333,8018.333333333333,6176.0,1435.6666666666667,4208.666666666667,5806.0,617.6666666666666,5460.666666666667,7707.0,3184.6666666666665,5247.333333333333,9991.666666666666,1815.3333333333333,2448.6666666666665,17915.333333333332
9506.333333333334,7071.0,23588.333333333332,11036.333333333334,10904.0,13675.666666666666,1499.3333333333333,3813.6666666666665,3317.6666666666665,4129.0,2910.0,9753.666666666666,401.6666666666667,4073.3333333333335,6361.0,467.0,4013.6666666666665,8938.666666666666,1973.3333333333333,6514.0,7863.0,1476.6666666666667,6484.075391769409,10329.0
5373.666666666667,21061.0,22536.333333333332,5511.333333333333,14218.666666666666,25202.666666666668,1165.3333333333333,8207.333333333334,9687.666666666666,2957.6666666666665,3661.3333333333335,16372.666666666666,1686.0,4644.333333333333,3162.6666666666665,1700.0,1960.6666666666667,7489.333333333333,1415.6666666666667,5833.666666666667,13157.333333333334,2019.3584740956624,5906.333333333333,4845.0
4142.666666666667,11274.0,17231.333333333332,4874.333333333333,15955.666666666666,25041.666666666668,2837.6666666666665,4730.666666666667,6338.333333333333,1470.6666666666667,7709.666666666667,8000.333333333333,794.3333333333334,2511.6666666666665,5700.0,625.6666666666666,6277.0,7115.666666666667,1762.3333333333333,4706.0,11566.0,2871.3333333333335,4553.666666666667,10085.666666666666
