space_left_dorsal_visual_cortex,space_left_ventral_visual_cortex,space_right_dorsal_visual_cortex,space_right_ventral_visual_cortex,tool_left_dorsal_visual_cortex,tool_left_ventral_visual_cortex,tool_right_dorsal_visual_cortex,tool_right_ventral_visual_cortex,face_left_dorsal_visual_cortex,face_left_ventral_visual_cortex,face_right_dorsal_visual_cortex,face_right_ventral_visual_cortex,word_left_dorsal_visual_cortex,word_left_ventral_visual_cortex,word_right_dorsal_visual_cortex,word_right_ventral_visual_cortex
52958.75,29524.5,55495.75,28792.75,54458.25,29084.75,53743.0,29227.75,51892.0,29574.75,57186.0,28237.25,53629.25,27687.0,56012.25,29737.75
54647.0,28499.75,54938.75,30810.0,54928.75,28954.75,53980.75,28045.25,53854.75,26606.75,54884.5,27954.0,55342.25,27968.75,53110.75,29290.25
60252.25,31835.0,56085.25,29215.25,52060.75,29809.0,54214.0,28014.5,55046.25,29091.75,55267.75,26458.5,58068.0,26803.25,43315.0,27995.25
56893.75,29938.5,52101.5,32005.0,58506.0,28265.5,58758.5,28503.5,56757.0,28229.25,53787.75,29969.5,53205.0,32580.0,54862.0,28922.75
54102.25,27346.75,58433.25,29024.75,58167.0,28328.5,54478.25,28234.5,54444.75,30313.5,52305.25,29759.25,56774.25,25262.5,54467.5,28167.25
62879.0,26988.5,63710.25,31604.5,56505.0,28043.75,53579.5,28727.5,55072.25,29023.75,54488.5,23960.25,53706.0,28279.75,55247.25,28967.0
61339.5,28795.75,64827.0,29254.75,55807.5,27738.25,55342.5,28712.25,56245.25,27415.5,57282.75,28830.0,61615.5,28953.5,48613.75,29675.25
61451.25,27896.5,55601.25,28429.25,59057.25,26924.75,52563.0,29304.25,52060.0,28326.0,53919.0,27250.25,56204.75,27508.0,55330.5,27596.75
57688.25,27566.25,53952.25,29300.5,54855.75,30777.5,53846.0,27221.5,58694.5,30016.25,55204.75,28172.75,57816.75,28846.25,51013.0,29292.75
59914.0,30982.5,57781.0,29743.5,58518.75,29562.5,56004.5,31766.5,58959.5,28884.25,52872.5,27279.25,52897.75,28562.0,53776.0,29369.5
57510.5,26142.5,56116.25,28974.0,59248.0,27162.5,54550.75,27928.0,59323.25,28226.5,55003.5,27440.25,55740.75,29711.25,57486.0,28463.5
58919.0,29239.5,55898.0,31976.25,64481.0,27892.25,54545.5,29029.75,55573.25,29071.25,56732.5,28255.5,56780.25,28354.0,55400.25,28407.5
53362.5,27414.25,55985.75,27485.25,57215.0,27570.0,52137.25,28511.75,58274.75,25434.0,53037.0,22183.25,52626.0,27687.25,44409.0,29329.75
60281.5,29707.25,60073.0,28906.5,54587.25,29237.75,56984.0,29966.5,55635.5,28504.5,57766.25,29064.25,54277.5,30107.0,52075.0,22536.0
58752.0,30780.75,56149.25,28209.5,57683.5,30482.25,55020.0,32263.25,55150.0,29900.75,55192.0,28026.25,58773.25,29348.5,53085.0,26301.0
60590.25,28893.5,44669.0,30242.75,61631.5,31161.0,58863.75,28464.5,51907.5,27718.75,53704.0,29074.75,60384.0,31998.25,53267.0,27665.5
60803.25,29071.25,52135.75,22874.0,52186.75,27815.25,53557.75,28739.75,53069.25,30530.25,54874.5,29173.0,58937.75,30028.0,55064.75,28926.0
61386.25,28622.5,56808.25,30494.5,56043.75,31070.75,62576.0,28897.0,53606.25,29185.75,53696.25,29907.0,57495.75,29939.75,53371.75,27053.0
55457.0,28735.75,57928.5,29119.0,58410.25,30527.0,58554.75,29378.0,56174.75,28602.25,56576.5,30134.0,58464.0,26693.5,44525.0,28791.5
58992.75,28470.5,65333.25,29393.5,54978.75,30429.25,59213.0,28770.75,54387.0,28146.5,45833.75,26870.0,55926.75,28710.5,60836.25,28759.25
57036.5,28174.75,55141.75,28318.75,62499.75,29179.0,60999.75,30749.5,57520.0,27176.75,55806.25,28324.5,54544.25,28387.5,57782.0,29077.25
57902.5,26396.5,60327.25,22420.5,58849.5,27659.5,55586.75,30523.0,57360.0,28419.25,53985.25,29101.0,57183.5,29282.25,56470.0,30486.0
60606.75,28912.75,52275.25,28192.5,58746.0,30265.5,62082.25,29050.75,58442.5,26578.0,56113.0,26742.5,61045.5,29553.5,53298.25,28348.0
55225.0,28393.25,59376.25,30064.75,58732.75,29059.75,59795.0,29944.25,56829.5,29560.25,53497.25,29822.25,55592.0,29014.75,54994.0,29487.75
55741.25,29254.5,53360.0,17291.75,56851.75,29166.0,52069.25,27206.25,53463.0,29312.25,54746.0,26742.75,52780.25,29697.5,53621.5,28663.75
54898.75,26657.5,66754.5,30623.75,62445.0,28665.75,53487.25,29164.75,54612.0,29816.75,53546.5,28929.75,55149.0,27414.0,54728.25,27273.0
60925.25,29902.25,45641.25,28913.25,60335.5,27331.5,58419.0,27166.0,55040.75,30466.5,57192.0,27910.5,54986.0,30567.25,47924.25,23194.25
56113.0,28836.5,63222.25,26996.5,53264.5,26125.75,62298.75,31789.25,59170.25,29595.5,52926.5,28465.5,57988.75,27585.75,54723.0,28909.5
62730.5,28357.75,56129.75,31338.75,56492.75,29270.75,54882.5,30101.5,60068.75,27453.75,59408.0,26330.0,54791.75,27141.25,53968.75,26062.5
57368.5,27613.25,60606.25,23651.5,55832.0,28356.0,54086.25,29860.75,57460.5,26850.25,55911.25,28700.0,59836.0,26533.0,53318.75,26600.0
57778.5,28767.25,55250.5,23740.75,59655.75,27414.5,57530.0,29474.75,56131.25,26606.75,54429.5,29555.75,55091.5,29738.75,53520.5,27550.5
55318.0,28515.5,55770.25,31159.25,56718.5,28671.0,54262.25,28351.75,56961.75,30312.5,57507.0,27885.0,58542.5,30146.0,54939.5,28097.5
60607.25,31719.75,57640.25,30348.25,62624.5,31414.5,53464.25,26974.75,55891.25,28995.5,52317.25,22983.0,56033.0,27765.0,58165.25,28303.0
60175.75,28416.5,44618.75,28220.5,57930.0,25480.0,53952.25,27791.0,54334.0,28716.25,55924.25,26984.5,55901.25,28314.25,57356.5,30515.25
55113.0,28829.75,59958.75,29181.0,57727.5,28178.5,55396.5,30169.75,58755.0,28310.5,55389.75,23622.25,60190.75,29598.25,56625.75,27513.75
59227.5,27953.75,52903.5,31293.25,56850.75,29156.5,55031.0,28147.0,59081.25,27841.0,56169.75,30196.5,58019.25,26537.5,45100.5,26937.25
60593.25,26449.0,59240.75,28527.75,53616.5,28401.75,56876.5,29887.25,55797.25,29823.0,55268.25,28109.25,53207.25,26488.5,55677.25,23024.5
58992.25,29248.0,56931.0,28658.75,56534.5,28031.25,56757.25,29124.0,60056.5,27779.0,53333.75,30206.0,50783.75,27731.0,56393.5,23598.0
60470.5,29604.75,61733.0,27611.0,60245.25,31181.0,55767.75,30438.0,56469.75,28325.5,43069.25,29245.5,59912.5,29392.5,49681.75,29396.75
58532.0,27792.0,52978.0,29206.5,60310.5,27113.0,56759.0,28724.25,57796.5,29033.75,55456.5,27497.5,55342.25,27515.0,44915.5,24691.25
57038.5,30374.5,53995.25,27355.75,61104.0,29000.75,57639.0,28385.75,55080.75,28151.25,55622.0,28122.25,53672.75,27961.5,56496.25,29270.25
53482.25,29612.75,55314.25,30943.25,58113.75,28589.5,56427.5,28979.25,52452.5,26061.25,43905.0,23700.5,56840.5,30918.75,55014.0,30077.5
58009.75,26299.25,55512.0,28444.25,57103.5,32182.75,54278.0,28228.5,54750.75,31779.75,50890.0,27350.25,55794.0,30453.5,59289.0,26299.75
