sub,group,hemi,roi,cond,roi_size,mean_act,volume,sum_selec
sub-hemispace1002,patient,left,ventral_visual_cortex,feat,370442,4.97963809967041,46343.0,230771.359375
sub-hemispace1002,patient,left,ventral_visual_cortex,tool,370442,4.2789530754089355,32218.0,137859.3125
sub-hemispace1002,patient,left,ventral_visual_cortex,non_tool,370442,4.34594202041626,28476.0,123755.0390625
sub-hemispace1002,patient,left,ventral_visual_cortex,object,370442,3.4205410480499268,12530.0,42859.37890625
sub-hemispace1002,patient,left,ventral_visual_cortex,face,370442,3.846621036529541,5675.0,21829.57421875
sub-hemispace1002,patient,left,ventral_visual_cortex,word,370442,3.353787660598755,7945.0,26645.84375
sub-hemispace1002,patient,left,hemi,space,684317,4.583528995513916,65532.0,300367.8125
sub-hemispace1002,patient,left,hemi,feat,684317,4.773563861846924,78293.0,373736.625
sub-hemispace1002,patient,left,hemi,tool,684317,4.128128528594971,49116.0,202757.171875
sub-hemispace1002,patient,left,hemi,non_tool,684317,4.237698554992676,42903.0,181809.984375
sub-hemispace1002,patient,left,hemi,object,684317,3.369567394256592,16945.0,57097.3203125
sub-hemispace1002,patient,left,hemi,face,684317,3.6960508823394775,6739.0,24907.6875
sub-hemispace1002,patient,left,hemi,word,684317,3.244657278060913,11804.0,38299.93359375
sub-hemispace1003,patient,right,dorsal_visual_cortex,space,52840,5.400681972503662,15252.0,82371.203125
sub-hemispace1003,patient,right,dorsal_visual_cortex,feat,52840,5.384931564331055,14649.0,78883.859375
sub-hemispace1003,patient,right,dorsal_visual_cortex,tool,52840,4.197524547576904,9502.0,39884.87890625
sub-hemispace1003,patient,right,dorsal_visual_cortex,non_tool,52840,4.233865261077881,6961.0,29471.9375
sub-hemispace1003,patient,right,dorsal_visual_cortex,object,52840,3.3948633670806885,1052.0,3571.396240234375
sub-hemispace1003,patient,right,dorsal_visual_cortex,face,52840,2.5971996784210205,600.0,1558.31982421875
sub-hemispace1003,patient,right,dorsal_visual_cortex,word,52840,2.9602508544921875,2967.0,8783.064453125
sub-hemispace1003,patient,right,ventral_visual_cortex,space,342472,4.905104160308838,40179.0,197082.171875
sub-hemispace1003,patient,right,ventral_visual_cortex,feat,342472,4.742323398590088,43472.0,206158.28125
sub-hemispace1003,patient,right,ventral_visual_cortex,tool,342472,4.4076080322265625,26167.0,115333.8828125
sub-hemispace1003,patient,right,ventral_visual_cortex,non_tool,342472,4.5353522300720215,32037.0,145299.078125
sub-hemispace1003,patient,right,ventral_visual_cortex,object,342472,3.6536738872528076,8302.0,30332.80078125
sub-hemispace1003,patient,right,ventral_visual_cortex,face,342472,2.920475482940674,2023.0,5908.1220703125
sub-hemispace1003,patient,right,ventral_visual_cortex,word,342472,3.041679620742798,10766.0,32746.72265625
sub-hemispace1003,patient,right,hemi,space,619524,4.745311260223389,55845.0,265001.90625
sub-hemispace1003,patient,right,hemi,feat,619524,4.540599346160889,62741.0,284881.75
sub-hemispace1003,patient,right,hemi,tool,619524,4.290164470672607,36851.0,158096.84375
sub-hemispace1003,patient,right,hemi,non_tool,619524,4.292325973510742,46541.0,199769.140625
sub-hemispace1003,patient,right,hemi,object,619524,3.6028659343719482,10498.0,37822.88671875
sub-hemispace1003,patient,right,hemi,face,619524,2.825666904449463,2702.0,7634.9521484375
sub-hemispace1003,patient,right,hemi,word,619524,3.008561849594116,17888.0,53817.15625
sub-hemispace1004,patient,left,dorsal_visual_cortex,space,51842,6.022068977355957,18419.0,110920.4921875
sub-hemispace1004,patient,left,dorsal_visual_cortex,feat,51842,5.240752220153809,15218.0,79753.765625
sub-hemispace1004,patient,left,dorsal_visual_cortex,tool,51842,5.552560329437256,19133.0,106237.1328125
sub-hemispace1004,patient,left,dorsal_visual_cortex,non_tool,51842,5.461510181427002,15916.0,86925.3984375
sub-hemispace1004,patient,left,dorsal_visual_cortex,object,51842,4.231337070465088,12701.0,53742.2109375
sub-hemispace1004,patient,left,dorsal_visual_cortex,face,51842,2.598043441772461,152.0,394.9026184082031
sub-hemispace1004,patient,left,dorsal_visual_cortex,word,51842,2.530287981033325,59.0,149.2869873046875
sub-hemispace1004,patient,left,ventral_visual_cortex,space,334869,5.436285495758057,46503.0,252803.578125
sub-hemispace1004,patient,left,ventral_visual_cortex,feat,334869,4.870662212371826,45950.0,223806.921875
