sub_code,hemi,analysis,word_left,word_right,Unnamed: 5,face_left,face_right,Unnamed: 8,tool_left,tool_right,Unnamed: 11,space_left,space_right,Unnamed: 14
XC,Left,Decoding,-,-,,-,-,,-,-,,-,-,
SI,Left,Decoding,-,-,,-,-,,*,-,,*,-,
BI,Left,Decoding,*,*,,*,*,,*,*,,-,-,
BN,Left,Decoding,*,*,,*,-,,-,-,,*,*,
EB,Right,Decoding,-,-,,-,-,,-,-,,-,-,
KT,Right,Decoding,-,-,,*,*,,,,,-,-,
FO,Right,Decoding,-,-,,*,*,,*,*,,*,*,
KN,Right,Decoding,*,*,,*,*,,-,-,,-,-,
