sub_code,hemi,word_posterior,word_anterior,face_posterior,face_anterior,tool_posterior,tool_anterior,space_posterior,space_anterior
XC,left,12.580183108794468,27.174722876740617,32.28299276480247,19.394282864499814,25.474921211064828,17.748183464695245,32.86069482118649,20.547361214128642
SI,left,15.657781396622669,33.57292782677984,17.45244232813762,27.45320191938389,20.318261362650947,29.34399650865327,n/a,37.02035437531578
BI,left,20.41561420842472,n/a,n/a,24.27802866323199,26.048598950395775,22.384527081649814,18.758013164951162,29.118949147386417
BN,left,10.122212649352646,23.51236049268146,19.094006297583245,20.58483686581491,n/a,n/a,14.812578169692163,37.59569809742972
EB,right,14.055468039710771,30.07559385811527,19.67993229358023,27.773336566288535,33.456309329166224,n/a,19.52134696534153,25.05223803402008
KT,right,25.97718645502144,43.59183062196171,n/a,29.732265795318476,n/a,n/a,28.682789364342625,35.71211630154022
FO,right,13.70083721124342,21.266119461186708,30.48723862380824,17.281167579254763,20.66875338734844,38.614301863858074,17.506964089257337,20.033475192409803
KN,right,18.815426265925197,22.022404959710883,23.304385734611394,31.935276353496285,23.629142015300012,21.06264112854091,n/a,n/a
