space_left_hemi,space_left_dorsal_visual_cortex,space_left_ventral_visual_cortex,space_right_hemi,space_right_dorsal_visual_cortex,space_right_ventral_visual_cortex,tool_left_hemi,tool_left_dorsal_visual_cortex,tool_left_ventral_visual_cortex,tool_right_hemi,tool_right_dorsal_visual_cortex,tool_right_ventral_visual_cortex,face_left_hemi,face_left_dorsal_visual_cortex,face_left_ventral_visual_cortex,face_right_hemi,face_right_dorsal_visual_cortex,face_right_ventral_visual_cortex,word_left_hemi,word_left_dorsal_visual_cortex,word_left_ventral_visual_cortex,word_right_hemi,word_right_dorsal_visual_cortex,word_right_ventral_visual_cortex
3.338830175,3.252037975,3.2363383750000003,3.5582908,3.9914922,3.41685335,3.3243551499999997,3.189235525,3.5624004,3.209830875,3.1827036250000003,3.3517712250000002,3.4480016,3.4043362750000004,3.7337686999999997,3.7723657250000002,3.322603425,3.98702325,3.74903705,3.44777465,3.4911139,3.9202552749999997,3.2271572,4.279238125
3.3924019499999996,3.6075117499999996,3.0325278,3.77737595,3.538361225,3.2960193249999996,3.279505125,3.5735949999999996,2.975652575,3.056948875,3.304066775,3.3647115750000003,3.467497175,3.278442825,3.72841325,3.2912821,3.3181395,3.8000712500000002,3.7297043,3.4564608,3.9470679750000004,3.7398215749999997,3.09954855,3.554829625
3.7988215,3.32280185,3.221840733333334,3.42664695,3.8062276749999997,3.3828983499999996,3.3016418000000005,3.3261143000000004,3.660730225,3.1804787,3.2614948000000004,3.474559075,3.36239365,3.345455975,3.7689520499999998,3.6057013,3.3414571,3.8919448250000004,3.5595880749999997,3.8119912749999996,3.69471595,3.670223175,3.2031810500000004,3.62869095
3.483860125,3.6791549249999997,3.2448788000000004,3.705312525,3.722618675,3.3565796000000003,3.27962585,3.085651175,3.37314305,3.1060672499999997,3.0457904,3.232520625,3.5343674999999997,3.4898298500000005,3.338277825,4.032164275,3.6392193000000006,3.98782965,3.691650825,3.9077394500000002,4.1117725,3.802364775,3.4850746499999996,4.06759575
3.2661681499999995,3.704296325,3.117579133333333,3.4648379499999997,3.9455388,3.3755076,3.2448235500000004,3.523409375,3.561229025,3.08740555,3.045917225,3.16876135,3.459889175,3.2546348,3.3855516249999997,3.7390371250000003,3.8436796,3.707706225,3.582764825,3.7162520999999997,3.78143235,3.84206025,3.4711831,3.4657851749999997
3.6132223,3.3855183999999996,3.146816425,3.6630719249999997,3.7379022,3.3745410249999996,3.0899684,3.1671983,3.1563032750000004,3.0506341499999996,3.1119893249999997,3.163172575,3.5973884,3.6862616999999998,3.4049695,3.816184025,3.362870775,4.30403385,3.88402375,3.64764285,3.900558125,3.6173845499999997,3.27592615,3.8753382500000004
3.5966201,3.234496025,3.2582808333333335,3.600611575,3.5846012000000003,3.3811407,3.506004125,3.510687775,3.4238331499999997,3.158671025,3.069716625,3.4659378000000003,3.2727497249999997,3.364647425,3.5782222,3.8529436500000003,3.45258885,3.398744125,4.173843,3.652579975,3.964017625,3.9078377,3.119044025,3.745343175
3.45335545,3.3040194750000005,3.219364875,3.5227102,3.761771825,3.129990825,3.397427425,3.1809859749999996,3.4405167249999997,3.1418024,3.2826807,3.3397478250000003,3.8773907500000004,3.098069975,3.9349591999999998,3.76276645,3.242146775,3.955645025,3.617582975,3.6539045,4.4307768,3.69983615,3.4321486500000002,4.2078184499999995
3.3709598,3.721376425,3.351278066666667,3.794695325,3.996842325,3.3320631499999998,3.348750275,3.2618053,3.454941175,3.227808775,3.1516670749999998,3.322225725,3.61958915,3.2045262,3.83894935,3.72525145,3.698053475,4.2088437249999995,3.771104475,3.6118442500000003,3.7851330250000004,3.585423575,3.2285588999999995,3.93747415
3.3242884750000004,3.7381960249999997,3.1036015750000003,4.039214975,3.7189899250000003,2.9554748250000005,3.3997743750000002,3.29480455,3.592154775,3.216030675,2.97714505,3.35775675,3.7632509499999998,3.52574415,3.555760175,3.963649125,3.298165225,3.57486215,4.073916175,3.84037575,3.9952208249999996,3.6046101249999998,3.153738625,4.15673695
