space_left_hemi,space_left_dorsal_visual_cortex,space_left_ventral_visual_cortex,space_right_hemi,space_right_dorsal_visual_cortex,space_right_ventral_visual_cortex,tool_left_hemi,tool_left_dorsal_visual_cortex,tool_left_ventral_visual_cortex,tool_right_hemi,tool_right_dorsal_visual_cortex,tool_right_ventral_visual_cortex,face_left_hemi,face_left_dorsal_visual_cortex,face_left_ventral_visual_cortex,face_right_hemi,face_right_dorsal_visual_cortex,face_right_ventral_visual_cortex,word_left_hemi,word_left_dorsal_visual_cortex,word_left_ventral_visual_cortex,word_right_hemi,word_right_dorsal_visual_cortex,word_right_ventral_visual_cortex
652577.75,56654.75,30631.75,740933.75,57820.0,27285.75,764250.5,61337.25,27854.5,664486.75,52371.25,29619.25,710906.75,54761.25,27817.5,655085.25,55387.75,29647.5,731191.5,60652.25,28586.5,676377.25,54335.5,30015.5
667731.0,59584.5,27580.25,651915.25,65648.5,29490.5,703507.5,58386.75,28465.75,746946.0,55450.25,28206.5,687695.25,52871.5,29475.5,667267.0,62680.25,30522.5,661072.75,57228.25,28912.0,621296.75,58215.25,28493.25
712827.25,56326.0,27483.75,662060.0,56168.5,32110.5,724824.0,55025.5,30824.5,635489.0,56539.0,29575.0,642182.5,59186.5,27952.5,675127.0,56005.5,28969.75,681696.5,54403.5,28162.25,689133.25,56940.75,28608.0
690014.25,59635.5,29275.25,688759.75,51130.75,31514.0,664970.75,54957.0,26979.0,740901.25,53440.5,32653.75,669230.75,55962.0,30611.75,693092.25,53992.5,29281.75,663215.75,57706.5,27943.0,729778.25,53662.25,29679.5
628801.5,56771.0,27929.5,684262.25,60755.0,29804.5,697859.0,56055.5,28765.5,712689.0,53559.25,30429.5,726470.0,59168.0,27895.75,665966.0,60651.75,29832.0,694921.25,58059.5,28889.75,705581.0,54972.75,27430.0
687679.5,54219.75,28856.25,796445.5,63753.0,30424.0,735669.0,58161.5,29777.5,708348.5,60454.0,31622.25,657124.5,56485.25,26964.0,663653.0,55691.5,28866.0,649548.5,58425.25,28660.0,643373.5,57626.75,27991.0
638721.0,59717.0,30371.75,725920.5,58014.75,29228.25,644944.0,59263.75,29839.5,712086.5,54598.75,28997.25,641475.25,53574.0,28399.25,680080.0,57223.75,27440.0,696226.5,59983.0,30999.0,647978.5,60261.0,29645.75
633741.75,58564.0,28336.0,647883.5,56298.0,32682.0,653013.0,62930.25,29108.75,651575.25,56495.0,30810.75,649781.0,55527.75,29551.75,714278.75,58019.0,31249.5,669557.25,55032.75,28613.75,674008.0,53340.25,30196.5
652819.5,55240.5,30152.75,721112.0,54924.5,27280.5,706137.5,60718.25,27873.0,672333.75,61798.0,28939.0,743755.75,60835.0,28437.0,688223.5,56317.25,29569.75,713529.0,54211.5,30148.75,694159.25,55724.0,28826.75
659071.25,61398.0,27796.25,724167.0,58305.75,30570.25,779269.25,62710.5,28016.25,700533.0,58544.0,33360.5,664424.75,58744.25,26067.75,667544.5,50794.25,28076.75,707184.5,59872.25,28336.5,656086.25,53227.25,29063.25
709320.5,57059.5,31033.25,732327.0,56963.25,32142.75,658860.25,55856.0,27281.25,656735.5,54972.75,28556.25,670205.25,59476.5,29315.5,689376.75,57026.25,30649.75,698701.75,51789.0,28611.75,615858.0,53915.0,31445.0
684030.5,56575.5,31080.0,648818.75,55581.25,28765.0,705940.0,56728.25,29848.75,727075.75,54588.0,27201.75,727916.5,59900.75,28869.75,670091.5,55380.0,27495.0,668794.75,57064.25,30375.75,634344.5,51723.75,30434.75
688254.0,55879.0,27167.75,692556.0,59677.5,29850.25,648483.5,60005.0,27710.5,749281.5,59644.25,29273.5,664871.25,57007.75,28916.5,663426.25,58071.75,28045.5,674472.25,56523.5,28980.75,706489.25,50890.5,27807.5
704506.25,62321.5,31004.5,747624.75,56409.75,28814.0,675612.5,55649.25,29816.0,679552.25,55857.5,30030.5,704431.5,55574.25,29621.25,670979.75,58379.25,29899.0,687834.0,59612.75,27986.25,653048.5,55228.75,27152.0
694020.0,63158.5,28027.75,654311.25,51616.75,28108.5,737998.0,53883.75,30258.75,703660.5,55424.75,29179.0,716138.0,58911.75,26350.25,665691.75,59233.5,31438.75,660496.25,56662.5,28728.25,652977.0,53132.0,27318.75
709635.25,57818.0,27199.5,679541.75,58970.75,29442.25,744799.75,56886.75,27835.0,669125.25,57933.75,28492.25,686998.75,54726.5,30403.0,648271.25,54637.0,30707.25,690591.75,56964.25,29826.5,704831.75,56346.25,27527.25
639738.25,53311.75,27502.5,676167.5,57174.0,26977.75,662900.75,58032.75,27709.5,642992.0,56950.0,29807.0,704123.25,57860.25,29313.25,656714.75,56710.75,28765.0,685812.0,61270.25,27828.75,613175.25,58940.25,28593.5
813255.5,65180.0,32039.25,672949.25,53363.75,30520.75,674791.5,59130.75,29407.5,710983.5,62261.0,28608.25,671240.25,55619.0,30503.25,649374.25,55593.75,28425.75,648390.0,61222.0,27596.75,685345.25,60079.25,27203.75
761097.0,52027.75,29825.0,740041.25,65814.0,28760.75,650085.25,57302.0,28300.75,658009.5,57239.0,29846.5,622187.0,59367.0,29115.0,652700.75,52371.75,28963.75,677487.5,55224.5,29348.0,686197.25,56672.25,27028.0
665894.75,62154.5,28031.0,706839.75,53995.25,28630.25,681897.0,60354.25,29473.75,634332.25,55358.25,30875.5,676292.0,53251.75,29937.75,647227.25,57416.0,29018.0,711204.5,54482.5,27724.25,644940.5,51556.75,28800.0
673117.25,59643.75,30052.75,727051.75,60462.5,28550.0,728545.25,63291.5,30326.5,707035.0,56584.25,32080.75,678296.75,58377.75,28212.0,729591.5,57783.5,29239.25,634185.5,55613.25,29040.5,667694.75,53476.75,27771.75
687262.0,57178.5,27792.25,683073.0,57143.5,31212.25,742789.75,63680.75,31067.0,663321.0,59136.5,29512.75,720708.75,58467.25,27523.75,696858.25,56210.75,28906.5,670784.5,55352.0,31022.5,642467.25,58023.5,29191.5
661249.25,61117.75,29197.75,699807.0,63046.0,28652.75,674648.0,62473.0,28037.75,704782.5,54109.0,27989.75,644484.75,56438.5,30678.5,670143.5,54833.75,29074.25,661091.75,56342.0,28941.25,663660.75,55852.25,28898.25
643559.0,60503.5,28726.75,638869.0,55857.5,28988.5,658192.0,60492.75,26878.25,700460.0,53915.0,29395.25,705534.5,58246.5,29420.0,643320.5,58532.0,28869.25,671733.25,56090.25,28168.25,694184.75,57053.75,29636.0
680234.0,58167.25,32288.5,706950.5,55215.5,31382.0,669758.25,64145.5,28141.75,690360.0,52338.0,30437.5,678284.75,59612.75,28321.25,674533.75,57217.0,29362.0,669676.25,55591.0,30870.75,633151.0,57348.25,29387.0
678379.5,58700.0,30806.5,657874.25,56404.75,28397.75,708266.5,57760.5,28161.25,660054.5,54856.5,30929.25,655804.75,58461.0,27387.25,653419.5,57331.75,28122.0,703146.0,58388.25,30026.5,646902.0,55725.75,28760.5
664409.25,61466.5,28303.5,687353.0,60808.5,28988.25,689061.25,63858.5,27830.25,731693.5,60240.0,27821.25,688355.75,56885.5,30080.25,705979.5,55003.5,28696.5,669537.25,55371.0,29080.75,696088.75,54179.75,28726.0
714584.75,60055.5,29722.25,683253.0,53499.5,32306.0,710005.0,54256.0,27397.25,674053.25,54271.25,28491.0,662592.25,53632.25,26788.25,708107.5,58200.0,29623.0,662372.5,55552.75,28856.0,690831.0,55003.5,29291.5
654060.0,57912.25,27992.25,649132.0,55434.25,28662.0,710151.5,57320.75,28704.0,724703.0,61386.5,28659.5,709611.25,60256.75,31243.0,672929.0,53482.75,27385.75,722955.5,52762.75,28484.75,648222.5,55325.75,28334.5
692789.5,63257.75,32046.5,661067.5,55659.5,30606.5,702592.0,60438.5,29079.25,650905.75,57921.25,29645.0,684754.25,52881.25,29096.25,652669.0,52333.5,29717.75,702051.0,60382.0,28519.5,641707.75,57278.0,28118.0
722822.75,55719.5,29992.5,745296.25,53871.25,28276.5,656371.0,61685.0,29450.25,721744.0,64794.75,28223.75,688578.0,55330.75,28279.5,680560.25,56985.5,26921.5,669638.0,55702.25,31074.75,644003.5,53728.0,26847.0
676358.0,58600.0,28670.0,711277.0,59360.5,30779.0,667147.25,62435.5,27051.5,715265.75,51706.75,29228.5,700167.25,61646.5,31709.0,620424.0,53882.0,28965.75,722837.0,60387.0,31466.25,698732.75,54454.5,28570.75
661623.75,58795.25,29033.75,770171.25,58982.5,32299.25,750751.25,60464.75,27701.5,733238.5,58358.0,31766.75,665567.75,56896.25,28827.0,647233.75,54567.0,28806.5,709104.5,55288.75,32133.25,731678.0,52613.75,29330.25
697529.75,55392.25,28641.0,681070.0,55952.0,29574.25,699464.75,58540.0,30742.25,706237.5,56866.0,31115.25,651540.5,57298.5,29685.0,684925.75,55643.25,30933.25,721864.75,55193.75,30426.75,653109.25,53575.5,30885.25
671740.25,56442.5,27662.5,650097.5,59394.75,29946.5,675143.5,55117.5,31031.0,673950.5,51654.0,32726.5,684673.5,53715.75,29596.0,692645.0,55515.75,30257.75,693388.5,60897.0,27450.25,625003.5,58422.25,28853.75
685110.5,63539.75,31229.0,685877.25,53697.75,30296.0,705446.0,59147.0,27263.0,715103.25,55852.75,31530.5,707675.25,60487.5,27658.5,697769.5,55916.5,28449.5,640128.5,54372.75,29989.25,710104.25,53691.75,30550.75
741537.5,57751.25,28660.5,774272.25,58471.25,28295.25,707955.75,57125.25,29564.5,749057.75,58684.0,30595.0,643845.5,55861.75,29689.5,667796.25,50388.5,29077.0,676122.5,59150.75,29363.0,699529.25,55672.75,33391.75
794693.0,57323.0,29341.0,688733.25,56136.0,28606.25,636451.0,56493.0,28460.75,753585.75,56943.25,29842.5,661746.25,55389.5,28919.25,709463.75,55608.75,26847.25,687805.0,55534.0,31062.75,677598.5,52722.25,27634.5
676414.75,59708.0,29621.0,683648.0,60909.25,32464.25,653253.0,56184.25,30284.75,680317.5,56373.25,27509.5,674581.75,60782.5,26689.5,650531.5,56743.0,29767.5,672434.5,55692.75,26109.5,662099.25,57432.0,28282.5
690420.0,54800.5,28757.0,686355.75,54550.75,30903.0,725431.25,57788.25,29948.5,751638.75,58078.0,28494.0,696271.75,54109.0,29849.5,650375.75,52544.25,28708.75,631073.75,52581.0,26242.0,695768.25,56785.25,29685.75
639703.0,58077.75,28278.0,754013.25,55133.0,29372.5,770920.5,55985.5,27139.25,691888.75,60000.25,31410.75,682089.0,57097.75,29579.0,705479.0,57595.5,28649.25,686559.0,61805.5,27533.25,723279.75,53422.0,27810.0
709119.0,54792.5,29275.0,725355.0,58802.5,30857.5,705507.0,53026.5,30410.75,644716.0,59288.0,30757.0,695713.5,55080.0,30239.75,688118.25,56645.5,27435.0,674045.0,57097.75,28928.0,690209.75,54938.0,27191.25
763953.5,61226.5,26840.25,650917.25,58763.25,28192.5,664810.75,57609.75,29701.25,686197.25,58370.25,27663.75,658764.25,54415.25,27179.5,694324.0,54137.75,28041.0,646465.5,54372.75,29082.0,684687.5,57312.75,28594.75
631599.0,59607.25,30325.0,701860.5,54733.75,28602.25,741326.25,56942.5,29714.25,729020.25,56620.5,29273.5,695075.25,59704.75,29988.75,696906.0,56474.5,27685.75,637508.0,56656.25,29113.0,679477.5,61671.0,28866.5
681190.25,59045.5,30797.75,739484.0,57942.75,29088.25,668469.5,58975.5,28671.0,694925.5,55342.5,28189.75,733728.5,61381.75,28158.0,654549.0,57967.25,28157.5,720708.75,60334.75,29345.0,657483.5,55271.75,30138.5
689950.75,65476.0,28900.5,648142.5,56479.75,30634.75,697294.5,54547.75,29191.5,750311.75,60860.25,30152.5,685100.25,57355.5,28822.0,650327.5,53802.0,27977.5,698265.75,54640.25,28215.0,658193.25,55432.75,30053.75
710075.0,61861.75,29799.75,636470.75,56008.5,30720.5,760162.0,58303.75,31193.0,740425.25,63041.75,31166.5,674292.0,60454.5,29266.0,658112.75,54653.5,30499.25,684498.75,59892.5,29919.75,662004.0,51217.5,30737.25
700026.0,58657.25,29825.5,760598.75,56994.75,28908.5,699019.5,55394.5,28522.5,695884.75,58037.25,29945.25,685458.5,58182.5,27481.5,697552.25,54794.75,30595.25,681995.0,57048.75,30146.5,755600.5,58318.5,29260.0
635498.75,61447.5,30638.0,652879.5,61677.0,30387.75,700290.75,57383.5,31320.25,661985.25,62669.25,28944.25,726608.0,54329.25,29290.75,721886.75,56756.75,27293.0,685893.75,51774.25,28751.25,677956.5,61043.25,29193.75
710551.75,56492.75,30614.5,659352.5,57134.5,30611.25,669482.25,61042.0,27969.0,663590.5,53867.25,28352.25,656971.0,58475.5,32379.5,691843.75,55660.75,28514.0,652646.25,59364.75,30453.5,685773.25,58992.0,28001.0
701242.75,53113.25,29476.25,739397.0,53232.0,30370.75,713336.75,60550.0,32570.5,740205.75,66668.25,30368.25,652000.0,56770.5,27484.75,697404.0,53281.75,28276.0,691463.75,60819.75,29693.5,671762.0,54550.0,27564.75
667805.0,57489.5,27993.25,700819.75,52097.0,28956.25,642637.25,55819.5,27924.75,682526.5,55617.75,29911.25,639283.0,61541.0,26918.5,714596.5,56448.25,28527.25,652186.25,55902.0,30796.25,627119.5,55309.75,28888.0
648225.75,56627.5,31783.75,659044.25,62979.5,27884.0,641591.5,57959.25,27817.0,649641.0,64101.75,31547.75,680808.25,58445.25,28279.75,664392.5,54855.75,28609.0,633644.25,56234.0,28569.0,728106.75,55171.0,28360.0
675887.0,56160.0,30774.5,695993.5,59219.0,27288.5,661819.75,59226.25,27242.5,679333.75,54865.25,27639.75,703271.75,57820.25,28016.25,636331.5,56008.25,29749.0,663137.5,58696.0,29415.5,731279.5,54802.75,28922.75
716027.75,55906.25,30579.75,725355.0,54643.75,30114.0,714778.75,62288.5,29917.0,721034.5,54420.5,29449.0,657374.75,58753.75,31407.75,721003.25,54818.25,30864.5,685074.5,60972.75,31877.5,705824.5,54206.0,28398.25
680816.5,59787.25,30653.75,646266.5,54725.75,30948.75,685839.5,54138.25,31018.25,737416.5,59005.5,27902.5,671786.75,58213.75,28898.5,693571.5,59362.5,30553.75,704222.75,58713.25,30469.0,620922.0,61184.5,26487.25
718861.5,56771.75,27391.0,679550.75,58359.75,30060.5,665900.25,58694.25,28913.25,693516.0,63312.25,30481.5,657484.0,60426.25,28810.75,653633.5,58130.5,28352.75,655923.0,56405.75,28717.25,695997.0,55399.75,27478.0
689713.0,61590.5,34428.25,697204.5,52977.25,30231.0,648486.0,58293.25,28378.25,673818.0,57729.25,31022.75,704963.75,58197.5,27885.5,641726.5,56662.5,27373.25,701900.0,61028.25,27954.5,604441.5,53425.25,28579.0
733683.0,62742.75,27992.75,679454.75,62579.0,27536.25,732128.5,57020.0,29882.75,736611.0,56950.0,29444.5,673046.25,53474.0,27453.75,707076.25,59528.5,28033.0,660399.25,59553.5,27563.25,676409.0,58074.0,28593.75
