sub,group,hemi,roi,cond,roi_size,mean_act,volume,sum_selec,sum_selec_norm
sub-hemispace1007,patient,left,dorsal_visual_cortex,word,48117,3.8681602,874.0,3380.772,70.26148705564042
sub-hemispace1007,patient,left,ventral_visual_cortex,space,22762,2.9305902,131.0,383.90732,16.866150519077163
sub-hemispace1007,patient,left,ventral_visual_cortex,tool,22762,3.044874,19.0,57.852604,2.5416309600366187
sub-hemispace1007,patient,left,ventral_visual_cortex,face,22762,3.9077601,1316.0,5142.6123,225.9297207928785
sub-hemispace1007,patient,left,ventral_visual_cortex,word,22762,3.1986256,315.0,1007.567,44.26531133474925
sub-hemispace2001,control,left,hemi,space,647442,3.5612257,10226.0,36417.094,56.247654230031415
sub-hemispace2001,control,left,hemi,tool,647442,3.4691448,10863.0,37685.32,58.20648075426061
sub-hemispace2001,control,left,hemi,face,647442,3.6339254,6335.0,23020.918,35.55672626853062
sub-hemispace2001,control,left,hemi,word,647442,3.8805583,11043.0,42853.004,66.18817423993191
sub-hemispace2001,control,left,dorsal_visual_cortex,space,53600,3.9619577,2796.0,11077.634,206.67227218400183
sub-hemispace2001,control,left,dorsal_visual_cortex,tool,53600,3.518841,2997.0,10545.967,196.75311188199623
sub-hemispace2001,control,left,dorsal_visual_cortex,face,53600,3.393947,1084.0,3679.0383,68.6387748148904
sub-hemispace2001,control,left,dorsal_visual_cortex,word,53600,3.6169662,1710.0,6185.012,115.39201878789646
sub-hemispace2001,control,left,ventral_visual_cortex,space,27049,3.050835,221.0,674.2345,24.926411219280286
sub-hemispace2001,control,left,ventral_visual_cortex,tool,27049,3.4003327,614.0,2087.8042,77.18600315053237
sub-hemispace2001,control,left,ventral_visual_cortex,face,27049,3.3413422,1116.0,3728.938,137.85862650305927
sub-hemispace2001,control,left,ventral_visual_cortex,word,27049,4.449649,2017.0,8974.941,331.80307613035603
sub-hemispace2001,control,right,hemi,space,617735,3.5559716,13108.0,46611.676,75.45577922774328
sub-hemispace2001,control,right,hemi,tool,617735,3.3142064,11254.0,37298.08,60.378767796870825
sub-hemispace2001,control,right,hemi,face,617735,3.7916853,8332.0,31592.322,51.14219247027447
sub-hemispace2001,control,right,hemi,word,617735,3.675306,8742.0,32129.525,52.01182609148745
sub-hemispace2001,control,right,dorsal_visual_cortex,space,51433,3.5752146,3846.0,13750.275,267.3434446877491
sub-hemispace2001,control,right,dorsal_visual_cortex,tool,51433,3.3033082,3051.0,10078.394,195.951889928402
sub-hemispace2001,control,right,dorsal_visual_cortex,face,51433,3.953593,1967.0,7776.7173,151.20092713153522
sub-hemispace2001,control,right,dorsal_visual_cortex,word,51433,3.7219727,1592.0,5925.3804,115.20580893771997
sub-hemispace2001,control,right,ventral_visual_cortex,space,27626,2.862303,131.0,374.9617,13.572782901594625
sub-hemispace2001,control,right,ventral_visual_cortex,tool,27626,3.318106,659.0,2186.6318,79.15122840575907
sub-hemispace2001,control,right,ventral_visual_cortex,face,27626,4.1366296,1279.0,5290.749,191.51339402872296
sub-hemispace2001,control,right,ventral_visual_cortex,word,27626,4.6846766,878.0,4113.146,148.88677318807464
sub-hemispace2002,control,left,hemi,space,608579,3.135861,15245.0,47806.2,78.55381013598891
sub-hemispace2002,control,left,hemi,tool,608579,3.0877693,13635.0,42101.734,69.18039297281044
sub-hemispace2002,control,left,hemi,face,608579,3.4223263,1519.0,5198.5137,8.542052341396927
sub-hemispace2002,control,left,hemi,word,608579,3.6927629,6931.0,25594.54,42.05623109325165
sub-hemispace2002,control,left,dorsal_visual_cortex,space,50347,3.2412944,4540.0,14715.477,292.2811004131329
sub-hemispace2002,control,left,dorsal_visual_cortex,tool,50347,3.1664708,3750.0,11874.266,235.84852374520827
sub-hemispace2002,control,left,dorsal_visual_cortex,face,50347,3.4852026,408.0,1421.9626,28.24324481070123
sub-hemispace2002,control,left,dorsal_visual_cortex,word,50347,3.7089376,1376.0,5103.498,101.36647758307348
sub-hemispace2002,control,left,ventral_visual_cortex,space,27472,3.1339538,1446.0,4531.6973,164.9569476421447
sub-hemispace2002,control,left,ventral_visual_cortex,tool,27472,3.1463406,1575.0,4955.4863,180.38316570053144
sub-hemispace2002,control,left,ventral_visual_cortex,face,27472,3.2792296,429.0,1406.7896,51.20812284439611
sub-hemispace2002,control,left,ventral_visual_cortex,word,27472,4.120116,1012.0,4169.5576,151.77481134200278
sub-hemispace2002,control,right,hemi,space,630400,3.2962642,17614.0,58060.4,92.10088584628808
sub-hemispace2002,control,right,hemi,tool,630400,3.0163894,10385.0,31325.203,49.69099480488578
sub-hemispace2002,control,right,hemi,face,630400,3.9810452,4187.0,16668.637,26.44136535334708
sub-hemispace2002,control,right,hemi,word,630400,4.1394486,4184.0,17319.453,27.473751784581214
sub-hemispace2002,control,right,dorsal_visual_cortex,space,52103,3.529061,5607.0,19787.445,379.7755467535459
sub-hemispace2002,control,right,dorsal_visual_cortex,tool,52103,3.1052556,2425.0,7530.245,144.52613318211044
sub-hemispace2002,control,right,dorsal_visual_cortex,face,52103,3.8247955,601.0,2298.7021,44.11842213380228
sub-hemispace2002,control,right,dorsal_visual_cortex,word,52103,3.4495323,830.0,2863.1118,54.95099737838992
sub-hemispace2002,control,right,ventral_visual_cortex,space,27720,3.093737,706.0,2184.1782,78.7943081766324
sub-hemispace2002,control,right,ventral_visual_cortex,tool,27720,2.99776,304.0,911.3191,32.87586911244138
sub-hemispace2002,control,right,ventral_visual_cortex,face,27720,3.5934951,1379.0,4955.4297,178.76730474386724
sub-hemispace2002,control,right,ventral_visual_cortex,word,27720,3.8672967,484.0,1871.7716,67.52422822674288
sub-hemispace2003,control,left,hemi,space,618200,3.253896,6150.0,20011.46,32.37052885393077
sub-hemispace2003,control,left,hemi,tool,618200,3.4157379,7018.0,23971.648,38.77652610401165
sub-hemispace2003,control,left,hemi,face,618200,3.5892642,2679.0,9615.639,15.554252138264316
sub-hemispace2003,control,left,hemi,word,618200,3.8381977,5309.0,20376.992,32.96181201472015
sub-hemispace2003,control,left,dorsal_visual_cortex,space,52330,3.312228,3341.0,11066.153,211.4686283262469
sub-hemispace2003,control,left,dorsal_visual_cortex,tool,52330,3.4568427,3149.0,10885.598,208.01830032963883
sub-hemispace2003,control,left,dorsal_visual_cortex,face,52330,3.5683217,409.0,1459.4436,27.88923377633528
sub-hemispace2003,control,left,dorsal_visual_cortex,word,52330,3.5508034,741.0,2631.1453,50.2798636283561
sub-hemispace2003,control,left,ventral_visual_cortex,space,25768,3.0701716,290.0,890.3498,34.55253773985054
sub-hemispace2003,control,left,ventral_visual_cortex,tool,25768,3.416874,568.0,1940.7844,75.31761967665807
sub-hemispace2003,control,left,ventral_visual_cortex,face,25768,3.5562365,344.0,1223.3453,47.475370106879176
sub-hemispace2003,control,left,ventral_visual_cortex,word,25768,3.7341106,1112.0,4152.331,161.1429313368325
sub-hemispace2003,control,right,hemi,space,606904,3.5316331,13469.0,47567.566,78.37741456021051
sub-hemispace2003,control,right,hemi,tool,606904,3.1209745,2521.0,7867.9766,12.964120458095511
sub-hemispace2003,control,right,hemi,face,606904,3.8957922,4998.0,19471.17,32.0827839689226
sub-hemispace2003,control,right,hemi,word,606904,3.7711847,3734.0,14081.604,23.2023574002231
sub-hemispace2003,control,right,dorsal_visual_cortex,space,51346,3.5009432,6026.0,21096.684,410.87297148268607
sub-hemispace2003,control,right,dorsal_visual_cortex,tool,51346,3.0812564,615.0,1894.9727,36.90594508335605
sub-hemispace2003,control,right,dorsal_visual_cortex,face,51346,3.4781818,421.0,1464.3146,28.518571557576298
sub-hemispace2003,control,right,dorsal_visual_cortex,word,51346,3.155405,738.0,2328.689,45.352879773375726
sub-hemispace2003,control,right,ventral_visual_cortex,space,25517,3.562537,588.0,2094.7717,82.09318213409198
sub-hemispace2003,control,right,ventral_visual_cortex,tool,25517,3.0021214,295.0,885.62585,34.70728747471049
sub-hemispace2003,control,right,ventral_visual_cortex,face,25517,4.1285143,1048.0,4326.683,169.56080673546066
sub-hemispace2003,control,right,ventral_visual_cortex,word,25517,4.705645,147.0,691.72986,27.108588721183427
sub-103,control,left,hemi,space,639514,3.2164342,9873.0,31755.855,49.65623187099892
sub-103,control,left,hemi,tool,639514,3.0476305,1133.0,3452.9653,5.399358469136328
sub-103,control,left,hemi,face,639514,3.4969125,1856.0,6490.2695,10.14875285177494
sub-103,control,left,hemi,word,639514,5.0354443,3587.0,18062.139,28.243539112318103
sub-103,control,left,dorsal_visual_cortex,space,53426,3.0439363,1335.0,4063.6548,76.06137059027908
sub-103,control,left,dorsal_visual_cortex,tool,53426,3.087704,573.0,1769.2544,33.11598088068075
sub-103,control,left,dorsal_visual_cortex,face,53426,2.984159,87.0,259.62183,4.859465918688934
sub-103,control,left,dorsal_visual_cortex,word,53426,4.0230756,336.0,1351.7534,25.30141537769532
sub-103,control,left,ventral_visual_cortex,space,25949,2.9598434,96.0,284.14496,10.95013135365886
sub-103,control,left,ventral_visual_cortex,tool,25949,2.6663668,3.0,7.9991007,0.3082623871871605
sub-103,control,left,ventral_visual_cortex,face,25949,3.520008,384.0,1351.6831,52.089988264239466
sub-103,control,left,ventral_visual_cortex,word,25949,4.3110476,910.0,3923.0532,151.18321409905005
sub-103,control,right,hemi,space,629784,3.328023,9812.0,32654.56,51.85041307317271
sub-103,control,right,hemi,tool,629784,2.9751272,850.0,2528.8582,4.015437283730415
sub-103,control,right,hemi,face,629784,4.2973995,3665.0,15749.969,25.008524748167627
sub-103,control,right,hemi,word,629784,5.182571,1892.0,9805.424,15.569502921835106
