Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,date,expName,psychopyVersion,OS,frameRate,Corr,objDistract,py_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType,condition
0.3,left,1,3.291,0,0,0,0,1,shoe,Stim/Prac (1).jpg,phone,left,FO,2023-05-04_15h35.31.866,KorNet_kid_complete,2020.2.0,MacIntel,60,,,,,,,,,,,
0.3,right,1,2.463,0,1,1,2,1,balloon,Stim/Prac (3).jpg,computer,right,FO,2023-05-04_15h35.31.866,KorNet_kid_complete,2020.2.0,MacIntel,60,,,,,,,,,,,
0.25,right,1,2.038,0,2,2,1,1,castle,Stim/Prac (2).png,car,right,FO,2023-05-04_15h35.31.866,KorNet_kid_complete,2020.2.0,MacIntel,60,,,,,,,,,,,
0.25,left,1,2.022,0,3,3,3,1,motorcycle,Stim/Prac (4).jpg,skateboard,left,FO,2023-05-04_15h35.31.866,KorNet_kid_complete,2020.2.0,MacIntel,60,,,,,,,,,,,
0.3,right,1,1.044,,,,,,guitar,Stim/Complete/OBJ (27).png,,,FO,2023-05-04_15h35.31.866,KorNet_kid_complete,2020.2.0,MacIntel,60,right,apple,0.301,0,0,0,18,1,27,Inanimate,1
0.3,left,1,1.081,,,,,,bicycle,Stim/Complete/OBJ (7).png,,,FO,2023-05-04_15h35.31.866,KorNet_kid_complete,2020.2.0,MacIntel,60,left,scissors,0.3,0,1,1,3,1,7,Inanimate,1
0.25,right,1,0.682,,,,,,chair,Stim/Complete/OBJ (12).png,,,FO,2023-05-04_15h35.31.866,KorNet_kid_complete,2020.2.0,MacIntel,60,right,glasses,0.299,0,2,2,7,1,12,Inanimate,1
0.25,left,1,0.612,,,,,,elephant,Stim/Complete/OBJ (18).png,,,FO,2023-05-04_15h35.31.866,KorNet_kid_complete,2020.2.0,MacIntel,60,left,hand,0.25,0,3,3,11,1,18,Animate,1
0.25,left,1,0.665,,,,,,tree,Stim/Complete/OBJ (44).png,,,FO,2023-05-04_15h35.31.866,KorNet_kid_complete,2020.2.0,MacIntel,60,left,kite,0.249,0,4,4,26,1,44,Inanimate,1
0.2,right,1,0.752,,,,,,butterfly,Stim/Complete/OBJ (10).png,,,FO,2023-05-04_15h35.31.866,KorNet_kid_complete,2020.2.0,MacIntel,60,right,cat,0.25,0,5,5,5,1,10,Animate,1
0.2,left,1,0.937,,,,,,dog,Stim/Complete/OBJ (16).png,,,FO,2023-05-04_15h35.31.866,KorNet_kid_complete,2020.2.0,MacIntel,60,left,mouse,0.2,0,6,6,9,1,16,Animate,1
0.2,left,1,0.567,,,,,,spoon,Stim/Complete/OBJ (41).png,,,FO,2023-05-04_15h35.31.866,KorNet_kid_complete,2020.2.0,MacIntel,60,left,lamp,0.2,0,7,7,24,1,41,Inanimate,1
0.15,right,1,0.571,,,,,,umbrella,Stim/Complete/OBJ (47).png,,,FO,2023-05-04_15h35.31.866,KorNet_kid_complete,2020.2.0,MacIntel,60,right,apple,0.2,0,8,8,29,1,47,Inanimate,1
0.15,left,1,0.912,,,,,,airplane,Stim/Complete/OBJ (1).png,,,FO,2023-05-04_15h35.31.866,KorNet_kid_complete,2020.2.0,MacIntel,60,left,watch,0.15,0,9,9,0,1,1,Inanimate,1
0.15,left,1,0.581,,,,,,key,Stim/Complete/OBJ (29).png,,,FO,2023-05-04_15h35.31.866,KorNet_kid_complete,2020.2.0,MacIntel,60,left,airplane,0.15,0,10,10,19,1,29,Inanimate,1
0.1,right,1,0.734,,,,,,cat,Stim/Complete/OBJ (11).png,,,FO,2023-05-04_15h35.31.866,KorNet_kid_complete,2020.2.0,MacIntel,60,right,rabbit,0.15,0,11,11,6,1,11,Animate,1
0.1,left,1,0.589,,,,,,flower,Stim/Complete/OBJ (20).png,,,FO,2023-05-04_15h35.31.866,KorNet_kid_complete,2020.2.0,MacIntel,60,left,watch,0.101,0,12,12,13,1,20,Inanimate,1
0.1,left,1,1.151,,,,,,squirrel,Stim/Complete/OBJ (42).png,,,FO,2023-05-04_15h35.31.866,KorNet_kid_complete,2020.2.0,MacIntel,60,left,duck,0.1,0,13,13,25,1,42,Animate,1
0.1,left,1,1.006,,,,,,cow,Stim/Complete/OBJ (14).png,,,FO,2023-05-04_15h35.31.866,KorNet_kid_complete,2020.2.0,MacIntel,60,left,turtle,0.1,0,14,14,8,1,14,Animate,1
0.1,left,1,0.611,,,,,,leaf,Stim/Complete/OBJ (32).png,,,FO,2023-05-04_15h35.31.866,KorNet_kid_complete,2020.2.0,MacIntel,60,left,guitar,0.1,0,15,15,22,1,32,Inanimate,1
0.1,left,1,0.599,,,,,,fish,Stim/Complete/OBJ (19).png,,,FO,2023-05-04_15h35.31.866,KorNet_kid_complete,2020.2.0,MacIntel,60,left,elephant,0.099,0,16,16,12,1,19,Animate,1
0.1,right,1,0.797,,,,,,rabbit,Stim/Complete/OBJ (38).png,,,FO,2023-05-04_15h35.31.866,KorNet_kid_complete,2020.2.0,MacIntel,60,right,squirrel,0.101,0,17,17,23,1,38,Animate,1
0.1,left,1,0.603,,,,,,fork,Stim/Complete/OBJ (22).png,,,FO,2023-05-04_15h35.31.866,KorNet_kid_complete,2020.2.0,MacIntel,60,left,key,0.1,0,18,18,15,1,22,Inanimate,1
0.1,left,1,1.423,,,,,,turtle,Stim/Complete/OBJ (46).png,,,FO,2023-05-04_15h35.31.866,KorNet_kid_complete,2020.2.0,MacIntel,60,left,foot,0.099,0,19,19,28,1,46,Animate,1
