Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,date,expName,psychopyVersion,OS,frameRate,Corr,objDistract,py_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType,condition
0.3,right,1,0.1762,0,0,0,2,1,balloon,Stim/Prac (3).jpg,computer,right,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,,,,,,,,,,,
0.3,right,1,5.8439,0,1,1,1,1,castle,Stim/Prac (2).png,car,right,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,,,,,,,,,,,
0.25,left,1,2.9823,0,2,2,0,1,shoe,Stim/Prac (1).jpg,phone,left,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,,,,,,,,,,,
0.25,left,1,4.1442,0,3,3,3,1,motorcycle,Stim/Prac (4).jpg,skateboard,left,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,,,,,,,,,,,
0.3,left,1,2.6964,,,,,,hand,Stim/OBJ (25)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,left,squirrel,0.3019,0,0,0,17,1,25,Animate,2
0.3,right,1,4.1299,,,,,,kite,Stim/OBJ (30)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,right,toothbrush,0.3007,0,1,1,20,1,30,Inanimate,2
0.25,left,1,3.4481,,,,,,foot,Stim/OBJ (21)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,left,rabbit,0.3319,0,2,2,14,1,21,Animate,2
0.25,left,1,1.8639,,,,,,leaf,Stim/OBJ (32)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,left,key,0.2509,0,3,3,22,1,32,Inanimate,2
0.25,right,1,4.3972,,,,,,airplane,Stim/OBJ (1)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,right,toothbrush,0.2452,0,4,4,0,1,1,Inanimate,2
0.2,left,1,6.997,,,,,,frog,Stim/OBJ (23)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,left,rabbit,0.2468,0,5,5,16,1,23,Animate,2
0.2,left,1,2.1316,,,,,,chair,Stim/OBJ (12)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,left,leaf,0.1889,0,6,6,7,1,12,Inanimate,2
0.2,left,0,5.1627,,,,,,key,Stim/OBJ (29)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,right,umbrella,0.2039,0,7,7,19,1,29,Inanimate,2
0.2,left,1,3.1342,,,,,,bird,Stim/OBJ (8)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,left,duck,0.2277,0,8,8,4,1,8,Animate,2
0.2,right,1,1.8655,,,,,,truck,Stim/OBJ (45)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,right,kite,0.2248,0,9,9,27,1,45,Inanimate,2
0.15,right,1,2.2278,,,,,,squirrel,Stim/OBJ (42)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,right,penguin,0.197,0,10,10,25,1,42,Animate,2
0.15,left,1,1.8667,,,,,,spoon,Stim/OBJ (41)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,left,truck,0.1649,0,11,11,24,1,41,Inanimate,2
0.15,left,1,1.6982,,,,,,elephant,Stim/OBJ (18)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,left,hand,0.1393,0,12,12,11,1,18,Animate,2
0.1,left,1,2.5021,,,,,,dog,Stim/OBJ (16)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,left,deer,0.1507,0,13,13,9,1,16,Animate,2
0.1,right,1,1.849,,,,,,bear,Stim/OBJ (6)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,right,fish,0.0986,0,14,14,2,1,6,Animate,2
0.1,left,1,2.1172,,,,,,tree,Stim/OBJ (44)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,left,fork,0.1028,0,15,15,26,1,44,Inanimate,2
0.1,left,1,2.1681,,,,,,umbrella,Stim/OBJ (47)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,left,spoon,0.0895,0,16,16,29,1,47,Inanimate,2
0.1,right,1,3.5029,,,,,,butterfly,Stim/OBJ (10)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,right,elephant,0.0901,0,17,17,5,1,10,Animate,2
0.1,left,1,3.792,,,,,,flower,Stim/OBJ (20)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,left,key,0.0994,0,18,18,13,1,20,Inanimate,2
0.1,right,1,2.0969,,,,,,fish,Stim/OBJ (19)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,right,foot,0.0962,0,19,19,12,1,19,Animate,2
0.1,left,1,2.9152,,,,,,fork,Stim/OBJ (22)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,left,airplane,0.0893,0,20,20,15,1,22,Inanimate,2
0.1,right,0,8.7866,,,,,,bicycle,Stim/OBJ (7)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,left,umbrella,0.0961,0,21,21,3,1,7,Inanimate,2
0.1,left,1,1.72,,,,,,apple,Stim/OBJ (4)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,left,umbrella,0.0927,0,22,22,1,1,4,Inanimate,2
0.1,right,1,1.9825,,,,,,duck,Stim/OBJ (17)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,right,butterfly,0.0891,0,23,23,10,1,17,Animate,2
0.1,right,1,2.0358,,,,,,cow,Stim/OBJ (14)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,right,fish,0.1024,0,24,24,8,1,14,Animate,2
0.1,left,1,3.9987,,,,,,rabbit,Stim/OBJ (38)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,left,kangaroo,0.0881,0,25,25,23,1,38,Animate,2
0.1,left,1,1.4357,,,,,,guitar,Stim/OBJ (27)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,left,kite,0.1134,0,26,26,18,1,27,Inanimate,2
0.1,left,1,1.6312,,,,,,lamp,Stim/OBJ (31)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,left,truck,0.1052,0,27,27,21,1,31,Inanimate,2
0.1,right,0,2.7137,,,,,,turtle,Stim/OBJ (46)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,left,frog,0.0931,0,28,28,28,1,46,Animate,2
0.1,right,1,1.4191,,,,,,cat,Stim/OBJ (11)_ripple.png,,,XC,2023-05-26_14h25.15.241,KorNet_kid_perturbed,2020.2.0,Win32,60,right,penguin,0.1018,0,29,29,6,1,11,Animate,2
